Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Levo,var-19F-Levo,sd-19F-Levo,se-19F-Levo,Total-19F-Levo,Blank-19F-Levo,Not Blank-19F-Levo,Blank Removed-19F-Levo,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
2160,SPT_0412,0.94,0.006,0.075,0.004,,419,0,419,0,,SPT_0412,0.845,0.008,0.087,0.006,210,0,210,0,0.095,627,13.517,0,,penicillin-binding protein 1a,FALSE
597,SPT_0413,0.913,0.008,0.088,0.036,recU,6,0,6,0,,SPT_0413,0.788,0.001,0.03,0.017,3,0,3,0,0.125,7,3.125,0.01674,,Holliday junction-specific endonuclease,FALSE
528,SPT_0414,0.961,0.005,0.072,0.011,,47,0,47,0,,SPT_0414,0.982,0.005,0.067,0.014,22,0,22,0,-0.02,67,1.138,0.25937,,hypothetical protein,FALSE
342,SPT_0415,,,,,,,,,,,SPT_0415,,,,,,,,,,,,,,cell division initiation protein,FALSE
1158,SPT_0416,0.96,0.02,0.141,0.017,,66,1,65,0,,SPT_0416,0.957,0.017,0.131,0.023,33,1,32,0,0.003,97,0.119,0.90552,,methyltransferase,FALSE
1395,SPT_0417,0.821,0.013,0.113,0.009,,165,1,164,0,,SPT_0417,0.815,0.017,0.129,0.014,87,0,87,0,0.006,250,0.356,0.72204,,hypothetical protein,FALSE
1425,SPT_0418,,,,,gnd,,,,,,SPT_0418,,,,,,,,,,,,,,6-phosphogluconate dehydrogenase,FALSE
690,SPT_0419,,,,,,,,,,,SPT_0419,,,,,,,,,,,,,,DNA-binding response regulator,FALSE
963,SPT_0420,0.973,0.012,0.112,0.008,,189,0,189,0,,SPT_0420,0.959,0.015,0.124,0.013,94,1,93,0,0.014,281,0.938,0.34921,,choline binding protein C,FALSE
999,SPT_0421,0.968,0.009,0.093,0.007,,177,0,177,0,,SPT_0421,0.97,0.009,0.096,0.01,90,0,90,0,-0.002,265,0.137,0.89078,,choline binding protein J,FALSE
1233,SPT_0422,1.012,0.006,0.076,0.006,,171,0,171,0,,SPT_0422,1.013,0.006,0.078,0.008,95,0,95,0,-0.002,264,0.167,0.86761,,"transporter, major facilitator family protein",FALSE
420,SPT_0423,0.999,0.008,0.087,0.009,,96,0,96,0,,SPT_0423,1.019,0.006,0.076,0.011,48,0,48,0,-0.02,142,1.394,0.16542,,hypothetical protein,FALSE
339,SPT_0424,0.994,0.008,0.087,0.009,,102,0,102,0,,SPT_0424,1.012,0.005,0.072,0.01,54,0,54,0,-0.018,154,1.368,0.17327,,hypothetical protein,FALSE
123,SPT_0425,1.001,0.006,0.078,0.018,,20,0,20,0,,SPT_0425,0.965,0.009,0.097,0.031,10,0,10,0,0.036,28,1.019,0.31672,,choline-binding protein F,FALSE
879,SPT_0426,,,,,mvk,,,,,,SPT_0426,,,,,,,,,,,,,,mevalonate kinase,FALSE
954,SPT_0427,,,,,mvaD,,,,,,SPT_0427,,,,,,,,,,,,,,diphosphomevalonate decarboxylase,FALSE
1008,SPT_0428,,,,,,,,,,,SPT_0428,,,,,,,,,,,,,,phosphomevalonate kinase,FALSE
1011,SPT_0429,,,,,fni,,,,,,SPT_0429,,,,,,,,,,,,,,"isopentenyl-diphosphate delta-isomerase, type 2",FALSE
699,SPT_0430,0.645,0.025,0.157,0.038,,17,1,16,0,,SPT_0430,0.33,0.061,0.248,0.088,8,3,5,0,0.315,23,3.298,0.00315,,hypothetical protein,FALSE
996,SPT_0431,0.854,0.007,0.086,0.025,,12,0,12,0,,SPT_0431,0.775,0.007,0.083,0.034,6,0,6,0,0.078,16,1.863,0.08091,,histidine kinase,FALSE
633,SPT_0432,0.972,0.019,0.137,0.022,,39,1,38,0,,SPT_0432,0.996,0.006,0.078,0.018,18,0,18,0,-0.024,55,0.841,0.40415,,DNA-binding response regulator,FALSE
147,SPT_0433,1.005,0.008,0.087,0.02,,18,0,18,0,,SPT_0433,0.961,0.004,0.067,0.021,10,0,10,0,0.043,26,1.472,0.15306,,hypothetical protein,FALSE
331,SPT_0434,0.959,0.016,0.125,0.021,,35,0,35,0,,SPT_0434,0.982,0.019,0.139,0.028,24,0,24,0,-0.023,57,0.645,0.52168,,pseudo,FALSE
177,SPT_0435,0.972,0.01,0.101,0.028,,13,0,13,0,,SPT_0435,0.914,0.025,0.159,0.071,5,0,5,0,0.058,16,0.755,0.46094,,hypothetical protein,FALSE
915,SPT_0436,0.933,0.008,0.091,0.007,,173,0,173,0,,SPT_0436,0.938,0.011,0.107,0.011,87,0,87,0,-0.005,258,0.34,0.73399,,choline binding protein G,FALSE
366,SPT_0437,0.987,0.006,0.077,0.007,,114,0,114,0,,SPT_0437,1.01,0.008,0.089,0.012,57,0,57,0,-0.022,169,1.627,0.10555,,integrase,FALSE
1284,SPT_0438,0.986,0.006,0.081,0.008,tig,90,0,90,0,,SPT_0438,0.977,0.01,0.098,0.015,43,0,43,0,0.009,131,0.525,0.60075,,trigger factor,FALSE
2367,SPT_0439,0.989,0.005,0.072,0.005,,202,0,202,0,,SPT_0439,0.939,0.004,0.064,0.007,91,0,91,0,0.05,291,5.902,0,,"helicase, RecD/TraA family",FALSE
615,SPT_0440,1.079,0,0,0,lepB1,1,0,1,0,,SPT_0440,1.155,0,0,0,1,0,1,0,,,,,,signal peptidase I,FALSE
882,SPT_0441,0.963,0.015,0.123,0.027,rnhC,21,0,21,0,,SPT_0441,0.919,0.016,0.127,0.033,15,0,15,0,0.044,34,1.047,0.30271,,ribonuclease hiii,FALSE
225,SPT_0442,1.043,0.006,0.075,0.019,,15,0,15,0,,SPT_0442,0.994,0.005,0.068,0.028,6,0,6,0,0.049,19,1.447,0.16432,,hypothetical protein,FALSE
549,SPT_0443,1.017,0.005,0.073,0.009,cvpA,70,0,70,0,,SPT_0443,1.019,0.008,0.088,0.014,38,0,38,0,-0.002,106,0.14,0.88913,,CvpA family protein,FALSE
2337,SPT_0444,1.014,0.005,0.068,0.005,,171,0,171,0,,SPT_0444,1,0.008,0.091,0.01,85,0,85,0,0.015,254,1.309,0.19169,,MutS2 family protein,FALSE
1317,SPT_0445,1.007,0.006,0.077,0.006,,152,0,152,0,,SPT_0445,1.004,0.014,0.118,0.014,75,1,74,0,0.003,225,0.198,0.84302,,sodium:alanine symporter family protein,FALSE
549,SPT_0446,1.036,0.008,0.088,0.012,,56,0,56,0,,SPT_0446,1.018,0.006,0.074,0.013,32,0,32,0,0.018,86,1.012,0.31428,,macrophage infectivity potentiator protein,FALSE
900,SPT_0447,1.014,0.005,0.068,0.007,,100,0,100,0,,SPT_0447,0.996,0.003,0.051,0.008,46,0,46,0,0.018,144,1.825,0.07001,,exfoliative toxin A,FALSE
1275,SPT_0448,0.981,0.02,0.142,0.1,serS,2,0,2,0,,SPT_0448,,,,,,,,,0.981,0,#DIV/0!,#DIV/0!,,seryl-tRNA synthetase,FALSE
372,SPT_0449,0.969,0.004,0.067,0.022,,9,0,9,0,,SPT_0449,0.988,0.001,0.027,0.013,4,0,4,0,-0.019,11,0.715,0.48957,,ManO,FALSE
1365,SPT_0450,0.831,0.011,0.107,0.009,,130,1,129,0,,SPT_0450,0.854,0.008,0.09,0.012,59,0,59,0,-0.022,187,1.49,0.13786,,aspartate kinase,FALSE
156,SPT_0451,0.91,0.004,0.062,0.036,,3,0,3,0,,SPT_0451,0.982,0,0,0,1,0,1,0,-0.072,2,2.019,0.181,,hypothetical protein,FALSE
786,SPT_0452,,,,,,,,,,,SPT_0452,,,,,,,,,,,,,,enoyl-CoA hydratase,FALSE
435,SPT_0453,0.953,0.002,0.044,0.012,,13,0,13,0,,SPT_0453,0.903,0.013,0.116,0.037,10,0,10,0,0.049,21,1.276,0.21574,,MarR family transcriptional regulator,FALSE
975,SPT_0454,,,,,,,,,,,SPT_0454,,,,,,,,,,,,,,3-oxoacyl-(acyl carrier protein) synthase III,FALSE
225,SPT_0455,,,,,acpP,,,,,,SPT_0455,,,,,,,,,,,,,,acyl carrier protein,FALSE
975,SPT_0456,,,,,,,,,,,SPT_0456,,,,,,,,,,,,,,enoyl-(acyl-carrier-protein) reductase,FALSE
921,SPT_0457,,,,,fabD,,,,,,SPT_0457,,,,,,,,,,,,,,malonyl CoA-acyl carrier protein transacylase,FALSE
732,SPT_0458,,,,,fabG,,,,,,SPT_0458,,,,,,,,,,,,,,3-oxoacyl-(acyl-carrier-protein) reductase,FALSE
1236,SPT_0459,,,,,fabF,,,,,,SPT_0459,,,,,,,,,,,,,,3-oxoacyl-[acyl-carrier-protein] synthase 2,FALSE
486,SPT_0460,,,,,accB,,,,,,SPT_0460,,,,,,,,,,,,,,"acetyl-CoA carboxylase, biotin carboxyl carrier protein",FALSE
423,SPT_0461,,,,,fabZ,,,,,,SPT_0461,,,,,,,,,,,,,,(3R)-hydroxymyristoyl-ACP dehydratase,FALSE
1368,SPT_0462,,,,,accC,,,,,,SPT_0462,,,,,,,,,,,,,,"acetyl-CoA carboxylase, biotin carboxylase",FALSE
867,SPT_0463,,,,,accD,,,,,,SPT_0463,,,,,,,,,,,,,,acetyl-CoA carboxylase subunit beta,FALSE
768,SPT_0464,,,,,accA,,,,,,SPT_0464,,,,,,,,,,,,,,acetyl-CoA carboxylase subunit alpha,FALSE
186,SPT_0465,0.96,0.006,0.077,0.01,,64,0,64,0,,SPT_0465,0.955,0.005,0.071,0.012,35,0,35,0,0.005,97,0.319,0.75006,,hypothetical protein,FALSE
135,SPT_0466,0.992,0.013,0.116,0.025,,21,0,21,0,,SPT_0466,1.003,0.014,0.119,0.038,10,0,10,0,-0.012,29,0.254,0.80164,,hypothetical protein,FALSE
129,SPT_0467,0.953,0.004,0.061,0.016,,15,0,15,0,,SPT_0467,0.99,0.006,0.076,0.025,9,0,9,0,-0.037,22,1.225,0.23338,,hypothetical protein,FALSE
423,SPT_0468,,,,,nusB,,,,,,SPT_0468,,,,,,,,,,,,,,transcription antitermination factor NusB,FALSE
390,SPT_0469,,,,,,,,,,,SPT_0469,,,,,,,,,,,,,,"general stress protein, Gls24 family",FALSE
561,SPT_0470,0.946,0.011,0.105,0.022,efp,24,0,24,0,,SPT_0470,0.933,0.008,0.089,0.023,15,0,15,0,0.013,37,0.399,0.69196,,translation elongation factor P,FALSE
186,SPT_0471,1.005,0.005,0.073,0.015,,25,0,25,0,,SPT_0471,0.999,0.011,0.105,0.032,11,0,11,0,0.006,34,0.183,0.85564,,chlorohydrolase,FALSE
1044,SPT_0472,1.006,0.006,0.079,0.007,,133,0,133,0,,SPT_0472,1.011,0.005,0.071,0.009,70,0,70,0,-0.006,201,0.506,0.61308,,L-iditol 2-dehydrogenase,FALSE
1443,SPT_0473,,,,,gatB,,,,,,SPT_0473,,,,,,,,,,,,,,aspartyl/glutamyl-tRNA amidotransferase subunit B,FALSE
1467,SPT_0474,,,,,gatA,,,,,,SPT_0474,,,,,,,,,,,,,,glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADTsubunit A),FALSE
303,SPT_0475,1.016,0.001,0.036,0.021,gatC,3,0,3,0,,SPT_0475,0.89,0.001,0.026,0.018,2,0,2,0,0.126,3,4.55,0.0199,,aspartyl/glutamyl-tRNA amidotransferase subunit C,FALSE
1545,SPT_0476,0.913,0.007,0.087,0.007,prfC,154,1,153,0,,SPT_0476,0.923,0.007,0.082,0.009,77,0,77,0,-0.01,229,0.862,0.38985,,peptide chain release factor 3,FALSE
167,SPT_0477,1.011,0.006,0.08,0.021,,14,0,14,0,,SPT_0477,1.021,0.003,0.059,0.02,9,0,9,0,-0.01,21,0.361,0.72154,,pseudo,FALSE
189,SPT_0478,0.951,0.011,0.103,0.026,rpmB,16,0,16,0,,SPT_0478,0.973,0.011,0.103,0.039,7,0,7,0,-0.022,21,0.47,0.64312,,50S ribosomal protein L28,FALSE
366,SPT_0479,1.001,0.004,0.064,0.011,,31,0,31,0,,SPT_0479,0.997,0.006,0.075,0.017,19,0,19,0,0.004,48,0.195,0.84593,,alkaline shock protein,FALSE
1668,SPT_0480,,,,,,,,,,,SPT_0480,,,,,,,,,,,,,,dihydroxyacetone kinase family protein,FALSE
1701,SPT_0481,0.993,0.005,0.073,0.006,ilvB,171,0,171,0,,SPT_0481,0.997,0.01,0.102,0.011,90,0,90,0,-0.004,259,0.348,0.72786,,"acetolactate synthase, large subunit, biosynthetic type",FALSE
477,SPT_0482,1,0.004,0.063,0.008,ilvH,70,0,70,0,,SPT_0482,0.994,0.005,0.068,0.011,40,0,40,0,0.006,108,0.441,0.66038,,"acetolactate synthase, small subunit",FALSE
1023,SPT_0483,1.009,0.005,0.071,0.006,ilvC,138,0,138,0,,SPT_0483,1,0.005,0.071,0.009,69,0,69,0,0.009,205,0.865,0.38825,,ketol-acid reductoisomerase,FALSE
237,SPT_0484,0.992,0.005,0.07,0.011,,44,0,44,0,,SPT_0484,1.004,0.006,0.079,0.015,27,0,27,0,-0.012,69,0.629,0.53133,,hypothetical protein,FALSE
357,SPT_0485,0.991,0.006,0.077,0.009,,67,0,67,0,,SPT_0485,1,0.005,0.074,0.013,34,0,34,0,-0.009,99,0.578,0.56425,,hypothetical protein,FALSE
1251,SPT_0486,1.003,0.007,0.085,0.006,ilvA,206,0,206,0,,SPT_0486,0.996,0.007,0.086,0.008,102,0,102,0,0.007,306,0.644,0.51996,,threonine dehydratase,FALSE
189,SPT_0487,0.989,0.002,0.043,0.011,,14,0,14,0,,SPT_0487,0.995,0.004,0.06,0.027,5,0,5,0,-0.006,17,0.221,0.82803,,hypothetical protein,FALSE
216,SPT_0488,0.982,0.003,0.053,0.012,,20,0,20,0,,SPT_0488,0.954,0.006,0.075,0.023,11,0,11,0,0.028,29,1.095,0.28265,,hypothetical protein,FALSE
741,SPT_0489,1.015,0.005,0.069,0.011,gltL,36,0,36,0,,SPT_0489,0.98,0.007,0.081,0.022,14,0,14,0,0.035,48,1.411,0.16461,,"glutamate/aspartate ABC transporter, ATP-binding protein",FALSE
1566,SPT_0490,1.009,0.005,0.072,0.005,,229,0,229,0,,SPT_0490,0.999,0.008,0.09,0.008,114,0,114,0,0.011,341,1.088,0.27735,,"amino acid ABC transporter, amino acid-binding protein/permease protein",FALSE
171,SPT_0491,0.96,0.007,0.086,0.021,,16,0,16,0,,SPT_0491,0.974,0.021,0.144,0.046,10,0,10,0,-0.014,24,0.276,0.78466,,hypothetical protein,FALSE
1890,SPT_0492,1.009,0.006,0.077,0.005,,228,0,228,0,,SPT_0492,1.002,0.007,0.084,0.008,118,0,118,0,0.006,344,0.688,0.4918,,hypothetical protein,FALSE
713,SPT_0493,0.4,0.22,0.47,0.192,,6,3,3,0,,SPT_0493,0.488,0.204,0.452,0.319,2,1,1,0,-0.088,6,0.236,0.82131,,pseudo,FALSE
123,SPT_0494,,,,,,,,,,,SPT_0494,,,,,,,,,,,,,,hypothetical protein,FALSE
846,SPT_0495,0.04,0.012,0.111,0.026,,18,17,1,0,,SPT_0495,0.082,0.024,0.155,0.055,8,7,1,0,-0.043,24,0.703,0.48856,,undecaprenyl-diphosphatase (Undecaprenyl pyrophosphatephosphatase) (Bacitracin resistance protein),FALSE
129,SPT_0496,0.947,0.002,0.04,0.018,,5,0,5,0,,SPT_0496,0.958,0.006,0.079,0.039,4,0,4,0,-0.012,7,0.27,0.7949,,DNA alkylation repair enzyme,FALSE
1062,SPT_0497,1.01,0.005,0.074,0.007,,108,0,108,0,,SPT_0497,1.005,0.01,0.098,0.014,53,0,53,0,0.004,159,0.288,0.7741,,DNA polymerase IV,FALSE
2325,SPT_0498,1.025,0.005,0.074,0.004,pflB,274,0,274,0,,SPT_0498,0.998,0.007,0.084,0.007,142,0,142,0,0.027,414,3.232,0.00133,,formate acetyltransferase,FALSE
1263,SPT_0499,1.002,0.006,0.075,0.006,,153,0,153,0,,SPT_0499,1.013,0.007,0.083,0.009,83,0,83,0,-0.011,234,0.998,0.31922,,transposase,FALSE
1530,SPT_0500,1.012,0.005,0.074,0.005,,255,0,255,0,,SPT_0500,1.018,0.007,0.082,0.007,133,0,133,0,-0.007,386,0.792,0.42875,,"transcriptional regulator, putative",FALSE
2661,SPT_0501,0.999,0.005,0.074,0.004,,398,0,398,0,,SPT_0501,1.006,0.007,0.084,0.006,205,0,205,0,-0.007,601,1.057,0.29087,,cell wall surface anchor family protein,FALSE
303,SPT_0502,0.998,0.003,0.052,0.008,,38,0,38,0,,SPT_0502,0.963,0.002,0.049,0.011,19,0,19,0,0.035,55,2.478,0.01631,,hypothetical protein,FALSE
1998,SPT_0503,0.998,0.006,0.076,0.004,,316,0,316,0,,SPT_0503,0.994,0.006,0.076,0.006,167,0,167,0,0.003,481,0.462,0.64463,,cell wall surface anchor family protein,FALSE
912,SPT_0504,0.988,0.004,0.065,0.006,,117,0,117,0,,SPT_0504,0.981,0.004,0.064,0.008,58,0,58,0,0.007,173,0.721,0.47212,,cell wall surface anchor family protein,FALSE
897,SPT_0505,0.954,0.01,0.098,0.01,,105,1,104,0,,SPT_0505,0.932,0.007,0.084,0.012,52,0,52,0,0.023,155,1.497,0.13651,,sortase family protein,FALSE
819,SPT_0506,0.988,0.005,0.07,0.007,,95,0,95,0,,SPT_0506,0.962,0.005,0.07,0.01,53,0,53,0,0.026,146,2.194,0.0298,,sortase family protein,FALSE
810,SPT_0507,0.985,0.005,0.072,0.008,,77,0,77,0,,SPT_0507,0.978,0.005,0.07,0.012,35,0,35,0,0.008,110,0.551,0.58254,,"sortase, putative",FALSE
,SPT_0508,,,,,,,,,,,SPT_0508,,,,,,,,,,,,,,,FALSE
150,SPT_0511,0.982,0.006,0.078,0.017,,20,0,20,0,,SPT_0511,0.982,0.004,0.06,0.017,12,0,12,0,-0.001,30,0.022,0.98272,,hypothetical protein,FALSE
285,SPT_0512,1.008,0.006,0.079,0.014,,30,0,30,0,,SPT_0512,1.004,0.004,0.06,0.014,19,0,19,0,0.004,47,0.211,0.83382,,hypothetical protein,FALSE
171,SPT_0513,0.974,0.003,0.054,0.008,,41,0,41,0,,SPT_0513,0.984,0.004,0.061,0.013,23,0,23,0,-0.01,62,0.643,0.52251,,hypothetical protein,FALSE
1224,SPT_0514,0.984,0.006,0.076,0.005,,245,0,245,0,,SPT_0514,0.994,0.006,0.077,0.007,126,0,126,0,-0.011,369,1.264,0.20704,,ROK family protein,FALSE
1323,SPT_0515,1.01,0.005,0.072,0.004,,278,0,278,0,,SPT_0515,1.011,0.007,0.086,0.007,145,0,145,0,-0.001,421,0.098,0.92199,,lichenan permease iic component (pts system lichenan-specific eiiccomponent) (eiic-lic),FALSE
1887,SPT_0516,1.008,0.005,0.069,0.003,,408,0,408,0,,SPT_0516,1.011,0.006,0.078,0.005,211,0,211,0,-0.003,617,0.417,0.67658,,hypothetical protein,FALSE
345,SPT_0517,1.027,0.007,0.085,0.012,,52,0,52,0,,SPT_0517,1.035,0.005,0.07,0.014,26,0,26,0,-0.008,76,0.456,0.64941,,lactose-specific phosphotransferase enzyme iia component (pts system lactose-specific eiia component) (eiia-lac) (eiii-lac),FALSE
1413,SPT_0518,1.004,0.007,0.086,0.005,lacG1,296,0,296,0,,SPT_0518,1.017,0.007,0.082,0.007,154,0,154,0,-0.013,448,1.551,0.12165,,6-phospho-beta-galactosidase,FALSE
1680,SPT_0519,1.006,0.007,0.081,0.004,,381,0,381,0,,SPT_0519,1.018,0.007,0.083,0.006,209,0,209,0,-0.012,588,1.746,0.08141,,pts system lactose-specific eiicb component (eiicb-lac) (eii-lac),FALSE
1440,SPT_0520,1.016,0.005,0.071,0.005,,207,0,207,0,,SPT_0520,1.001,0.005,0.072,0.007,120,0,120,0,0.016,325,1.931,0.05436,,"potassium uptake protein, Trk family",FALSE
1350,SPT_0521,1.012,0.005,0.069,0.005,trkA,168,0,168,0,,SPT_0521,0.996,0.008,0.09,0.01,87,0,87,0,0.016,253,1.405,0.16112,,potassium transporter peripheral membrane component,FALSE
849,SPT_0522,1.009,0.005,0.072,0.006,,130,0,130,0,,SPT_0522,1.003,0.008,0.091,0.011,68,0,68,0,0.005,196,0.415,0.67868,,hypothetical protein,FALSE
549,SPT_0523,0.995,0.004,0.064,0.009,,48,0,48,0,,SPT_0523,0.97,0.005,0.073,0.014,28,0,28,0,0.025,74,1.51,0.13532,,protein YdcD,FALSE
258,SPT_0524,0.964,0.006,0.077,0.021,,14,0,14,0,,SPT_0524,0.988,0.006,0.077,0.029,7,0,7,0,-0.024,19,0.671,0.51042,,chlorohydrolase,FALSE
1683,SPT_0525,1.006,0.005,0.073,0.005,,219,0,219,0,,SPT_0525,1.021,0.01,0.098,0.009,121,0,121,0,-0.015,338,1.44,0.15077,,putative ABC transporter ATP-binding protein,FALSE
831,SPT_0526,1,0.005,0.07,0.006,,156,0,156,0,,SPT_0526,1.001,0.007,0.084,0.009,80,0,80,0,-0.001,234,0.127,0.89888,,cobalt transport family protein,FALSE
504,SPT_0527,1.003,0.003,0.051,0.007,,57,0,57,0,,SPT_0527,0.98,0.004,0.061,0.011,30,0,30,0,0.023,85,1.772,0.0799,,"RNA methyltransferase, TrmH family, group 2",FALSE
564,SPT_0528,1.015,0.004,0.065,0.007,,82,0,82,0,,SPT_0528,1.013,0.005,0.07,0.011,39,0,39,0,0.002,119,0.115,0.90842,,hypothetical protein,FALSE
627,SPT_0529,1.022,0.008,0.09,0.011,,68,0,68,0,,SPT_0529,1.025,0.008,0.088,0.016,32,0,32,0,-0.003,98,0.152,0.87984,,PAP2 family protein,FALSE
390,SPT_0530,1.018,0.005,0.07,0.008,,72,0,72,0,,SPT_0530,0.998,0.004,0.064,0.01,38,0,38,0,0.02,108,1.516,0.13241,,hypothetical protein,FALSE
450,SPT_0531,1.015,0.009,0.093,0.011,,68,0,68,0,,SPT_0531,1.022,0.008,0.092,0.016,35,0,35,0,-0.006,101,0.319,0.75063,,hypothetical protein,FALSE
588,SPT_0532,,,,,rpoE,,,,,,SPT_0532,,,,,,,,,,,,,,DNA-directed RNA polymerase subunit delta,FALSE
1608,SPT_0533,1.007,0.005,0.072,0.006,pyrG,154,0,154,0,,SPT_0533,1.007,0.008,0.087,0.01,77,0,77,0,0,229,0.037,0.9708,,CTP synthetase,FALSE
1632,SPT_0534,0.999,0.005,0.072,0.005,,238,0,238,0,,SPT_0534,0.989,0.007,0.082,0.007,127,0,127,0,0.01,363,1.165,0.24485,,sodium-dependent phosphate transporter,FALSE
4869,SPT_0535,1.004,0.005,0.07,0.003,,657,0,657,0,,SPT_0535,0.996,0.006,0.075,0.004,330,0,330,0,0.009,985,1.755,0.07958,,endo-beta-N-acetylglucosaminidase D,FALSE
1197,SPT_0536,,,,,pgk,,,,,,SPT_0536,,,,,,,,,,,,,,phosphoglycerate kinase,FALSE
528,SPT_0537,1.022,0.014,0.119,0.015,,65,1,64,0,,SPT_0537,1.008,0.01,0.102,0.018,31,0,31,0,0.014,94,0.581,0.56287,,hypothetical protein,FALSE
357,SPT_0538,,,,,,,,,,,SPT_0538,,,,,,,,,,,,,,HTH-type transcriptional regulator GlnR,FALSE
1347,SPT_0539,0.134,0.057,0.24,0.138,glnA,3,2,1,0,,SPT_0539,0.272,0.049,0.222,0.157,2,1,1,0,-0.138,3,0.66,0.5564,,"glutamine synthetase, type I",FALSE
120,SPT_0540,1.024,0.01,0.099,0.028,,12,0,12,0,,SPT_0540,1.203,0.078,0.279,0.114,6,0,6,0,-0.179,16,1.525,0.14679,,hypothetical protein,FALSE
150,SPT_0541,0.98,0.012,0.109,0.03,,13,0,13,0,,SPT_0541,1.054,0.006,0.077,0.032,6,0,6,0,-0.073,17,1.677,0.11177,,hypothetical protein,FALSE
1566,SPT_0542,0.989,0.005,0.072,0.005,,237,0,237,0,,SPT_0542,0.994,0.005,0.073,0.007,124,0,124,0,-0.006,359,0.736,0.46191,,"type I restriction-modification system, S subunit",FALSE
1281,SPT_0543,0.986,0.006,0.075,0.005,,249,0,249,0,,SPT_0543,0.999,0.004,0.066,0.006,127,0,127,0,-0.014,374,1.823,0.06906,,type I restriction enzyme specificity protein,FALSE
1464,SPT_0544,0.99,0.006,0.08,0.006,,167,0,167,0,,SPT_0544,0.992,0.008,0.089,0.009,103,0,103,0,-0.003,268,0.24,0.81044,,"type I restriction-modification system, M subunit",FALSE
2334,SPT_0545,1,0.005,0.073,0.004,,330,0,330,0,,SPT_0545,1.008,0.006,0.075,0.006,170,0,170,0,-0.008,498,1.141,0.25428,,"type I restriction-modification system, R subunit",FALSE
129,SPT_0546,1.013,0.005,0.069,0.022,,10,0,10,0,,SPT_0546,0.994,0.016,0.126,0.056,5,0,5,0,0.019,13,0.317,0.75607,,hypothetical protein,FALSE
510,SPT_0547,0.996,0.006,0.077,0.009,,82,0,82,0,,SPT_0547,0.985,0.003,0.056,0.009,42,0,42,0,0.011,122,0.888,0.37617,,hypothetical protein,FALSE
1035,SPT_0548,0.846,0.007,0.083,0.011,hrcA,57,0,57,0,,SPT_0548,0.8,0.009,0.096,0.017,31,0,31,0,0.046,86,2.236,0.02795,,heat-inducible transcription repressor HrcA,FALSE
525,SPT_0549,,,,,grpE,,,,,,SPT_0549,,,,,,,,,,,,,,heat shock protein GrpE,FALSE
1824,SPT_0550,0.91,0.001,0.026,0.015,dnaK,3,0,3,0,,SPT_0550,0.742,0,0,0,1,0,1,0,0.168,2,11.19,0.00789,,chaperone protein DnaK (Heat shock protein 70) (Heat shock 70 kDaprotein) (HSP70),FALSE
354,SPT_0551,0.992,0.003,0.056,0.006,,96,0,96,0,,SPT_0551,0.995,0.005,0.072,0.01,53,0,53,0,-0.003,147,0.267,0.79011,,hypothetical protein,FALSE
1137,SPT_0552,0.395,0.075,0.275,0.063,dnaJ,19,7,12,0,,SPT_0552,0.098,0.028,0.168,0.053,10,8,2,0,0.297,27,3.604,0.00125,,chaperone protein DnaJ,FALSE
195,SPT_0553,0.981,0.012,0.11,0.039,,8,0,8,0,,SPT_0553,0.981,0.001,0.031,0.018,3,0,3,0,0,9,0.005,0.99631,,chlorohydrolase,FALSE
288,SPT_0554,0.975,0.008,0.089,0.017,,28,0,28,0,,SPT_0554,0.977,0.009,0.093,0.024,15,0,15,0,-0.002,41,0.073,0.94199,,hypothetical protein,FALSE
411,SPT_0555,1.015,0.006,0.075,0.014,,28,0,28,0,,SPT_0555,1,0.005,0.068,0.019,13,0,13,0,0.015,39,0.629,0.53299,,HIT family protein,FALSE
732,SPT_0556,1.007,0.004,0.064,0.009,,52,0,52,0,,SPT_0556,0.982,0.006,0.08,0.014,32,0,32,0,0.025,82,1.49,0.13996,,ABC-type transporter ATP-binding protein EcsA,FALSE
1050,SPT_0557,0.997,0.005,0.068,0.008,,74,0,74,0,,SPT_0557,0.976,0.004,0.065,0.01,41,0,41,0,0.021,113,1.609,0.11036,,"ABC transporter, permease protein",FALSE
330,SPT_0558,0.963,0.007,0.083,0.024,,12,0,12,0,,SPT_0558,0.981,0.004,0.064,0.026,6,0,6,0,-0.017,16,0.494,0.62831,,"BlpT protein, fusion",FALSE
1347,SPT_0559,,,,,,,,,,,SPT_0559,,,,,,,,M,,,,,,Spn1 transposase,FALSE
339,SPT_0560,0.981,0.006,0.079,0.013,,37,0,37,0,,SPT_0560,0.97,0.004,0.064,0.013,24,0,24,0,0.012,59,0.633,0.52925,,BlpS protein,FALSE
738,SPT_0561,1.023,0.005,0.067,0.011,,39,0,39,0,,SPT_0561,1.002,0.007,0.086,0.017,27,0,27,0,0.021,64,1.038,0.30316,,response regulator BlpR,FALSE
1341,SPT_0562,0.997,0.005,0.073,0.005,,197,0,197,0,,SPT_0562,1.006,0.006,0.074,0.007,106,0,106,0,-0.009,301,1.012,0.31228,,"sensor histidine kinase BlpH, putative",FALSE
