Pos size,Gene,mean-2394-Gluc,var-2394-Gluc,sd-2394-Gluc,se-2394-Gluc,gene,Total-2394-Gluc,Blank-2394-Gluc,Not Blank-2394-Gluc,Blank Removed-2394-Gluc,M,locus-2394,mean.2394.Kan,var-2394-Kan,sd-2394-Kan,se-2394-Kan,gene,Total-2394-Kan,Blank-2394-Kan,Not Blank-2394-Kan,Blank Removed-2394-Kan,M,Value,Df,TDIST,p-value,Significance,Common Name,TIMS-CATEGORY,What to do/What they are,Sig
1853,SP_0264,0.1,0.1,X,X,,,,,,,SP_0264,0.1,0.1,X,X,,,,,,,,,,,,prolyl-tRNA synthetase,TRANSCRIPTION AND TRANSLATION,ESSENTIAL,FALSE
1379,SP_0265,1.026,0.003,0.055,0.009,,36,0,36,0,,SP_0265,1.045,0.007,0.082,0.014,,36,0,36,0,,-0.019,70,1.143,0.25699,,"glycosyl hydrolase, family 1",CARBOHYDRATE METABOLISM,PHENOTYPED,FALSE
1808,SP_0266,0.1,0.1,X,X,,,,,,,SP_0266,0.1,0.1,X,X,,,,,,,,,,,,"glucosamine--fructose-6-phosphate aminotransferase, isomerizing",CARBOHYDRATE METABOLISM,ESSENTIAL,FALSE
1049,SP_0267,1.014,0.003,0.055,0.012,,22,0,22,0,,SP_0267,1.064,0.006,0.08,0.017,,22,0,22,0,,-0.05,42,2.436,0.01918,,putative oxidoreductase,UNKNOWN,NO-PHENOTYPE,FALSE
3842,SP_0268,1.022,0.005,0.07,0.006,,118,0,118,0,,SP_0268,1.066,0.01,0.1,0.009,,117,0,117,0,,-0.044,233,3.938,0.00011,,putative alkaline amylopullulanase,CARBOHYDRATE METABOLISM,NO-PHENOTYPE,FALSE
95,SP_0269,0.1,0.1,X,X,,,,,,,SP_0269,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
92,SP_0270,0.1,0.1,X,X,,,,,,,SP_0270,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
413,SP_0271,0.1,0.1,X,X,rpsL,,,,,,SP_0271,0.1,0.1,X,X,rpsL,,,,,,,,,,,ribosomal protein S12,TRANSCRIPTION AND TRANSLATION,REMOVE,FALSE
470,SP_0272,0.1,0.1,X,X,,,,,,,SP_0272,0.1,0.1,X,X,,,,,,,,,,,,ribosomal protein S7,TRANSCRIPTION AND TRANSLATION,REMOVE,FALSE
2081,SP_0273,0.1,0.1,X,X,,,,,,,SP_0273,0.1,0.1,X,X,,,,,,,,,,,,translation elongation factor G,TRANSCRIPTION AND TRANSLATION,ESSENTIAL,FALSE
4391,SP_0274,0.1,0.1,X,X,polC,,,,,,SP_0274,0.1,0.1,X,X,polC,,,,,,,,,,,"DNA polymerase III, alpha subunit, Gram-positive type","DNA REPLICATION, REPAIR AND RECOMBINATION",ESSENTIAL,FALSE
263,SP_0275,1.028,0.01,0.101,0.032,,10,0,10,0,,SP_0275,1.076,0.01,0.101,0.032,,10,0,10,0,,-0.049,18,1.081,0.29405,,conserved hypothetical protein,"DNA REPLICATION, REPAIR AND RECOMBINATION",NO-PHENOTYPE,FALSE
278,SP_0276,0.968,0.002,0.04,0.02,,4,0,4,0,,SP_0276,0.983,0.002,0.05,0.025,,4,0,4,0,,-0.015,6,0.475,0.65131,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
152,SP_0277,1.026,0.001,0.033,0.024,,2,0,2,0,,SP_0277,1.059,0.001,0.033,0.023,,2,0,2,0,,-0.033,2,0.991,0.42622,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1241,SP_0278,1.014,0.011,0.104,0.023,,20,0,20,0,,SP_0278,1.028,0.056,0.237,0.054,,19,1,18,0,,-0.014,37,0.23,0.81945,,aminopeptidase PepS,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
230,SP_0279,1.017,0,0.018,0.009,,4,0,4,0,,SP_0279,1.007,0,0.018,0.009,,4,0,4,0,,0.01,6,0.814,0.44683,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
722,SP_0280,0.926,0.013,0.116,0.021,,31,0,31,0,,SP_0280,0.834,0.042,0.206,0.037,,31,0,31,0,,0.092,60,2.172,0.03381,,ribosomal small subunit pseudouridine synthase A,TRANSCRIPTION AND TRANSLATION,REMOVE,FALSE
1334,SP_0281,0.983,0.005,0.07,0.011,,43,0,43,0,,SP_0281,0.945,0.014,0.12,0.018,,43,0,43,0,,0.038,84,1.786,0.0777,,aminopeptidase C,VARIOUS METABOLISM AND BIOSYNTHESIS,VIVO,FALSE
1019,SP_0285,1.027,0.005,0.069,0.011,,40,0,40,0,,SP_0285,1.028,0.043,0.207,0.033,,39,1,38,0,,-0.001,77,0.03,0.97607,,"alcohol dehydrogenase, zinc-containing",CARBOHYDRATE METABOLISM,NO-PHENOTYPE,FALSE
812,SP_0286,0.994,0.006,0.077,0.011,,46,0,46,0,,SP_0286,1.042,0.007,0.082,0.012,,46,0,46,0,,-0.048,90,2.87,0.00511,,Cof family protein,UNKNOWN,NO-PHENOTYPE,FALSE
1472,SP_0287,1,0.005,0.071,0.007,,105,0,105,0,,SP_0287,1.02,0.007,0.082,0.008,,105,0,105,0,,-0.02,208,1.889,0.06034,,xanthine/uracil permease family protein,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
692,SP_0288,0.99,0.003,0.054,0.01,,29,0,29,0,,SP_0288,1.039,0.01,0.1,0.019,,29,0,29,0,,-0.05,56,2.354,0.0221,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
944,SP_0289,0.1,0.1,X,X,,,,,,,SP_0289,0.1,0.1,X,X,,,,,,,,,,,,dihydropteroate synthase,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
1322,SP_0290,0.1,0.1,X,X,,,,,,,SP_0290,0.1,0.1,X,X,,,,,,,,,,,,dihydrofolate synthetase,VARIOUS METABOLISM AND BIOSYNTHESIS,ESSENTIAL,FALSE
554,SP_0291,0.1,0.1,X,X,folE,,,,,,SP_0291,0.1,0.1,X,X,folE,,,,,,,,,,,GTP cyclohydrolase I,VARIOUS METABOLISM AND BIOSYNTHESIS,ESSENTIAL,FALSE
812,SP_0292,0.1,0.1,X,X,,,,,,,SP_0292,0.1,0.1,X,X,,,,,,,,,,,,bifunctional folate synthesis protein,VARIOUS METABOLISM AND BIOSYNTHESIS,ESSENTIAL,FALSE
371,SP_0293,0.978,0.004,0.06,0.016,,15,0,15,0,,SP_0293,1.025,0.005,0.071,0.018,,15,0,15,0,,-0.047,28,1.935,0.06309,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
446,SP_0294,0.1,0.1,X,X,rplM,,,,,,SP_0294,0.1,0.1,X,X,rplM,,,,,,,,,,,ribosomal protein L13,TRANSCRIPTION AND TRANSLATION,REMOVE,FALSE
392,SP_0295,0.1,0.1,X,X,rpsI,,,,,,SP_0295,0.1,0.1,X,X,rpsI,,,,,,,,,,,ribosomal protein S9,TRANSCRIPTION AND TRANSLATION,REMOVE,FALSE
131,SP_0296,1.038,0.002,0.049,0.035,,2,0,2,0,,SP_0296,1.072,0,0.002,0.001,,2,0,2,0,,-0.033,2,0.963,0.43726,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
149,SP_0297,0.993,0.007,0.087,0.026,,11,0,11,0,,SP_0297,1.053,0.007,0.085,0.026,,11,0,11,0,,-0.061,20,1.653,0.11394,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1208,SP_0298,0.995,0.006,0.077,0.006,,157,0,157,0,,SP_0298,1.053,0.008,0.087,0.007,,158,0,158,0,,-0.058,313,6.318,0,,conserved hypothetical protein,UNKNOWN,PHENOTYPED,FALSE
347,SP_0299,0.1,0.1,X,X,,,,,,,SP_0299,0.1,0.1,X,X,,,,,,,,,,,,"IS630-Spn1, transposase Orf1",,REMOVE,FALSE
338,SP_0300,0.1,0.1,X,X,,,,,,,SP_0300,0.1,0.1,X,X,,,,,,,,,,,,"IS630-Spn1, transposase Orf2",,REMOVE,FALSE
92,SP_0301,0.1,0.1,X,X,,,,,,,SP_0301,0.1,0.1,X,X,,,,,,,,,,,,"glycosyl hydrolase, family 1, truncation",UNKNOWN,NO-PHENOTYPE,FALSE
365,SP_0302,1.011,0.003,0.056,0.009,,37,0,37,0,,SP_0302,1.108,0.008,0.091,0.015,,37,0,37,0,,-0.097,72,5.522,0,,conserved domain protein,UNKNOWN,PHENOTYPED,FALSE
1436,SP_0303,1.002,0.01,0.098,0.009,celA,109,0,109,0,,SP_0303,1.005,0.029,0.17,0.016,celA,109,0,109,0,,-0.004,216,0.198,0.84289,,6-phospho-beta-glucosidase,CARBOHYDRATE METABOLISM,PHENOTYPED,FALSE
239,SP_0304,0.972,0.034,0.184,0.035,,28,2,26,0,,SP_0304,1.013,0.039,0.197,0.037,,28,2,26,0,,-0.041,54,0.802,0.42622,,conserved hypothetical protein,UNKNOWN,PHENOTYPED,FALSE
314,SP_0305,1.018,0.005,0.069,0.012,celB,35,0,35,0,,SP_0305,1.069,0.012,0.111,0.019,celB,34,0,34,0,,-0.052,67,2.307,0.02418,,"PTS system, IIB component",TRANSPORT,PHENOTYPED,FALSE
1481,SP_0306,1,0.005,0.071,0.006,,132,0,132,0,,SP_0306,1.037,0.007,0.085,0.007,,132,0,132,0,,-0.037,262,3.86,0.00014,,putative transcriptional regulator,REGULATOR,PHENOTYPED,FALSE
497,SP_0307,1.02,0.004,0.064,0.013,,25,0,25,0,,SP_0307,1.067,0.01,0.101,0.02,,25,0,25,0,,-0.047,48,1.982,0.05324,,"PTS system, IIA component",TRANSPORT,PHENOTYPED,FALSE
314,SP_0308,1.003,0.006,0.074,0.016,celC,22,0,22,0,,SP_0308,1.029,0.01,0.1,0.021,celC,22,0,22,0,,-0.027,42,1,0.32283,,"PTS system, IIA component",TRANSPORT,PHENOTYPED,FALSE
506,SP_0309,1.002,0.004,0.065,0.012,,30,0,30,0,,SP_0309,1.04,0.006,0.077,0.014,,30,0,30,0,,-0.038,58,2.046,0.04532,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1346,SP_0310,1.002,0.005,0.068,0.008,celD,71,0,71,0,,SP_0310,1.046,0.006,0.079,0.01,celD,68,0,68,0,,-0.044,137,3.57,0.00049,,"PTS system, IIC component",TRANSPORT,PHENOTYPED,FALSE
176,SP_0311,1.015,0.003,0.056,0.011,,25,0,25,0,,SP_0311,1.059,0.006,0.074,0.015,,24,0,24,0,,-0.044,47,2.334,0.0239,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
2039,SP_0312,1.014,0.006,0.074,0.006,,157,0,157,0,,SP_0312,1.048,0.008,0.089,0.007,,157,0,157,0,,-0.034,312,3.64,0.00032,,"glycosyl hydrolase, family 31",UNKNOWN,NO-PHENOTYPE,FALSE
476,SP_0313,1.054,0.004,0.063,0.02,,10,0,10,0,,SP_0313,1.085,0.012,0.109,0.034,,10,0,10,0,,-0.031,18,0.784,0.44301,,glutathione peroxidase,AMINO ACID METABOLSIM,NO-PHENOTYPE,FALSE
3200,SP_0314,1.01,0.007,0.082,0.007,,137,1,136,0,,SP_0314,1.051,0.008,0.087,0.007,,137,0,137,0,,-0.041,272,3.975,0.00009,,hyaluronidase,VARIOUS,NO-PHENOTYPE,FALSE
620,SP_0315,0.986,0.005,0.07,0.008,,69,0,69,0,M,SP_0315,1.042,0.012,0.108,0.013,,70,0,70,0,M,-0.056,137,3.598,0.00045,,"IS200S, transposase, interruption",,REMOVE,FALSE
107,SP_0316,1.01,0.001,0.03,0.021,,2,0,2,0,,SP_0316,0.893,0.004,0.062,0.044,,2,0,2,0,,0.117,2,2.403,0.1382,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
629,SP_0317,1.012,0.002,0.048,0.007,,47,0,47,0,,SP_0317,1.018,0.004,0.066,0.01,,47,0,47,0,,-0.006,92,0.476,0.63525,,4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxyphosphogluconate aldolase,CARBOHYDRATE METABOLISM,VIVO,FALSE
1001,SP_0318,1.022,0.005,0.071,0.01,,51,0,51,0,,SP_0318,1.01,0.008,0.089,0.012,,51,0,51,0,,0.012,100,0.74,0.46117,,"carbohydrate kinase, PfkB family",CARBOHYDRATE METABOLISM,NO-PHENOTYPE,FALSE
641,SP_0319,0.977,0.003,0.054,0.01,,27,0,27,0,,SP_0319,0.998,0.007,0.086,0.017,,27,0,27,0,,-0.021,52,1.06,0.29386,,conserved domain protein,UNKNOWN,VIVO,FALSE
815,SP_0320,0.998,0.005,0.067,0.011,,36,0,36,0,,SP_0320,1.008,0.012,0.109,0.018,,36,0,36,0,,-0.01,70,0.476,0.63548,,gluconate 5-dehydrogenase,CARBOHYDRATE METABOLISM,VIVO,FALSE
434,SP_0321,0.986,0.008,0.09,0.019,,23,0,23,0,,SP_0321,1.021,0.009,0.096,0.02,,23,0,23,0,,-0.035,44,1.282,0.2066,,"PTS system, IIA component",TRANSPORT,NO-PHENOTYPE,FALSE
1190,SP_0322,1.01,0.004,0.067,0.007,,95,0,95,0,,SP_0322,1.031,0.007,0.084,0.009,,94,0,94,0,,-0.021,187,1.862,0.06418,,glucuronyl hydrolase,VARIOUS,VIVO,FALSE
491,SP_0323,1.008,0.006,0.076,0.02,,15,0,15,0,,SP_0323,1.046,0.006,0.078,0.02,,16,0,16,0,,-0.038,29,1.387,0.17598,,"PTS system, IIB component",TRANSPORT,NO-PHENOTYPE,FALSE
779,SP_0324,1.003,0.003,0.057,0.008,,51,0,51,0,,SP_0324,1.034,0.006,0.075,0.01,,53,0,53,0,,-0.031,102,2.352,0.02057,,"PTS system, IIC component",TRANSPORT,NO-PHENOTYPE,FALSE
818,SP_0325,1.008,0.004,0.062,0.007,,79,0,79,0,,SP_0325,1.058,0.01,0.101,0.011,,80,0,80,0,,-0.05,157,3.749,0.00025,,"PTS system, IID component",TRANSPORT,NO-PHENOTYPE,FALSE
293,SP_0326,0.9,0.001,0.029,0.02,,2,0,2,0,,SP_0326,0.96,0.003,0.057,0.04,,2,0,2,0,,-0.06,2,1.322,0.3172,,"preprotein translocase, YajC subunit",TRANSPORT,NO-PHENOTYPE,FALSE
1640,SP_0327,1.002,0.005,0.074,0.008,,93,0,93,0,,SP_0327,1.031,0.006,0.075,0.008,,93,0,93,0,,-0.029,184,2.695,0.0077,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1346,SP_0328,0.1,0.1,X,X,,,,,,,SP_0328,0.1,0.1,X,X,,,,,,,,,,,,"IS1380-Spn1, transposase",,REMOVE,FALSE
329,SP_0329,1.007,0.008,0.088,0.024,,14,0,14,0,,SP_0329,1.02,0.006,0.076,0.02,,14,0,14,0,,-0.013,26,0.415,0.68154,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1001,SP_0330,0.98,0.006,0.077,0.015,,27,0,27,0,,SP_0330,0.967,0.009,0.097,0.019,,27,0,27,0,,0.013,52,0.54,0.59159,,sugar binding transcriptional regulator RegR,REGULATOR,PHENOTYPED,FALSE
242,SP_0331,0.996,0.007,0.082,0.02,,17,0,17,0,,SP_0331,1.01,0.01,0.098,0.024,,17,0,17,0,,-0.013,32,0.432,0.66867,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
542,SP_0332,1.028,0.004,0.066,0.01,,41,0,41,0,,SP_0332,1.062,0.007,0.085,0.013,,41,0,41,0,,-0.034,80,2.051,0.04351,,hypothetical protein,UNKNOWN,VIVO,FALSE
194,SP_0333,1.005,0.003,0.055,0.027,,4,0,4,0,,SP_0333,1.063,0.007,0.083,0.041,,4,0,4,0,,-0.058,6,1.157,0.29142,,putative transcriptional regulator,REGULATOR,VIVO,FALSE
317,SP_0335,0.1,0.1,X,X,,,,,,,SP_0335,0.1,0.1,X,X,,,,,,,,,,,,cell division protein FtsL,CELL DIVISION,ESSENTIAL,FALSE
2252,SP_0336,0.1,0.1,X,X,,,,,,,SP_0336,0.1,0.1,X,X,,,,,,,,,,,,penicillin-binding protein 2X,CELL WALL METABOLISM,ESSENTIAL,FALSE
980,SP_0337,0.1,0.1,X,X,mraY,,,,,,SP_0337,0.1,0.1,X,X,mraY,,,,,,,,,,,phospho-N-acetylmuramoyl-pentapeptide-transferase,CELL WALL METABOLISM,ESSENTIAL,FALSE
2105,SP_0338,1.001,0.004,0.061,0.008,,62,0,62,0,,SP_0338,1.038,0.008,0.088,0.011,,62,0,62,0,,-0.037,122,2.743,0.00701,,"putative ATP-dependent Clp protease, ATP-binding subunit",TRANSCRIPTION AND TRANSLATION,NO-PHENOTYPE,FALSE
122,SP_0339,0.1,0.1,X,X,,,,,,,SP_0339,0.1,0.1,X,X,,,,,,,,,,,,"group II intron, maturase, truncation",,REMOVE,FALSE
482,SP_0340,1.016,0.005,0.068,0.026,,7,0,7,0,,SP_0340,1.045,0.006,0.08,0.03,,7,0,7,0,,-0.028,12,0.714,0.48899,,autoinducer-2 production protein,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
1484,SP_0341,1.026,0.006,0.079,0.013,,39,0,39,0,,SP_0341,1.074,0.009,0.096,0.015,,39,0,39,0,,-0.048,76,2.422,0.01782,,hypothetical protein,UNKNOWN,PHENOTYPED,FALSE
1607,SP_0342,0.994,0.005,0.073,0.01,,57,0,57,0,,SP_0342,1.012,0.01,0.098,0.013,,58,0,58,0,,-0.018,113,1.114,0.26757,,"glucan 1,6-alpha-glucosidase",CARBOHYDRATE METABOLISM,NO-PHENOTYPE,FALSE
1346,SP_0343,0.1,0.1,X,X,,,,,,,SP_0343,0.1,0.1,X,X,,,,,,,,,,,,"IS1380-Spn1, transposase",,REMOVE,FALSE
338,SP_0344,0.1,0.1,X,X,,,,,,,SP_0344,0.1,0.1,X,X,,,,,,,,,,,,"IS630-Spn1, transposase Orf2",,REMOVE,FALSE
347,SP_0345,0.1,0.1,X,X,,,,,,,SP_0345,0.1,0.1,X,X,,,,,,,,,,,,"IS630-Spn1, transposase Orf1",,REMOVE,FALSE
1445,SP_0346,1.017,0.005,0.072,0.021,,12,0,12,0,,SP_0346,1.085,0.007,0.086,0.025,,12,0,12,0,,-0.068,22,2.104,0.04705,,capsular polysaccharide biosynthesis protein Cps4A,VARIOUS METABOLISM AND BIOSYNTHESIS,VIVO,FALSE
731,SP_0347,0.1,0.1,X,X,,,,,,,SP_0347,0.1,0.1,X,X,,,,,,,,,,,,capsular polysaccharide biosynthesis protein Cps4B,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
692,SP_0348,0.1,0.1,X,X,,,,,,,SP_0348,0.1,0.1,X,X,,,,,,,,,,,,capsular polysaccharide biosynthesis protein Cps4C,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
683,SP_0349,0.1,0.1,X,X,,,,,,,SP_0349,0.1,0.1,X,X,,,,,,,,,,,,capsular polysaccharide biosynthesis protein Cps4D,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
635,SP_0350,0.1,0.1,X,X,,,,,,,SP_0350,0.1,0.1,X,X,,,,,,,,,,,,capsular polysaccharide biosynthesis protein Cps4E,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
1229,SP_0351,0.1,0.1,X,X,,,,,,,SP_0351,0.1,0.1,X,X,,,,,,,,,,,,capsular polysaccharide biosynthesis protein Cps4F,VARIOUS METABOLISM AND BIOSYNTHESIS,VIVO,FALSE
1076,SP_0352,0.1,0.1,X,X,,,,,,,SP_0352,0.1,0.1,X,X,,,,,,,,,,,,capsular polysaccharide biosynthesis protein Cps4G,VARIOUS METABOLISM AND BIOSYNTHESIS,VIVO,FALSE
1118,SP_0353,0.1,0.1,X,X,,,,,,,SP_0353,0.1,0.1,X,X,,,,,,,,,,,,capsular polysaccharide biosynthesis protein Cps4H,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
1400,SP_0354,0.1,0.1,X,X,,,,,,,SP_0354,0.1,0.1,X,X,,,,,,,,,,,,putative membrane protein,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
1082,SP_0355,0.1,0.1,X,X,,,,,,,SP_0355,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
1241,SP_0356,0.1,0.1,X,X,,,,,,,SP_0356,0.1,0.1,X,X,,,,,,,,,,,,putative polysaccharide transporter,TRANSPORT,NO-PHENOTYPE,FALSE
1097,SP_0357,0.1,0.1,X,X,,,,,,,SP_0357,0.1,0.1,X,X,,,,,,,,,,,,UDP-N-acetylglucosamine-2-epimerase,CARBOHYDRATE METABOLISM,NO-PHENOTYPE,FALSE
1055,SP_0358,0.1,0.1,X,X,,,,,,,SP_0358,0.1,0.1,X,X,,,,,,,,,,,,capsular polysaccharide biosynthesis protein Cps4J,VARIOUS METABOLISM AND BIOSYNTHESIS,VIVO,FALSE
1229,SP_0359,0.1,0.1,X,X,,,,,,,SP_0359,0.1,0.1,X,X,,,,,,,,,,,,capsular polysaccharide biosynthesis protein Cps4K,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
1184,SP_0360,1.031,0.004,0.065,0.015,,18,0,18,0,,SP_0360,1.057,0.005,0.069,0.016,,19,0,19,0,,-0.026,35,1.186,0.24369,,UDP-N-acetylglucosamine 2-epimerase,CARBOHYDRATE METABOLISM,VIVO,FALSE
101,SP_0361,0.1,0.1,X,X,,,,,,,SP_0361,0.1,0.1,X,X,,,,,,,,,,,,"IS1167, transposase, truncation",,REMOVE,FALSE
1107,SP_0362,0.1,0.1,X,X,,,,,M,,SP_0362,0.1,0.1,X,X,,,,,M,,,,,,,"IS66 family element, Orf3, degenerate",,REMOVE,FALSE
266,SP_0363,0.1,0.1,X,X,,,,,,,SP_0363,0.1,0.1,X,X,,,,,,,,,,,,"transposase family protein, truncation",,REMOVE,FALSE
455,SP_0364,0.1,0.1,X,X,,,,,M,,SP_0364,0.1,0.1,X,X,,,,,M,,,,,,,"IS66 family element, Orf2, interruption",,REMOVE,FALSE
237,SP_0365,0.1,0.1,X,X,,,,,M,,SP_0365,0.1,0.1,X,X,,,,,M,,,,,,,"IS66 family element, Orf1, authentic frameshift",,REMOVE,FALSE
1985,SP_0366,1.018,0.006,0.075,0.009,,77,0,77,0,,SP_0366,1.009,0.006,0.076,0.009,,77,0,77,0,,0.009,152,0.772,0.44103,,"oligopeptide ABC transporter, oligopeptide-binding protein AliA",TRANSPORT,NO-PHENOTYPE,FALSE
119,SP_0367,0.956,0.004,0.062,0.023,,7,0,7,0,,SP_0367,1.13,0.011,0.104,0.039,,7,0,7,0,,-0.174,12,3.802,0.00252,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
5303,SP_0368,1.009,0.005,0.074,0.005,,249,0,249,0,,SP_0368,1.032,0.009,0.093,0.006,,246,0,246,0,,-0.023,493,2.995,0.00288,,cell wall surface anchor family protein,VARIOUS,NO-PHENOTYPE,FALSE
596,SP_0370,0.836,0.006,0.076,0.054,recU,2,0,2,0,,SP_0370,0.402,0.013,0.114,0.081,recU,2,0,2,0,,0.434,2,4.47,0.04658,,recombination protein U,"DNA REPLICATION, REPAIR AND RECOMBINATION",LIKELYESSENTIAL,FALSE
527,SP_0371,1.003,0.004,0.06,0.013,,21,0,21,0,,SP_0371,0.957,0.089,0.298,0.065,,21,2,19,0,,0.046,40,0.695,0.4912,,conserved hypothetical protein,UNKNOWN,VIVO,FALSE
329,SP_0372,0.1,0.1,X,X,,,,,,,SP_0372,0.1,0.1,X,X,,,,,,,,,,,,conserved hypothetical protein,UNKNOWN,LIKELYESSENTIAL,FALSE
1157,SP_0373,0.886,0.051,0.227,0.035,,41,2,39,0,,SP_0373,0.864,0.081,0.284,0.044,,41,2,39,0,,0.022,80,0.388,0.69941,,conserved hypothetical protein,UNKNOWN,PHENOTYPED,FALSE
1424,SP_0375,0.1,0.1,X,X,,,,,,,SP_0375,0.1,0.1,X,X,,,,,,,,,,,,"6-phosphogluconate dehydrogenase, decarboxylating",CARBOHYDRATE METABOLISM,ESSENTIAL,FALSE
689,SP_0376,0.1,0.1,X,X,,,,,,,SP_0376,0.1,0.1,X,X,,,,,,,,,,,,DNA-binding response regulator,REGULATOR,ESSENTIAL,FALSE
1022,SP_0377,0.987,0.02,0.142,0.02,,53,2,51,0,,SP_0377,1.06,0.017,0.13,0.018,,53,0,53,0,,-0.073,104,2.753,0.00696,,choline binding protein C,VARIOUS,NO-PHENOTYPE,FALSE
998,SP_0378,1.007,0.009,0.096,0.018,,29,0,29,0,,SP_0378,1.025,0.008,0.088,0.017,,27,0,27,0,,-0.018,54,0.734,0.46627,,choline binding protein J,VARIOUS,NO-PHENOTYPE,FALSE
1232,SP_0379,1.026,0.006,0.077,0.008,,95,0,95,0,,SP_0379,1.034,0.009,0.097,0.01,,94,0,94,0,,-0.008,187,0.649,0.51741,,conserved hypothetical protein,UNKNOWN,VIVO,FALSE
875,SP_0380,1.013,0.009,0.095,0.01,,86,1,85,0,,SP_0380,1.039,0.01,0.102,0.011,,84,0,84,0,,-0.026,168,1.708,0.08948,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
878,SP_0381,0.1,0.1,X,X,,,,,,,SP_0381,0.1,0.1,X,X,,,,,,,,,,,,mevalonate kinase,VARIOUS METABOLISM AND BIOSYNTHESIS,ESSENTIAL,FALSE
953,SP_0382,0.1,0.1,X,X,,,,,,,SP_0382,0.1,0.1,X,X,,,,,,,,,,,,diphosphomevalonate decarboxylase,VARIOUS METABOLISM AND BIOSYNTHESIS,ESSENTIAL,FALSE
1007,SP_0383,0.1,0.1,X,X,,,,,,,SP_0383,0.1,0.1,X,X,,,,,,,,,,,,phosphomevalonate kinase,VARIOUS METABOLISM AND BIOSYNTHESIS,ESSENTIAL,FALSE
1010,SP_0384,0.1,0.1,X,X,,,,,,,SP_0384,0.1,0.1,X,X,,,,,,,,,,,,FMN-dependent dehydrogenase family protein,VARIOUS METABOLISM AND BIOSYNTHESIS,ESSENTIAL,FALSE
698,SP_0385,0.1,0.1,X,X,,,,,,,SP_0385,0.1,0.1,X,X,,,,,,,,,,,,conserved hypothetical protein,UNKNOWN,ESSENTIAL,FALSE
995,SP_0386,0.762,0,0.008,0.006,,2,0,2,0,,SP_0386,0.434,0,0,0,,1,0,1,0,,,,,,,putative sensor histidine kinase,REGULATOR,VIVO,FALSE
632,SP_0387,0.1,0.1,X,X,,,,,,,SP_0387,0.1,0.1,X,X,,,,,,,,,,,,DNA-binding response regulator,REGULATOR,NO-PHENOTYPE,FALSE
665,SP_0388,1.028,0.025,0.159,0.034,,22,0,22,0,,SP_0388,1.096,0.023,0.152,0.035,,19,0,19,0,,-0.068,39,1.39,0.17255,,conserved hypothetical protein,UNKNOWN,VIVO,FALSE
239,SP_0389,1.007,0.004,0.062,0.022,,8,0,8,0,,SP_0389,0.966,0.01,0.099,0.035,,8,0,8,0,,0.041,14,0.995,0.33676,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
857,SP_0390,0.995,0.006,0.079,0.012,,45,0,45,0,,SP_0390,1.055,0.011,0.104,0.016,,45,0,45,0,,-0.06,88,3.055,0.00298,,choline binding protein G,VARIOUS,NO-PHENOTYPE,FALSE
