Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Vanc,var-19F-Vanc,sd-19F-Vanc,se-19F-Vanc,Total-19F-Vanc,Blank-19F-Vanc,Not Blank-19F-Vanc,Blank Removed-19F-Vanc,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
1362,SPT_0565,0.999,0.007,0.082,0.006,,190,0,190,0,,SPT_0565,1.013863449,0.01302893,0.114144336,0.010552648,117,1,116,0,-0.015,305,1.262,0.208,,BlpC ABC transporter,FALSE
1640,SPT_0566,1.007,0.008,0.09,0.007,,160,0,160,0,,SPT_0566,0.990157592,0.01331522,0.115391594,0.012096326,91,0,91,0,0.017,249,1.227,0.22085,,pseudo,FALSE
249,SPT_0568,1.017,0.002,0.046,0.013,,12,0,12,0,,SPT_0568,1.025431901,0.005337858,0.073060643,0.024353548,9,0,9,0,-0.009,19,0.314,0.75658,,bacteriocin BlpO,FALSE
210,SPT_0569,1.005,0.005,0.072,0.011,,42,0,42,0,,SPT_0569,0.97667065,0.006752264,0.082172158,0.017931435,21,0,21,0,0.028,61,1.336,0.18666,,bacteriocin-type signal sequence domain protein,FALSE
576,SPT_0570,1,0.007,0.081,0.009,,84,0,84,0,,SPT_0570,0.991450958,0.008234325,0.090743181,0.012583815,52,0,52,0,0.008,134,0.539,0.59094,,ABC transporter ATP binding protein - unknown substrate,FALSE
189,SPT_0571,0.997,0.006,0.075,0.011,,46,0,46,0,,SPT_0571,0.992749552,0.010024125,0.100120554,0.01926821,27,0,27,0,0.004,71,0.2,0.84237,,hypothetical protein,FALSE
339,SPT_0572,1.015,0.008,0.091,0.011,,72,0,72,0,,SPT_0572,1.016178864,0.008426701,0.091797067,0.013998921,43,0,43,0,-0.001,113,0.071,0.94347,,immunity protein BlpL,FALSE
1040,SPT_0574,1.027,0.008,0.09,0.016,,31,0,31,0,,SPT_0574,0.99309257,0.009437295,0.097145742,0.021198939,21,0,21,0,0.034,50,1.268,0.21057,,pseudo,FALSE
234,SPT_0576,1.011,0.005,0.074,0.01,,56,0,56,0,,SPT_0576,1.002025783,0.006291529,0.079319162,0.012701231,39,0,39,0,0.009,93,0.579,0.56424,,bacteriocin BlpM,FALSE
690,SPT_0577,0.999,0.007,0.085,0.008,,128,0,128,0,,SPT_0577,0.987870536,0.012257899,0.110715398,0.0131395,71,0,71,0,0.011,197,0.725,0.46921,,immunity protein BlpY,FALSE
304,SPT_0578,1.015,0.014,0.117,0.014,,73,0,73,0,,SPT_0578,0.992824961,0.019235442,0.138691897,0.02090859,44,0,44,0,0.022,115,0.893,0.37361,,pseudo,FALSE
612,SPT_0579,0.999,0.015,0.124,0.016,,58,0,58,0,,SPT_0579,0.990652785,0.033729509,0.183655952,0.031496736,34,0,34,0,0.008,90,0.236,0.8143,,ABC transporter ATP binding protein - unknown substrate,FALSE
795,SPT_0580,,,,,,,,,,,SPT_0580,,,,,,,,,,,,,,phosphotransferase enzyme family,FALSE
636,SPT_0581,0.976,0.006,0.077,0.01,trmB,60,0,60,0,,SPT_0581,0.920318566,0.015256107,0.123515616,0.020036879,38,0,38,0,0.055,96,2.481,0.01483,,tRNA (guanine-N(7)-)-methyltransferase,FALSE
480,SPT_0582,1.024,0.006,0.078,0.012,,45,0,45,0,,SPT_0582,1.028962597,0.025444428,0.159513098,0.029122974,30,0,30,0,-0.005,73,0.157,0.87569,,hypothetical protein,FALSE
1137,SPT_0583,,,,,nusA,,,,,,SPT_0583,,,,,,,,,,,,,,transcription elongation factor NusA,FALSE
294,SPT_0584,,,,,,,,,,,SPT_0584,,,,,,,,,,,,,,"putative chain a, hypothetical cytosolic protein coded by gene from nusainfb, ylxr homologue",FALSE
300,SPT_0585,0.962,0,0,0,,1,0,1,0,,SPT_0585,0.1,0.1,X,X,1,1,0,0,0.862,0,#VALUE!,#VALUE!,,ribosomal protein HS6-type,FALSE
2793,SPT_0586,,,,,infB,,,,,,SPT_0586,,,,,,,,,,,,,,translation initiation factor IF-2,FALSE
351,SPT_0587,0.946,0.01,0.102,0.032,rbfA,10,0,10,0,,SPT_0587,0.911188331,0.023124189,0.152066396,0.06800616,5,0,5,0,0.035,13,0.469,0.6468,,ribosome-binding factor A,FALSE
780,SPT_0588,0.998,0.008,0.092,0.008,,146,0,146,0,,SPT_0588,0.996182491,0.019880936,0.140999772,0.014543016,94,0,94,0,0.002,238,0.127,0.89889,,hypothetical protein,FALSE
183,SPT_0589,1.008,0.01,0.098,0.022,,19,0,19,0,,SPT_0589,0.957519757,0.006123458,0.078252527,0.027666446,8,0,8,0,0.051,25,1.429,0.1654,,hypothetical protein,FALSE
153,SPT_0590,1.026,0.009,0.096,0.03,,10,0,10,0,,SPT_0590,1.030017424,0.007712805,0.087822574,0.031049969,8,0,8,0,-0.004,16,0.088,0.93107,,hypothetical protein,FALSE
153,SPT_0591,0.959,0,0,0,,1,0,1,0,,SPT_0591,,,,,,,,,0.959,-1,#DIV/0!,#DIV/0!,,chlorohydrolase,FALSE
234,SPT_0592,0.993,0.008,0.089,0.017,,27,0,27,0,,SPT_0592,1.016312296,0.002590718,0.050899095,0.011997032,18,0,18,0,-0.024,43,1.126,0.2664,,hypothetical protein,FALSE
1335,SPT_0593,0.992,0.006,0.078,0.007,,117,0,117,0,,SPT_0593,0.987898291,0.008518913,0.09229796,0.010953753,71,0,71,0,0.004,186,0.275,0.78352,,"hemerythrin HHE cation binding domain subfamily, putative",FALSE
255,SPT_0594,0.878,0.014,0.118,0.033,,13,0,13,0,,SPT_0594,0.735081495,0.014960726,0.122314045,0.040771348,9,0,9,0,0.143,20,2.738,0.01269,,hypothetical protein,FALSE
396,SPT_0595,0.987,0.011,0.107,0.018,,34,0,34,0,,SPT_0595,0.996876499,0.017650252,0.132854251,0.026054862,26,0,26,0,-0.01,58,0.31,0.75775,,superfamily II helicase,FALSE
450,SPT_0596,1.002,0.007,0.084,0.011,,60,0,60,0,,SPT_0596,1.064276353,0.010619568,0.10305129,0.016717127,38,0,38,0,-0.063,96,3.145,0.00221,,hypothetical protein,FALSE
561,SPT_0597,0.996,0.004,0.066,0.009,,58,0,58,0,,SPT_0597,1.040155923,0.014068598,0.11861112,0.01899298,39,0,39,0,-0.044,95,2.129,0.03586,,"acetyltransferase, gnat family",FALSE
579,SPT_0598,0.983,0.008,0.088,0.01,,75,0,75,0,,SPT_0598,1.066565254,0.024411271,0.156241065,0.022790102,47,0,47,0,-0.083,120,3.345,0.0011,,shikimate kinase,FALSE
2652,SPT_0599,,,,,valS,,,,,,SPT_0599,,,,,,,,,,,,,,valyl-tRNA synthetase,FALSE
165,SPT_0600,0.943,0.014,0.118,0.019,,37,0,37,0,,SPT_0600,0.958599566,0.013905314,0.117920797,0.025140798,22,0,22,0,-0.015,57,0.483,0.63114,,hypothetical protein,FALSE
1790,SPT_0601,0.982,0.009,0.096,0.005,,332,0,332,0,,SPT_0601,0.96856212,0.014421837,0.120090952,0.00824788,212,0,212,0,0.013,542,1.353,0.17647,,pseudo,FALSE
804,SPT_0602,1.011,0.008,0.09,0.008,,127,0,127,0,,SPT_0602,1.016457329,0.016509244,0.128488303,0.014189159,82,0,82,0,-0.005,207,0.32,0.74915,,Fic protein family,FALSE
834,SPT_0603,,,,,,,,,,,SPT_0603,,,,,,,,,,,,,,integrase core domain protein,FALSE
,SPT_0604,,,,,,,,,,,SPT_0604,,,,,,,,,,,,,,,FALSE
183,SPT_0605,1.021,0.005,0.072,0.011,,45,0,45,0,,SPT_0605,1.01946054,0.009580777,0.097881443,0.01919613,26,0,26,0,0.001,69,0.05,0.96051,,"helicase, putative",FALSE
840,SPT_0606,1.008,0.011,0.104,0.009,,142,1,141,0,,SPT_0606,1.040275058,0.020316119,0.142534623,0.014547379,96,0,96,0,-0.033,236,1.917,0.05646,,transcription antiterminator LicT,FALSE
1839,SPT_0607,1.01,0.01,0.1,0.005,,446,0,446,0,,SPT_0607,0.986383231,0.019529276,0.139747186,0.008192125,291,2,289,0,0.024,735,2.514,0.01214,,pts system beta-glucoside-specific eiibca component (eiibca-bgl) (eii-bgl),FALSE
1416,SPT_0608,1.001,0.009,0.093,0.005,,356,0,356,0,,SPT_0608,0.990602654,0.016376745,0.127971659,0.008383702,233,1,232,0,0.01,587,1.075,0.28291,,beta-glucosidase (Gentiobiase) (Cellobiase) (Beta-D-glucoside glucohydrolase) (Amygdalase),FALSE
1089,SPT_0609,1.045,0.001,0.038,0.027,pheS,2,0,2,0,,SPT_0609,0.983636885,0,0,0,1,0,1,0,0.061,1,2.287,0.26238,,"phenylalanyl-tRNA synthetase, alpha subunit",FALSE
510,SPT_0610,0.933,0.019,0.136,0.017,,65,0,65,0,,SPT_0610,0.930972651,0.018179042,0.134829676,0.021056858,41,0,41,0,0.002,104,0.067,0.94645,,"acetyltransferase, gnat family",FALSE
2406,SPT_0611,,,,,pheT,,,,,,SPT_0611,,,,,,,,,,,,,,phenylalanyl-tRNA synthetase subunit beta,FALSE
1002,SPT_0612,1.014,0.006,0.08,0.006,,195,0,195,0,,SPT_0612,1.012737401,0.011029404,0.105020968,0.009547361,121,0,121,0,0.001,314,0.114,0.90923,,endonuclease/exonuclease/phosphatase family,FALSE
,SPT_0613,,,,,,,,,,,SPT_0613,,,,,,,,,,,,,,,FALSE
267,SPT_0614,1.002,0.005,0.071,0.013,,31,0,31,0,,SPT_0614,0.957556851,0.018345712,0.135446345,0.028242515,23,0,23,0,0.044,52,1.434,0.1575,,helix-turn-helix domain protein,FALSE
2250,SPT_0615,1.014,0.009,0.097,0.007,metE,209,0,209,0,,SPT_0615,1.018301762,0.016799036,0.129611096,0.011501125,127,0,127,0,-0.005,334,0.359,0.71951,,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,FALSE
867,SPT_0616,1.009,0.007,0.084,0.008,metF,107,0,107,0,,SPT_0616,0.992774439,0.008643386,0.092969815,0.011274246,68,0,68,0,0.016,173,1.172,0.24286,,"5,10-methylenetetrahydrofolate reductase",FALSE
2214,SPT_0617,1.019,0.007,0.086,0.008,,120,0,120,0,,SPT_0617,1.100143657,0.014555307,0.120645377,0.014317972,71,0,71,0,-0.081,189,4.989,0,,polyribonucleotide nucleotidyltransferase (Polynucleotidephosphorylase) (PNPase) (Vegetative protein 15) (VEG15),FALSE
618,SPT_0618,0.976,0.009,0.092,0.023,cysE,16,0,16,0,,SPT_0618,0.987200401,0.006049156,0.077776322,0.027498082,8,0,8,0,-0.011,22,0.305,0.76301,,serine acetyltransferase,FALSE
885,SPT_0619,1.016,0.007,0.085,0.009,,85,0,85,0,,SPT_0619,1.002185929,0.011474838,0.107120671,0.015149151,50,0,50,0,0.014,133,0.773,0.44115,,"acetyltransferase, gnat family",FALSE
1344,SPT_0620,,,,,cysS,,,,,,SPT_0620,,,,,,,,,,,,,,cysteinyl-tRNA synthetase,FALSE
387,SPT_0621,0.992,0.005,0.074,0.013,,33,0,33,0,,SPT_0621,0.981173883,0.009749872,0.098741442,0.022079258,20,0,20,0,0.011,51,0.438,0.66353,,ribonuclease III family protein,FALSE
885,SPT_0622,1.015,0.006,0.077,0.012,,40,0,40,0,,SPT_0622,1.03965857,0.010643566,0.103167659,0.021995419,22,0,22,0,-0.025,60,0.975,0.33353,,leucine-rich protein,FALSE
117,SPT_0623,1.049,0.01,0.102,0.027,,14,0,14,0,,SPT_0623,1.075011203,0.013980402,0.11823875,0.037390376,10,0,10,0,-0.026,22,0.561,0.58067,,hypothetical protein,FALSE
600,SPT_0624,1.027,0.006,0.075,0.009,,75,0,75,0,,SPT_0624,1.037104018,0.011074988,0.105237768,0.016048609,43,0,43,0,-0.011,116,0.578,0.5645,,hypothetical protein,FALSE
174,SPT_0625,1.012,0.004,0.067,0.016,,17,0,17,0,,SPT_0625,1.057700216,0.010812684,0.103984055,0.031352372,11,0,11,0,-0.045,26,1.288,0.20897,,hypothetical protein,FALSE
1278,SPT_0626,1.001,0.005,0.072,0.006,,125,0,125,0,,SPT_0626,1.031774576,0.012270148,0.110770702,0.012462678,79,0,79,0,-0.031,202,2.22,0.02753,,ABC transporter membrane-spanning permease - Pep export,FALSE
648,SPT_0627,1.012,0.008,0.09,0.009,,110,0,110,0,,SPT_0627,0.99933883,0.008843743,0.094041176,0.011006687,73,0,73,0,0.013,181,0.92,0.35905,,"ABC transporter, ATP-binding protein Vexp2",FALSE
1380,SPT_0628,1.004,0.009,0.094,0.007,,180,0,180,0,,SPT_0628,1.005665793,0.01013871,0.10069116,0.009557182,111,0,111,0,-0.001,289,0.116,0.90792,,transmembrane protein Vexp3,FALSE
657,SPT_0629,0.998,0.01,0.099,0.012,,69,0,69,0,,SPT_0629,0.987002541,0.015676169,0.12520451,0.018664386,45,0,45,0,0.011,112,0.518,0.60515,,DNA-binding response regulator VncR,FALSE
1329,SPT_0630,1.01,0.006,0.075,0.006,,169,0,169,0,,SPT_0630,1.021719626,0.00891239,0.094405457,0.008920477,112,0,112,0,-0.011,279,1.063,0.28867,,sensor histidine kinase VncS,FALSE
882,SPT_0631,,,,,,,,,,,SPT_0631,,,,,,,,,,,,,,fructose-bisphosphate aldolase,FALSE
1191,SPT_0632,1.006,0.006,0.08,0.005,,253,0,253,0,,SPT_0632,1.003076667,0.008737614,0.093475207,0.007344106,162,0,162,0,0.003,413,0.369,0.71261,,"oxidoreductase, NAD-binding",FALSE
660,SPT_0633,1.009,0.006,0.077,0.008,,89,0,89,0,,SPT_0633,1.010617951,0.00817014,0.090388825,0.012078715,56,0,56,0,-0.002,143,0.116,0.90771,,ABC transporter membrane-spanning permease - glutamine transport,FALSE
678,SPT_0634,1.009,0.006,0.078,0.008,,97,0,97,0,,SPT_0634,1.049456963,0.007582793,0.087079234,0.010638422,67,0,67,0,-0.04,162,3.044,0.00273,,ABC transporter membrane-spanning permease - glutamine transport,FALSE
795,SPT_0635,1.007,0.007,0.086,0.009,,98,0,98,0,,SPT_0635,1.017846274,0.009539815,0.097671975,0.012505615,61,0,61,0,-0.01,157,0.685,0.49461,,"amino acid ABC transporter, amino acid-binding protein",FALSE
759,SPT_0636,1.016,0.008,0.091,0.011,,72,0,72,0,,SPT_0636,1.017694205,0.016959765,0.130229663,0.018995949,47,0,47,0,-0.001,117,0.068,0.94575,,ATP-binding protein,FALSE
2223,SPT_0637,0.939,0.015,0.122,0.021,recJ,35,0,35,0,,SPT_0637,0.877820185,0.03894855,0.197353871,0.04028469,24,0,24,0,0.061,57,1.355,0.18064,,single-stranded-DNA-specific exonuclease RecJ,FALSE
1662,SPT_0638,,,,,,,,,,,SPT_0638,,,,,,,,,,,,,,metallo-beta-lactamase family protein,FALSE
780,SPT_0639,0.928,0.021,0.144,0.015,,96,1,95,0,,SPT_0639,0.700670784,0.120499525,0.347130415,0.046387253,56,6,50,0,0.227,150,4.667,0.00001,,tributyrin esterase,FALSE
1221,SPT_0640,0.7,0.117,0.341,0.197,,3,1,2,0,,SPT_0640,0.245952946,0.000107815,0.010383395,0.007342169,2,0,2,0,0.454,3,2.301,0.10487,,serine/alanine-adding enzyme MurM,FALSE
1233,SPT_0641,0.823,0.028,0.167,0.022,,60,2,58,0,,SPT_0641,0.836984069,0.018562141,0.13624295,0.022101525,38,0,38,0,-0.014,96,0.464,0.64337,,beta-lactam resistance factor,FALSE
702,SPT_0642,1.002,0.011,0.106,0.013,,69,1,68,0,,SPT_0642,0.907227845,0.053822014,0.23199572,0.037634675,38,3,35,0,0.095,105,2.393,0.01849,,matrixin family,FALSE
1845,SPT_0643,0.967,0.009,0.096,0.008,uvrC,147,0,147,0,,SPT_0643,0.907023229,0.039239309,0.198089145,0.020765385,91,3,88,0,0.06,236,2.684,0.0078,,excinuclease ABC subunit C,FALSE
792,SPT_0644,1.001,0.007,0.082,0.009,,81,0,81,0,,SPT_0644,0.926499837,0.060913993,0.246807603,0.033586261,54,4,50,0,0.074,133,2.136,0.0345,,hypothetical protein,FALSE
801,SPT_0645,1.006,0.008,0.089,0.01,,82,0,82,0,,SPT_0645,0.978903007,0.01082071,0.104022643,0.01402641,55,0,55,0,0.027,135,1.557,0.12187,,"amino acid ABC transporter, amino acid-binding protein, putative",FALSE
606,SPT_0646,0.99,0.004,0.065,0.009,,56,0,56,0,,SPT_0646,0.921205043,0.012885368,0.113513737,0.019467445,34,0,34,0,0.069,88,3.244,0.00166,,oxidoreductase,FALSE
1401,SPT_0647,0.976,0.005,0.068,0.007,pepV,110,0,110,0,,SPT_0647,0.907919951,0.008401072,0.09165736,0.010727683,73,0,73,0,0.068,181,5.459,0,,dipeptidase PepV,FALSE
579,SPT_0648,0.987,0.004,0.066,0.008,,69,0,69,0,,SPT_0648,0.93475458,0.007577815,0.087050647,0.013763916,40,0,40,0,0.053,107,3.303,0.0013,,uracil DNA glycosylase family protein,FALSE
153,SPT_0649,0.964,0.007,0.085,0.032,,7,0,7,0,,SPT_0649,0.880400575,0.015568277,0.124772901,0.062386451,4,0,4,0,0.083,9,1.185,0.26621,,hypothetical protein,FALSE
120,SPT_0650,0.996,0.014,0.118,0.021,,32,0,32,0,,SPT_0650,0.964093828,0.02709249,0.164597964,0.036805224,20,0,20,0,0.032,50,0.754,0.45448,,hypothetical protein,FALSE
1326,SPT_0651,1.001,0.007,0.082,0.006,,169,0,169,0,,SPT_0651,0.957561151,0.010214275,0.101065696,0.009680338,109,0,109,0,0.044,276,3.766,0.0002,,branched-chain amino acid transport system II carrier protein,FALSE
1038,SPT_0652,0.986,0.006,0.077,0.008,,104,0,104,0,,SPT_0652,0.932845527,0.012713463,0.112753993,0.014319771,62,0,62,0,0.054,164,3.308,0.00115,,"peptidase, M42",FALSE
462,SPT_0653,0.995,0.003,0.054,0.008,,42,0,42,0,,SPT_0653,0.927770328,0.007765072,0.088119644,0.017987347,24,0,24,0,0.067,64,3.391,0.0012,,HIT family protein,FALSE
717,SPT_0654,0.805,0.01,0.102,0.011,,90,1,89,0,,SPT_0654,0.523059434,0.02498725,0.158073559,0.020239245,61,4,57,0,0.281,149,12.275,0,,D-alanyl-D-alanine carboxypeptidase,FALSE
138,SPT_0655,0.982,0.001,0.037,0.017,,5,0,5,0,,SPT_0655,0.919652921,0.025631453,0.16009826,0.113206566,2,0,2,0,0.062,5,0.543,0.61063,,chlorohydrolase,FALSE
426,SPT_0656,,,,,rplK,,,,,,SPT_0656,,,,,,,,,,,,,,ribosomal protein L11,FALSE
690,SPT_0657,,,,,rplA,,,,,,SPT_0657,,,,,,,,,,,,,,ribosomal protein L1,FALSE
147,SPT_0658,1.009,0,0.02,0.009,,5,0,5,0,,SPT_0658,1.072304447,0.009834649,0.099169797,0.070123636,2,0,2,0,-0.063,5,0.898,0.41048,,chlorohydrolase,FALSE
219,SPT_0659,0.991,0.011,0.104,0.012,,71,0,71,0,,SPT_0659,0.975275422,0.021279582,0.145875228,0.021508129,46,0,46,0,0.016,115,0.632,0.52836,,hypothetical protein,FALSE
237,SPT_0660,0.971,0.039,0.199,0.031,,41,1,40,0,,SPT_0660,0.949924013,0.056307971,0.237293008,0.047458602,25,1,24,0,0.021,64,0.375,0.70885,,hypothetical protein,FALSE
993,SPT_0661,0.998,0.007,0.084,0.01,,69,0,69,0,,SPT_0661,1.007365634,0.016868592,0.129879142,0.020535695,40,0,40,0,-0.01,107,0.418,0.67689,,"ABC transporter, ATP-binding protein",FALSE
819,SPT_0662,1.001,0.007,0.083,0.009,,80,0,80,0,,SPT_0662,0.983797485,0.008797269,0.09379376,0.013399109,49,0,49,0,0.018,127,1.078,0.28318,,membrane protein,FALSE
786,SPT_0663,0.993,0.008,0.092,0.009,,105,0,105,0,,SPT_0663,0.97350535,0.012700282,0.112695527,0.013281295,72,0,72,0,0.02,175,1.23,0.22018,,ABC transporter permease protein,FALSE
151,SPT_0664,0.997,0.007,0.085,0.021,,16,0,16,0,,SPT_0664,0.985161078,0.017234162,0.131278948,0.041514049,10,0,10,0,0.011,24,0.245,0.80835,,pseudo,FALSE
258,SPT_0665,1.011,0.015,0.12,0.032,,14,0,14,0,,SPT_0665,0.968776067,0.020260639,0.142339873,0.047446624,9,0,9,0,0.042,21,0.729,0.47432,,pseudo,FALSE
6432,SPT_0666,1.005,0.008,0.092,0.003,,1198,0,1198,0,,SPT_0666,0.988297064,0.011312925,0.106362236,0.003830542,771,0,771,0,0.017,1967,3.577,0.00036,,serine protease,FALSE
477,SPT_0667,1.017,0.012,0.109,0.021,,28,0,28,0,,SPT_0667,1.001582711,0.017367533,0.131785936,0.028096856,22,0,22,0,0.016,48,0.448,0.65625,,phosphotransferase system sugar-specific EII component,FALSE
306,SPT_0668,0.997,0.023,0.151,0.057,,7,0,7,0,,SPT_0668,1.029990013,0.054169236,0.232742853,0.095016872,6,0,6,0,-0.033,11,0.301,0.76891,,"PTS system, galactose-specific IIB component",FALSE
1476,SPT_0669,1.011,0.007,0.083,0.007,,148,0,148,0,,SPT_0669,0.99538387,0.010010365,0.100051811,0.010605471,89,0,89,0,0.016,235,1.267,0.20639,,phosphotransferase system sugar-specific EII component,FALSE
6702,SPT_0670,1.009,0.007,0.083,0.003,,823,0,823,0,,SPT_0670,0.994849188,0.010940532,0.104597,0.004631633,510,2,508,0,0.014,1331,2.529,0.01156,,beta-galactosidase,FALSE
231,SPT_0671,0.994,0.003,0.051,0.01,,27,0,27,0,,SPT_0671,0.933692054,0.0179764,0.134076097,0.033519024,16,0,16,0,0.06,41,1.714,0.09417,,hypothetical protein,FALSE
414,SPT_0672,1.018,0.007,0.084,0.009,,81,0,81,0,,SPT_0672,1.018690802,0.011682775,0.108086885,0.014988954,52,0,52,0,-0.001,131,0.056,0.95568,,hypothetical protein,FALSE
246,SPT_0673,1.03,0.008,0.087,0.015,,35,0,35,0,,SPT_0673,0.993082797,0.011208821,0.105871719,0.024954204,18,0,18,0,0.037,51,1.279,0.20671,,hypothetical protein,FALSE
360,SPT_0674,0.842,0.012,0.111,0.014,,64,0,64,0,,SPT_0674,0.902292013,0.011658636,0.107975165,0.016466058,43,0,43,0,-0.06,105,2.79,0.00626,,integral membrane protein,FALSE
1240,SPT_0676,1,0.006,0.078,0.007,,111,0,111,0,,SPT_0676,0.985224196,0.015524276,0.124596455,0.014582912,73,0,73,0,0.014,182,0.875,0.38268,,pseudo,FALSE
558,SPT_0677,0.991,0.011,0.103,0.016,,43,0,43,0,,SPT_0677,0.981692335,0.018432762,0.135767309,0.02662616,26,0,26,0,0.009,67,0.302,0.76343,,SAM-dependent methyltransferase,FALSE
255,SPT_0678,0.969,0.006,0.079,0.018,,19,0,19,0,,SPT_0678,0.917895032,0.007808836,0.088367618,0.024508768,13,0,13,0,0.051,30,1.68,0.10336,,hypothetical protein,FALSE
2055,SPT_0679,0.979,0.005,0.074,0.005,,259,0,259,0,,SPT_0679,0.933970829,0.012624332,0.112358052,0.008995844,156,1,155,0,0.045,413,4.408,0.00001,,sodium/hydrogen exchanger family protein,FALSE
861,SPT_0680,0.997,0.007,0.084,0.008,,120,0,120,0,,SPT_0680,0.994354016,0.00795151,0.08917124,0.010365946,74,0,74,0,0.003,192,0.209,0.83428,,ribonuclease BN,FALSE
711,SPT_0682,1.024,0.009,0.093,0.008,,123,0,123,0,,SPT_0682,1.046040131,0.01729635,0.131515587,0.015085872,76,0,76,0,-0.022,197,1.272,0.20491,,cytochrome c-type biogenesis protein CcdA,FALSE
567,SPT_0683,1.008,0.008,0.087,0.011,,63,0,63,0,,SPT_0683,0.991073155,0.014454677,0.120227606,0.019251825,39,0,39,0,0.017,100,0.75,0.45498,,thioredoxin family protein,FALSE
1113,SPT_0684,1.01,0.007,0.086,0.008,,120,0,120,0,,SPT_0684,1.001972278,0.011062473,0.105178293,0.011986179,77,0,77,0,0.008,195,0.584,0.56011,,bifunctional methionine sulfoxide reductase A/B protein,FALSE
738,SPT_0685,1.01,0.006,0.077,0.008,,83,0,83,0,,SPT_0685,1.011472585,0.009832061,0.09915675,0.013884722,51,0,51,0,-0.001,132,0.08,0.936,,DNA-binding response regulator,FALSE
1692,SPT_0686,1.01,0.008,0.087,0.007,,140,0,140,0,,SPT_0686,0.995312046,0.018572049,0.136279304,0.014610675,87,0,87,0,0.015,225,0.925,0.35609,,histidine kinase,FALSE
564,SPT_0687,1.024,0.004,0.066,0.009,,54,0,54,0,,SPT_0687,0.989975971,0.006823295,0.082603238,0.013962496,35,0,35,0,0.034,87,2.071,0.04129,,hypothetical protein,FALSE
5709,SPT_0688,1.022,0.006,0.081,0.003,zmpB,962,1,961,0,,SPT_0688,0.987752661,0.012346141,0.11111319,0.004528636,602,0,602,0,0.034,1562,6.469,0,,"zinc metalloprotease ZmpB, putative",FALSE
1722,SPT_0689,1.011,0.006,0.075,0.006,,134,0,134,0,,SPT_0689,1.00092359,0.008888683,0.094279814,0.010607308,79,0,79,0,0.01,211,0.789,0.43083,,chorismate binding enzyme,FALSE
618,SPT_0690,1.004,0.007,0.084,0.009,,96,0,96,0,,SPT_0690,0.969039342,0.013743632,0.117233237,0.01477,63,0,63,0,0.035,157,2.035,0.04349,,hypothetical protein,FALSE
999,SPT_0691,1.016,0.008,0.089,0.01,,73,0,73,0,,SPT_0691,1.001150917,0.015568128,0.124772303,0.018396672,46,0,46,0,0.015,117,0.69,0.49172,,"pneumococcal surface protein, putative",FALSE
960,SPT_0692,0.988,0.01,0.098,0.014,,52,0,52,0,,SPT_0692,1.016693114,0.013512504,0.116243299,0.018379679,40,0,40,0,-0.029,90,1.277,0.20505,,glucokinase (Glucose kinase),FALSE
840,SPT_0693,,,,,thyA,,,,,,SPT_0693,,,,,,,,,,,,,,thymidylate synthase,FALSE
171,SPT_0694,0.984,0.021,0.145,0.035,,17,0,17,0,,SPT_0694,0.960010206,0.037329001,0.193207146,0.058254146,11,0,11,0,0.024,26,0.346,0.73216,,hypothetical protein,FALSE
885,SPT_0695,0.96,0.007,0.082,0.008,miaA,104,0,104,0,,SPT_0695,1.090376688,0.01207873,0.109903273,0.012444095,78,0,78,0,-0.131,180,8.805,0,,tRNA delta(2)-isopentenylpyrophosphate transferase,FALSE
1239,SPT_0696,1.007,0.007,0.086,0.009,hflX,82,0,82,0,,SPT_0696,0.961110448,0.012419101,0.111441019,0.015026704,55,0,55,0,0.046,135,2.603,0.01027,,GTP-binding proten HflX,FALSE
624,SPT_0697,1.011,0.01,0.102,0.017,,35,0,35,0,,SPT_0697,0.972848298,0.028852817,0.16986117,0.043857965,15,0,15,0,0.038,48,0.81,0.42176,,cystathionine beta-lyase,FALSE
930,SPT_0698,,,,,rnz,,,,,,SPT_0698,,,,,,,,,,,,,,ribonuclease Z,FALSE
756,SPT_0699,0.982,0.007,0.086,0.013,,42,0,42,0,,SPT_0699,1.003684431,0.01470343,0.121257702,0.025283979,23,0,23,0,-0.022,63,0.765,0.44727,,short chain dehydrogenase/reductase family oxidoreductase,FALSE
969,SPT_0700,1,0.006,0.076,0.008,,92,0,92,0,,SPT_0700,1.014658701,0.01073128,0.103591892,0.012948987,64,0,64,0,-0.015,154,0.957,0.34024,,"transcriptional regulator, putative",FALSE
270,SPT_0701,1.018,0.007,0.086,0.011,,60,0,60,0,,SPT_0701,1.062478321,0.013680947,0.11696558,0.019770792,35,0,35,0,-0.044,93,1.958,0.05327,,hypothetical protein,FALSE
381,SPT_0702,1.013,0.006,0.076,0.01,,52,0,52,0,,SPT_0702,1.059775584,0.00860752,0.092776723,0.016400762,32,0,32,0,-0.046,82,2.384,0.01942,,rhodanese family protein,FALSE
228,SPT_0703,1.014,0.007,0.084,0.011,,56,0,56,0,,SPT_0703,1.004654007,0.039199533,0.19798872,0.032118012,38,1,37,0,0.009,92,0.266,0.79096,,hypothetical protein,FALSE
