Pos size,Gene,mean-2394-Gluc,var-2394-Gluc,sd-2394-Gluc,se-2394-Gluc,gene,Total-2394-Gluc,Blank-2394-Gluc,Not Blank-2394-Gluc,Blank Removed-2394-Gluc,M,locus-2394,mean.2394.Levo,var-2394-Levo,sd-2394-Levo,se-2394-Levo,gene,Total-2394-Levo,Blank-2394-Levo,Not Blank-2394-Levo,Blank Removed-2394-Levo,M,Value,Df,TDIST,p-value,Significance,Common Name,TIMS-CATEGORY,What to do/What they are,Sig
1274,SP_0411,0.1,0.1,X,X,,,,,,,SP_0411,0.1,0.1,X,X,,,,,,,,,,,,seryl-tRNA synthetase,AMINO ACID METABOLSIM,ESSENTIAL,FALSE
371,SP_0412,1.009,0,0.002,0.001,,2,0,2,0,,SP_0412,0.963,0.001,0.024,0.017,,2,0,2,0,,0.045,2,2.667,0.11656,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1364,SP_0413,0.907,0.003,0.053,0.009,,34,0,34,0,,SP_0413,1.059,0.009,0.096,0.016,,34,0,34,0,,-0.152,66,8.115,0,,aspartate kinase,AMINO ACID METABOLSIM,PHENOTYPED,FALSE
104,SP_0414,0.1,0.1,X,X,,,,,,,SP_0414,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
785,SP_0415,0.1,0.1,X,X,,,,,,,SP_0415,0.1,0.1,X,X,,,,,,,,,,,,enoyl-CoA hydratase/isomerase family protein,AMINO ACID METABOLSIM,ESSENTIAL,FALSE
434,SP_0416,0.799,0,0,0,,1,0,1,0,,SP_0416,0.582,0,0,0,,1,0,1,0,,,,,,,"transcriptional regulator, MarR family",REGULATOR,CORE,FALSE
974,SP_0417,0.1,0.1,X,X,,,,,,,SP_0417,0.1,0.1,X,X,,,,,,,,,,,,3-oxoacyl-(acyl-carrier-protein) synthase III,CELL WALL METABOLISM,ESSENTIAL,FALSE
224,SP_0418,0.1,0.1,X,X,acpP,,,,,,SP_0418,0.1,0.1,X,X,acpP,,,,,,,,,,,acyl carrier protein,CELL WALL METABOLISM,ESSENTIAL,FALSE
974,SP_0419,0.1,0.1,X,X,,,,,,,SP_0419,0.1,0.1,X,X,,,,,,,,,,,,enoyl-(acyl-carrier-protein) reductase,CELL WALL METABOLISM,ESSENTIAL,FALSE
920,SP_0420,0.1,0.1,X,X,,,,,,,SP_0420,0.1,0.1,X,X,,,,,,,,,,,,malonyl CoA-acyl carrier protein transacylase,CELL WALL METABOLISM,ESSENTIAL,FALSE
731,SP_0421,0.1,0.1,X,X,fabG,,,,,,SP_0421,0.1,0.1,X,X,fabG,,,,,,,,,,,3-oxoacyl-[acyl-carrier protein] reductase,CELL WALL METABOLISM,ESSENTIAL,FALSE
1235,SP_0422,0.1,0.1,X,X,,,,,,,SP_0422,0.1,0.1,X,X,,,,,,,,,,,,3-oxoacyl-(acyl-carrier-protein) synthase II,CELL WALL METABOLISM,ESSENTIAL,FALSE
485,SP_0423,0.1,0.1,X,X,,,,,,,SP_0423,0.1,0.1,X,X,,,,,,,,,,,,"acetyl-CoA carboxylase, bitoin carboxyl carrier protein",CARBOHYDRATE METABOLISM,ESSENTIAL,FALSE
422,SP_0424,0.1,0.1,X,X,fabZ,,,,,,SP_0424,0.1,0.1,X,X,fabZ,,,,,,,,,,,(3R)-hydroxymyristoyl-(acyl-carrier-protein) dehydratase,CELL WALL METABOLISM,ESSENTIAL,FALSE
1367,SP_0425,0.1,0.1,X,X,,,,,,,SP_0425,0.1,0.1,X,X,,,,,,,,,,,,"acetyl-CoA carboxylase, biotin carboxylase",CARBOHYDRATE METABOLISM,NO-PHENOTYPE,FALSE
866,SP_0426,0.1,0.1,X,X,,,,,,,SP_0426,0.1,0.1,X,X,,,,,,,,,,,,"acetyl-CoA carboxylase, carboxyl transferase, beta subunit",CARBOHYDRATE METABOLISM,ESSENTIAL,FALSE
767,SP_0427,0.1,0.1,X,X,,,,,,,SP_0427,0.1,0.1,X,X,,,,,,,,,,,,"acetyl-CoA carboxylase, carboxyl transferase, alpha subunit",CARBOHYDRATE METABOLISM,ESSENTIAL,FALSE
107,SP_0428,0.1,0.1,X,X,,,,,,,SP_0428,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,VIVO,FALSE
185,SP_0429,0.965,0.006,0.075,0.025,,9,0,9,0,,SP_0429,0.994,0.001,0.033,0.011,,9,0,9,0,,-0.029,16,1.067,0.30165,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
518,SP_0430,0.96,0.006,0.074,0.021,,12,0,12,0,,SP_0430,0.965,0.011,0.104,0.03,,12,0,12,0,,-0.006,22,0.153,0.87943,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
236,SP_0431,0.939,0.003,0.054,0.022,,6,0,6,0,,SP_0431,1.031,0.001,0.032,0.012,,7,0,7,0,,-0.092,11,3.667,0.00371,,conserved domain protein,UNKNOWN,NO-PHENOTYPE,FALSE
1306,SP_0432,0.1,0.1,X,X,,,,,M,,SP_0432,0.1,0.1,X,X,,,,,M,,,,,,,"IS1167, transposase, interruption",,REMOVE,FALSE
422,SP_0433,0.1,0.1,X,X,nusB,,,,,,SP_0433,0.1,0.1,X,X,nusB,,,,,,,,,,,N utilization substance protein B,"DNA REPLICATION, REPAIR AND RECOMBINATION",LIKELYESSENTIAL,FALSE
560,SP_0435,0.822,0,0.021,0.012,,3,0,3,0,,SP_0435,1.019,0.001,0.03,0.015,,4,0,4,0,,-0.196,5,10.163,0.00016,,translation elongation factor P,TRANSCRIPTION AND TRANSLATION,CORE,FALSE
1442,SP_0436,0.1,0.1,X,X,gatB,,,,,,SP_0436,0.1,0.1,X,X,gatB,,,,,,,,,,,"glutamyl-tRNA(Gln) amidotransferase, B subunit",AMINO ACID METABOLSIM,ESSENTIAL,FALSE
1466,SP_0437,0.1,0.1,X,X,gatA,,,,,,SP_0437,0.1,0.1,X,X,gatA,,,,,,,,,,,"glutamyl-tRNA(Gln) amidotransferase, A subunit",AMINO ACID METABOLSIM,ESSENTIAL,FALSE
302,SP_0438,0.1,0.1,X,X,gatC,,,,,,SP_0438,0.1,0.1,X,X,gatC,,,,,,,,,,,"glutamyl-tRNA(Gln) amidotransferase, C subunit",AMINO ACID METABOLSIM,ESSENTIAL,FALSE
1544,SP_0439,0.949,0.004,0.061,0.01,prfC,38,0,38,0,,SP_0439,1.056,0.003,0.056,0.009,prfC,40,0,40,0,,-0.107,76,8.073,0,,peptide chain release factor 3,TRANSCRIPTION AND TRANSLATION,PHENOTYPED,FALSE
484,SP_0440,1.002,0.004,0.066,0.012,,30,0,30,0,,SP_0440,0.973,0.002,0.041,0.008,,30,0,30,0,,0.029,58,2.015,0.04858,,"glycosyl transferase, degenerate",,Blanc Out,FALSE
188,SP_0441,0.96,0.014,0.119,0.059,rpmB,4,0,4,0,,SP_0441,0.921,0.001,0.024,0.012,rpmB,4,0,4,0,,0.039,6,0.646,0.54236,,ribosomal protein L28,TRANSCRIPTION AND TRANSLATION,PHENOTYPED,FALSE
365,SP_0442,0.925,0.004,0.063,0.022,,8,0,8,0,,SP_0442,1.051,0.014,0.118,0.045,,7,0,7,0,,-0.126,13,2.523,0.02547,,conserved hypothetical protein,UNKNOWN,PHENOTYPED,FALSE
1667,SP_0443,0.1,0.1,X,X,,,,,,,SP_0443,0.1,0.1,X,X,,,,,,,,,,,,conserved hypothetical protein,UNKNOWN,ESSENTIAL,FALSE
101,SP_0444,0.983,0.006,0.076,0.054,,2,0,2,0,,SP_0444,0.999,0,0.02,0.014,,2,0,2,0,,-0.016,2,0.29,0.79928,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1700,SP_0445,0.996,0.015,0.121,0.016,,59,1,58,0,,SP_0445,1.035,0.024,0.154,0.02,,59,0,59,0,,-0.039,116,1.522,0.13067,,"acetolactate synthase, large subunit, biosynthetic type",VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
476,SP_0446,1.015,0.005,0.072,0.013,ilvH,31,0,31,0,,SP_0446,1.02,0.013,0.114,0.021,ilvH,30,0,30,0,,-0.005,59,0.217,0.82871,,"acetolactate synthase, small subunit",VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
1010,SP_0447,1.008,0.005,0.07,0.01,,48,0,48,0,,SP_0447,0.981,0.004,0.061,0.009,,49,0,49,0,,0.028,95,2.092,0.03912,,ketol-acid reductoisomerase,AMINO ACID METABOLSIM,NO-PHENOTYPE,FALSE
266,SP_0448,0.991,0.009,0.096,0.016,,36,0,36,0,,SP_0448,1.021,0.008,0.092,0.016,,35,0,35,0,,-0.03,69,1.329,0.18828,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
356,SP_0449,0.971,0.007,0.082,0.016,,28,0,28,0,,SP_0449,1.053,0.021,0.143,0.028,,27,0,27,0,,-0.081,53,2.563,0.01325,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1250,SP_0450,0.998,0.005,0.073,0.009,,74,0,74,0,,SP_0450,1.043,0.011,0.104,0.012,,75,0,75,0,,-0.045,147,3.058,0.00264,,threonine dehydratase,AMINO ACID METABOLSIM,NO-PHENOTYPE,FALSE
215,SP_0451,0.814,0.007,0.086,0.05,,3,0,3,0,,SP_0451,0.744,0,0.013,0.009,,2,0,2,0,,0.07,3,1.382,0.26102,,hypothetical protein,UNKNOWN,PHENOTYPED,FALSE
740,SP_0452,0.975,0.004,0.064,0.026,,6,0,6,0,,SP_0452,0.904,0.002,0.041,0.017,,6,0,6,0,,0.071,10,2.288,0.04516,,"amino acid ABC transporter, ATP-binding protein",TRANSPORT,VIVO,FALSE
1565,SP_0453,0.972,0.009,0.097,0.015,,43,1,42,0,,SP_0453,0.98,0.018,0.135,0.02,,44,0,44,0,,-0.008,85,0.312,0.75548,,"amino acid ABC transporter, amino acid-binding protein/permease protein",TRANSPORT,VIVO,FALSE
1892,SP_0454,1.003,0.004,0.064,0.007,,91,0,91,0,,SP_0454,0.979,0.014,0.117,0.012,,93,0,93,0,,0.024,182,1.748,0.08221,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
170,SP_0455,0.937,0.003,0.052,0.021,,6,0,6,0,,SP_0455,0.906,0.006,0.075,0.028,,7,0,7,0,,0.031,11,0.873,0.40141,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1124,SP_0456,0.953,0.013,0.115,0.044,,7,0,7,0,M,SP_0456,0.976,0.002,0.045,0.018,,6,0,6,0,M,-0.023,11,0.478,0.64226,,"transposase, IS116/IS110/IS902 family, degenerate",,REMOVE,FALSE
1034,SP_0458,1.016,0.012,0.11,0.022,,26,0,26,0,,SP_0458,0.982,0.002,0.048,0.009,,26,0,26,0,,0.033,50,1.415,0.16326,,DNA polymerase IV,"DNA REPLICATION, REPAIR AND RECOMBINATION",PHENOTYPED,FALSE
2324,SP_0459,1.029,0.004,0.066,0.01,,47,0,47,0,,SP_0459,0.991,0.002,0.045,0.007,,47,0,47,0,,0.037,92,3.173,0.00205,,formate acetyltransferase,CARBOHYDRATE METABOLISM,PHENOTYPED,FALSE
1268,SP_0460,1.008,0.005,0.073,0.01,,58,0,58,0,,SP_0460,1.021,0.009,0.094,0.012,,60,0,60,0,,-0.013,116,0.838,0.40388,,"IS1167, transposase",,REMOVE,FALSE
1529,SP_0461,1.004,0.003,0.059,0.006,,95,0,95,0,,SP_0461,1.062,0.015,0.123,0.012,,97,0,97,0,,-0.059,190,4.233,0.00004,,putative transcriptional regulator,REGULATOR,NO-PHENOTYPE,FALSE
2681,SP_0462,1.006,0.005,0.07,0.005,,162,0,162,0,,SP_0462,1.023,0.01,0.101,0.008,,161,0,161,0,,-0.017,321,1.796,0.07346,,cell wall surface anchor family protein,VARIOUS,NO-PHENOTYPE,FALSE
1997,SP_0463,1.014,0.004,0.066,0.006,,123,0,123,0,,SP_0463,1.049,0.017,0.132,0.012,,125,0,125,0,,-0.035,246,2.618,0.00939,,cell wall surface anchor family protein,VARIOUS,NO-PHENOTYPE,FALSE
1181,SP_0464,0.991,0.005,0.07,0.009,,55,0,55,0,,SP_0464,1.022,0.008,0.088,0.011,,60,0,60,0,,-0.031,113,2.107,0.03731,,cell wall surface anchor family protein,VARIOUS,NO-PHENOTYPE,FALSE
131,SP_0465,0.1,0.1,X,X,,,,,,,SP_0465,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
839,SP_0466,1.004,0.005,0.07,0.011,,38,0,38,0,,SP_0466,1.043,0.018,0.134,0.022,,38,0,38,0,,-0.039,74,1.585,0.11732,,putative sortase,VARIOUS,NO-PHENOTYPE,FALSE
785,SP_0467,1.015,0.004,0.061,0.017,,13,0,13,0,,SP_0467,1.12,0.019,0.137,0.039,,12,0,12,0,,-0.105,23,2.456,0.02202,,putative sortase,VARIOUS,NO-PHENOTYPE,FALSE
851,SP_0468,0.983,0.008,0.091,0.021,,18,0,18,0,,SP_0468,0.98,0.009,0.097,0.023,,18,0,18,0,,0.003,34,0.083,0.93402,,putative sortase,VARIOUS,NO-PHENOTYPE,FALSE
1276,SP_0469,0.1,0.1,X,X,,,,,M,,SP_0469,0.1,0.1,X,X,,,,,M,,,,,,,"IS1167, transposase, interruption",,REMOVE,FALSE
149,SP_0470,0.986,0.005,0.072,0.042,,3,0,3,0,,SP_0470,1.016,0.002,0.04,0.023,,3,0,3,0,,-0.03,4,0.634,0.56061,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
284,SP_0471,0.997,0.012,0.108,0.027,,16,0,16,0,,SP_0471,1.038,0.019,0.137,0.034,,16,0,16,0,,-0.041,30,0.942,0.3536,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
173,SP_0472,0.969,0.003,0.052,0.014,,13,0,13,0,,SP_0472,1.001,0.001,0.032,0.009,,13,0,13,0,,-0.032,24,1.869,0.07392,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1223,SP_0473,0.963,0.005,0.067,0.006,,123,0,123,0,,SP_0473,1.007,0.017,0.129,0.012,,124,0,124,0,,-0.044,245,3.395,0.0008,,putative regulator,REGULATOR,PHENOTYPED,FALSE
1322,SP_0474,1.016,0.006,0.075,0.007,,130,0,130,0,,SP_0474,1.052,0.01,0.101,0.009,,137,0,137,0,,-0.036,265,3.342,0.00095,,"PTS system, cellobiose-specific IIC component",TRANSPORT,NO-PHENOTYPE,FALSE
1940,SP_0475,1.01,0.005,0.072,0.005,,186,0,186,0,,SP_0475,1.039,0.013,0.112,0.008,,191,0,191,0,,-0.029,375,2.969,0.00318,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
344,SP_0476,1.016,0.002,0.047,0.011,,17,0,17,0,,SP_0476,1.009,0.002,0.046,0.011,,17,0,17,0,,0.007,32,0.408,0.6859,,"PTS system, lactose-specific IIA component",TRANSPORT,NO-PHENOTYPE,FALSE
1412,SP_0477,1.01,0.005,0.073,0.006,,163,0,163,0,,SP_0477,1.027,0.009,0.096,0.007,,164,0,164,0,,-0.017,325,1.843,0.0662,,6-phospho-beta-galactosidase,CARBOHYDRATE METABOLISM,NO-PHENOTYPE,FALSE
1679,SP_0478,1.002,0.006,0.075,0.006,,166,0,166,0,,SP_0478,1.028,0.009,0.094,0.007,,166,0,166,0,,-0.027,330,2.864,0.00445,,"PTS system, lactose-specific IIBC components",TRANSPORT,VIVO,FALSE
1439,SP_0479,1.009,0.004,0.064,0.007,,76,0,76,0,,SP_0479,1.041,0.009,0.096,0.011,,77,0,77,0,,-0.032,151,2.458,0.01511,,"potassium uptake protein, Trk family",TRANSPORT,PHENOTYPED,FALSE
1349,SP_0480,0.988,0.005,0.072,0.008,trkA,74,0,74,0,,SP_0480,1.018,0.009,0.097,0.011,trkA,76,0,76,0,,-0.03,148,2.12,0.03564,,"potassium uptake protein, Trk family",TRANSPORT,PHENOTYPED,FALSE
875,SP_0481,1.013,0.008,0.088,0.01,,81,0,81,0,,SP_0481,0.99,0.008,0.089,0.01,,82,0,82,0,,0.023,161,1.674,0.09608,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
548,SP_0482,1.006,0.005,0.072,0.019,,15,0,15,0,,SP_0482,1.099,0.031,0.177,0.044,,16,0,16,0,,-0.093,29,1.933,0.0631,,conserved hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1682,SP_0483,1,0.004,0.06,0.006,,86,0,86,0,,SP_0483,1.023,0.014,0.117,0.013,,85,0,85,0,,-0.023,169,1.648,0.1013,,"ABC transporter, ATP-binding protein",TRANSPORT,VIVO,FALSE
830,SP_0484,1.006,0.004,0.061,0.007,,71,0,71,0,,SP_0484,1.026,0.011,0.106,0.013,,71,0,71,0,,-0.02,140,1.365,0.17436,,cobalt transport protein,TRANSPORT,NO-PHENOTYPE,FALSE
503,SP_0486,1.024,0.005,0.071,0.014,,24,0,24,0,,SP_0486,0.993,0.006,0.077,0.016,,24,0,24,0,,0.031,46,1.436,0.15779,,"RNA methyltransferase, TrmH family",TRANSCRIPTION AND TRANSLATION,NO-PHENOTYPE,FALSE
218,SP_0487,1.026,0.008,0.09,0.024,,14,0,14,0,,SP_0487,1.065,0.025,0.158,0.044,,13,0,13,0,,-0.039,25,0.772,0.44713,,hypothetical protein,UNKNOWN,VIVO,FALSE
563,SP_0488,1.014,0.01,0.098,0.019,,28,0,28,0,,SP_0488,1.044,0.026,0.163,0.031,,27,0,27,0,,-0.03,53,0.821,0.41524,,conserved hypothetical protein,UNKNOWN,VIVO,FALSE
650,SP_0489,1.02,0.006,0.077,0.013,,33,0,33,0,,SP_0489,0.995,0.012,0.111,0.019,,34,0,34,0,,0.025,65,1.057,0.2944,,PAP2 family protein,UNKNOWN,NO-PHENOTYPE,FALSE
389,SP_0490,0.995,0.004,0.06,0.012,,24,0,24,0,,SP_0490,1.049,0.016,0.127,0.026,,24,0,24,0,,-0.054,46,1.888,0.06533,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
155,SP_0491,1.003,0.003,0.053,0.012,,20,0,20,0,,SP_0491,0.972,0.002,0.046,0.01,,20,0,20,0,,0.031,38,1.944,0.05934,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
323,SP_0492,1.03,0.001,0.039,0.014,,8,0,8,0,,SP_0492,0.986,0.003,0.055,0.02,,8,0,8,0,,0.044,14,1.844,0.08647,,conserved domain protein,UNKNOWN,NO-PHENOTYPE,FALSE
602,SP_0493,0.759,0,0,0,,1,0,1,0,,SP_0493,0.871,0,0,0,,1,0,1,0,,-0.112,0,,,,"putative DNA-directed RNA polymerase, delta subunit",NUCLEOTIDE METABOLSIM,ESSENTIAL,FALSE
1607,SP_0494,0.998,0.007,0.086,0.013,,45,0,45,0,,SP_0494,1.08,0.045,0.212,0.031,,46,0,46,0,,-0.082,89,2.428,0.01718,,CTP synthase,NUCLEOTIDE METABOLSIM,PHENOTYPED,FALSE
1346,SP_0495,0.1,0.1,X,X,,,,,,,SP_0495,0.1,0.1,X,X,,,,,,,,,,,,"IS1380-Spn1, transposase",,REMOVE,FALSE
110,SP_0497,0.941,0.01,0.101,0.03,,11,0,11,0,,SP_0497,1.121,0.022,0.149,0.045,,11,0,11,0,,-0.18,20,3.319,0.00342,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
4979,SP_0498,1.008,0.005,0.067,0.004,,232,0,232,0,,SP_0498,1.053,0.014,0.12,0.008,,239,0,239,0,,-0.045,469,5.054,0,,endo-beta-N-acetylglucosaminidase,VARIOUS METABOLISM AND BIOSYNTHESIS,NO-PHENOTYPE,FALSE
1196,SP_0499,0.1,0.1,X,X,pgk,,,,,,SP_0499,0.1,0.1,X,X,pgk,,,,,,,,,,,phosphoglycerate kinase,CARBOHYDRATE METABOLISM,ESSENTIAL,FALSE
356,SP_0501,0.915,0.006,0.075,0.053,,2,0,2,0,,SP_0501,1.13,0,0.021,0.015,,2,0,2,0,,-0.215,2,3.891,0.06015,,"transcriptional regulator, MerR family",REGULATOR,PHENOTYPED,FALSE
1346,SP_0502,0.293,0.099,0.315,0.072,,19,11,8,0,,SP_0502,0.33,0.076,0.276,0.055,,25,9,16,0,,-0.037,42,0.402,0.68944,,"glutamine synthetase, type I",AMINO ACID METABOLSIM,CORE,FALSE
119,SP_0503,0.982,0.018,0.135,0.055,,6,0,6,0,,SP_0503,1.067,0.002,0.045,0.018,,6,0,6,0,,-0.085,10,1.466,0.17343,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
137,SP_0504,1.038,0.002,0.043,0.021,,4,0,4,0,,SP_0504,1.032,0.001,0.035,0.018,,4,0,4,0,,0.006,6,0.218,0.83464,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1280,SP_0505,1.006,0.004,0.066,0.008,,73,0,73,0,,SP_0505,1.099,0.029,0.171,0.02,,76,0,76,0,,-0.093,147,4.416,0.00002,,"putative type I restriction-modification system, S subunit",VARIOUS,NO-PHENOTYPE,FALSE
797,SP_0506,1.035,0.004,0.06,0.014,,19,0,19,0,,SP_0506,1.034,0.005,0.072,0.016,,19,0,19,0,,0.001,36,0.066,0.94784,,"integrase/recombinase, phage integrase family",,REMOVE,FALSE
539,SP_0507,0.98,0.004,0.063,0.011,,34,0,34,0,,SP_0507,0.966,0.006,0.076,0.013,,34,0,34,0,,0.014,66,0.803,0.42466,,"putative type I restriction-modification system, S subunit",VARIOUS,PHENOTYPED,FALSE
1568,SP_0508,0.981,0.005,0.071,0.008,,70,0,70,0,,SP_0508,0.982,0.007,0.086,0.01,,71,0,71,0,,-0.001,139,0.083,0.934,,"type I restriction-modification system, S subunit",VARIOUS,NO-PHENOTYPE,FALSE
1463,SP_0509,0.99,0.007,0.084,0.011,,64,0,64,0,,SP_0509,1.04,0.03,0.173,0.022,,64,0,64,0,,-0.05,126,2.083,0.03926,,"type I restriction-modification system, M subunit",VARIOUS,NO-PHENOTYPE,FALSE
2333,SP_0510,0.996,0.008,0.089,0.007,,152,0,152,0,,SP_0510,1.03,0.021,0.143,0.012,,151,0,151,0,,-0.034,301,2.481,0.01364,,"type I restriction-modification system, R subunit",VARIOUS,NO-PHENOTYPE,FALSE
128,SP_0511,1,0.001,0.037,0.026,,2,0,2,0,,SP_0511,1.016,0.002,0.044,0.031,,2,0,2,0,,,,,,,hypothetical protein,UNKNOWN,VIVO,FALSE
110,SP_0512,0.943,0.002,0.048,0.016,,9,0,9,0,,SP_0512,0.946,0.002,0.047,0.016,,9,0,9,0,,-0.004,16,0.158,0.8761,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
191,SP_0513,0.984,0.004,0.066,0.014,,21,0,21,0,,SP_0513,1.061,0.03,0.172,0.038,,21,0,21,0,,-0.078,40,1.93,0.06077,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
347,SP_0514,0.982,0.004,0.067,0.015,,19,0,19,0,,SP_0514,0.941,0.007,0.082,0.019,,19,0,19,0,,0.041,36,1.693,0.09913,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1034,SP_0515,0.252,0.093,0.304,0.215,hrcA,2,1,1,0,,SP_0515,0.323,0.049,0.222,0.128,hrcA,3,1,2,0,,,,,,,heat-inducible transcription repressor HrcA,REGULATOR,CORE,FALSE
524,SP_0516,0.1,0.1,X,X,,,,,,,SP_0516,0.1,0.1,X,X,,,,,,,,,,,,heat shock protein GrpE,VARIOUS,NO-PHENOTYPE,FALSE
1823,SP_0517,0.1,0.1,X,X,dnaK,2,2,0,0,,SP_0517,0.1,0.1,X,X,dnaK,2,2,0,0,,,,,,,dnaK protein,TRANSCRIPTION AND TRANSLATION,LIKELYESSENTIAL,FALSE
146,SP_0518,0.976,0.006,0.08,0.015,,27,0,27,0,,SP_0518,0.933,0.005,0.069,0.013,,27,0,27,0,,0.043,52,2.099,0.04068,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
1136,SP_0519,0.1,0.1,X,X,,,,,,,SP_0519,0.1,0.1,X,X,,,,,,,,,,,,dnaJ protein,TRANSCRIPTION AND TRANSLATION,PHENOTYPED,FALSE
287,SP_0520,1.024,0.005,0.074,0.028,,7,0,7,0,,SP_0520,0.93,0.002,0.045,0.017,,7,0,7,0,,0.094,12,2.88,0.01382,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
410,SP_0521,0.989,0.002,0.042,0.014,,9,0,9,0,,SP_0521,1.046,0.046,0.214,0.062,,12,0,12,0,,-0.057,19,0.903,0.37808,,HIT family protein,UNKNOWN,NO-PHENOTYPE,FALSE
731,SP_0522,1.028,0.006,0.08,0.022,,13,0,13,0,,SP_0522,0.939,0.005,0.068,0.02,,12,0,12,0,,0.089,23,3.008,0.00627,,"ABC transporter, ATP-binding protein",TRANSPORT,PHENOTYPED,FALSE
1049,SP_0523,1.011,0.005,0.071,0.012,,37,0,37,0,,SP_0523,0.985,0.018,0.134,0.021,,39,0,39,0,,0.026,74,1.066,0.28981,,"putative ABC transporter, permease protein",TRANSPORT,PHENOTYPED,FALSE
329,SP_0524,0.974,0.009,0.097,0.048,,4,0,4,0,,SP_0524,0.937,0.001,0.034,0.02,,3,0,3,0,,0.037,5,0.697,0.51691,,"BlpT protein, fusion",UNKNOWN,NO-PHENOTYPE,FALSE
338,SP_0525,0.974,0.008,0.089,0.024,,14,0,14,0,,SP_0525,0.997,0.005,0.074,0.02,,14,0,14,0,,-0.023,26,0.739,0.46662,,BlpS protein,REGULATOR,NO-PHENOTYPE,FALSE
737,SP_0526,0.999,0.004,0.06,0.01,,37,0,37,0,,SP_0526,0.977,0.004,0.061,0.01,,36,0,36,0,,0.022,71,1.59,0.11631,,response regulator BlpR,REGULATOR,VIVO,FALSE
1340,SP_0527,1.002,0.005,0.069,0.006,,153,0,153,0,,SP_0527,1.024,0.01,0.099,0.008,,152,0,152,0,,-0.022,303,2.259,0.02461,,putative sensor histidine kinase BlpH,REGULATOR,NO-PHENOTYPE,FALSE
128,SP_0528,0.989,0.005,0.071,0.014,,24,0,24,0,,SP_0528,1.038,0.019,0.136,0.027,,25,0,25,0,,-0.049,47,1.581,0.12052,,peptide pheromone BlpC,VARIOUS,NO-PHENOTYPE,FALSE
1361,SP_0529,1.015,0.005,0.071,0.007,,109,0,109,0,,SP_0529,0.993,0.007,0.083,0.008,,109,0,109,0,,0.022,216,2.055,0.04107,,BlpC ABC transporter,TRANSPORT,NO-PHENOTYPE,FALSE
2157,SP_0530,1.009,0.004,0.062,0.004,blpA,223,0,223,0,,SP_0530,1.017,0.009,0.096,0.006,blpA,227,0,227,0,,-0.008,448,1.064,0.28791,,"BlpC ABC transporter, ATP-binding protein, degenerate",TRANSPORT,NO-PHENOTYPE,FALSE
197,SP_0531,1.003,0.003,0.054,0.015,,14,0,14,0,,SP_0531,0.984,0.008,0.09,0.023,,15,0,15,0,,0.019,27,0.689,0.49642,,bacteriocin BlpI,CELL WALL METABOLISM,NO-PHENOTYPE,FALSE
269,SP_0532,1.03,0.005,0.072,0.019,,15,0,15,0,,SP_0532,1.09,0.037,0.192,0.051,,14,0,14,0,,-0.06,27,1.101,0.28073,,bacteriocin BlpJ,CELL WALL METABOLISM,NO-PHENOTYPE,FALSE
230,SP_0533,0.944,0.002,0.043,0.03,,2,0,2,0,,SP_0533,1.442,0.001,0.034,0.017,,4,0,4,0,,-0.498,4,14.398,0.00014,,bacteriocin BlpK,CELL WALL METABOLISM,NO-PHENOTYPE,FALSE
116,SP_0534,0.1,0.1,X,X,,,,,,,SP_0534,0.1,0.1,X,X,,,,,,,,,,,,hypothetical protein,UNKNOWN,NO-PHENOTYPE,FALSE
