Gene,mean.Gluc,var.Gluc,sd.Gluc,se.Gluc,gene,Ins1,Blank.Gluc,Not.Blank.Gluc,Blank.Removed.Gluc,M,locus,mean.PennG,var.PennG,sd.PennG,se.PennG,gene.1,Is2,Blank.PennG,Not.Blank.PennG,Blank.Removed.PennG,M.1,Value,Df,TDIST,p.value,locus.19F,Common.Name,Sig
SPT_0503,1.001548055,0.00705165,0.083974104,0.004738933,,314,0,314,0,,SPT_0503,0.991676255,0.009583472,0.09789521,0.005542225,,312,1,311,0,,0.01,624,1.354,0.1763,SPT_0503,cell wall surface anchor family protein,FALSE
SPT_2160,0.974849073,0.007346533,0.08571192,0.006652535,arcA,166,0,166,0,,SPT_2160,0.961107794,0.009548046,0.097714103,0.007653559,arcA,163,0,163,0,,0.014,327,1.355,0.17633,SPT_2160,arginine deiminase,FALSE
SPT_0525,1.014329414,0.007106118,0.084297792,0.005644998,,223,0,223,0,,SPT_0525,1.02626415,0.010284294,0.101411509,0.006837163,,220,0,220,0,,-0.012,441,1.346,0.17897,SPT_0525,putative ABC transporter ATP-binding protein,FALSE
SPT_0160,0.986800172,0.007249438,0.085143632,0.010813252,,62,0,62,0,,SPT_0160,1.008348708,0.008373226,0.091505332,0.011716057,,61,0,61,0,,-0.022,121,1.352,0.17904,SPT_0160,hypothetical protein,FALSE
SPT_1782,0.999951672,0.004722766,0.068722383,0.012148516,,32,0,32,0,,SPT_1782,1.022558284,0.004188596,0.064719364,0.011440875,,32,0,32,0,,-0.023,62,1.355,0.18043,SPT_1782,hypothetical protein,FALSE
SPT_1379,0.888941036,0.004153626,0.064448634,0.022786033,,8,0,8,0,,SPT_1379,0.83991446,0.005575907,0.074671996,0.026400537,,8,0,8,0,,0.049,14,1.406,0.18158,SPT_1379,hypothetical protein,FALSE
SPT_1984,1.012656329,0.005215646,0.072219432,0.006705406,,116,0,116,0,,SPT_1984,1.026439623,0.006928208,0.083235858,0.007830171,,113,0,113,0,,-0.014,227,1.337,0.18255,SPT_1984,"ABC transporter, ATP-binding protein",FALSE
SPT_1216,0.961448777,0.014167512,0.119027359,0.053230653,glmU,5,0,5,0,,SPT_1216,1.080161907,0.019143247,0.138359123,0.061876081,glmU,5,0,5,0,,-0.119,8,1.454,0.18391,SPT_1216,UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase,FALSE
SPT_2086,1.007793488,0.006954666,0.083394641,0.006720132,,154,0,154,0,,SPT_2086,0.994546668,0.008288324,0.091040231,0.007336231,,154,0,154,0,,0.013,306,1.331,0.18402,SPT_2086,"ABC transporter, ATP-binding/permease protein",FALSE
SPT_0591,0.9590747,1.23E-32,1.11E-16,1.11E-16,,1,0,1,0,,SPT_0591,1.172794082,0.008106919,0.090038433,0.063666786,,2,0,2,0,,-0.214,1,3.357,0.18432,SPT_0591,chlorohydrolase,FALSE
SPT_1118,0.672655787,0.033865929,0.18402698,0.033052221,,31,2,29,0,,SPT_1118,0.602940653,0.044795466,0.211649395,0.039997976,,28,3,25,0,,0.07,57,1.344,0.18441,SPT_1118,glycosyl transferase CpoA,FALSE
SPT_2248,0.998553299,0.007085372,0.08417465,0.006739366,,156,0,156,0,,SPT_2248,0.985578265,0.007635129,0.087379225,0.007064192,,153,0,153,0,,0.013,307,1.329,0.18485,SPT_2248,ATPase component of ABC transporters with duplicated ATPase domains,FALSE
SPT_0540,0.975156853,0.015697041,0.125287832,0.037775703,,11,0,11,0,,SPT_0540,1.034651821,0.00502302,0.07087327,0.021369095,,11,0,11,0,,-0.059,20,1.371,0.18562,SPT_0540,hypothetical protein,FALSE
SPT_0874,1.019907752,0.005333401,0.073030139,0.007127012,,105,0,105,0,,SPT_0874,1.034049994,0.006582105,0.081130175,0.007917494,,105,0,105,0,,-0.014,208,1.328,0.18578,SPT_0874,phosphate-binding protein PstS 1 (PBP 1),FALSE
SPT_1066,0.952420007,0.011623868,0.107814044,0.035938015,,9,0,9,0,,SPT_1066,1.015388204,0.007066368,0.084061693,0.028020564,,9,0,9,0,,-0.063,16,1.382,0.18603,SPT_1066,tRNA-Thr*,FALSE
SPT_1403,1.012998331,0.005647243,0.075148143,0.013497005,,31,0,31,0,,SPT_1403,1.041105721,0.008047882,0.089709987,0.016112389,,31,0,31,0,,-0.028,60,1.337,0.18618,SPT_1403,hypothetical protein,FALSE
SPT_0184,0.992504015,0.006037326,0.077700234,0.009032469,,74,0,74,0,,SPT_0184,0.974471066,0.007292999,0.08539906,0.010135004,,71,0,71,0,,0.018,143,1.328,0.18619,SPT_0184,hypothetical protein,FALSE
SPT_0734,1.030518626,0.005739836,0.075761708,0.00652053,thiE1,135,0,135,0,,SPT_0734,1.044110601,0.008286724,0.091031448,0.007923271,thiE1,132,0,132,0,,-0.014,265,1.325,0.18645,SPT_0734,thiamine-phosphate pyrophosphorylase,FALSE
SPT_1002,0.860006532,0.008124371,0.09013529,0.014076767,,41,0,41,0,,SPT_1002,0.831191982,0.010595446,0.102934181,0.01648266,,39,0,39,0,,0.029,78,1.329,0.18761,SPT_1002,sensor protein YycG,FALSE
SPT_1716,0.993665623,0.009825538,0.099123851,0.019439787,,26,0,26,0,,SPT_1716,0.957039864,0.008273148,0.090956848,0.019392065,,22,0,22,0,,0.037,46,1.334,0.18881,SPT_1716,hypothetical protein,FALSE
SPT_0665,1.010550595,0.014511155,0.120462257,0.032194892,,14,0,14,0,,SPT_0665,0.956949433,0.006414765,0.080092228,0.023120635,,12,0,12,0,,0.054,24,1.352,0.18888,SPT_0665,pseudo,FALSE
SPT_2211,0.980945329,0.007127965,0.084427276,0.007404762,,130,0,130,0,,SPT_2211,0.965935527,0.009451611,0.097219395,0.008660992,,126,0,126,0,,0.015,254,1.317,0.18894,SPT_2211,DNA-binding response regulator,FALSE
SPT_1861,0.991687199,0.004835702,0.069539213,0.011754272,,35,0,35,0,,SPT_1861,0.969197523,0.005253006,0.072477626,0.012250955,,35,0,35,0,,0.022,68,1.325,0.18972,SPT_1861,hypothetical protein,FALSE
SPT_1202,1.013269244,0.007415191,0.086111501,0.011611272,,55,0,55,0,,SPT_1202,1.037394963,0.011073534,0.10523086,0.014189326,,55,0,55,0,,-0.024,108,1.316,0.19101,SPT_1202,cytochrome c-type biogenesis protein CcdA,FALSE
SPT_1079,0.997959197,0.007910354,0.088940172,0.009590665,,86,0,86,0,,SPT_1079,0.978519303,0.010695604,0.103419551,0.011283998,,84,0,84,0,,0.019,168,1.313,0.19107,SPT_1079,hypothetical protein,FALSE
SPT_1098,1.017637705,0.007147292,0.084541655,0.006266644,,182,0,182,0,,SPT_1098,1.029280249,0.007234585,0.085056366,0.00632219,,181,0,181,0,,-0.012,361,1.308,0.19174,SPT_1098,hypothetical protein,FALSE
SPT_0988,0.999552628,0.008587074,0.092666467,0.011075761,,70,0,70,0,,SPT_0988,0.980005981,0.006854925,0.082794476,0.009967284,,69,0,69,0,,0.02,137,1.312,0.19177,SPT_0988,"amino acid ABC transporter, amino acid-binding protein/permease protein",FALSE
SPT_1431,1.005199444,0.007298545,0.085431521,0.01318237,,42,0,42,0,,SPT_1431,1.030063166,0.007619406,0.087289206,0.013632284,,41,0,41,0,,-0.025,81,1.311,0.19352,SPT_1431,hypothetical protein,FALSE
SPT_0335,0.985032453,0.00357635,0.059802591,0.026744532,folP,5,0,5,0,,SPT_0335,1.028140705,0.001056129,0.032498142,0.014533611,folP,5,0,5,0,,-0.043,8,1.416,0.19444,SPT_0335,dihydropteroate synthase,FALSE
SPT_1613,0.986418607,0.006320275,0.079500157,0.008072018,,97,0,97,0,,SPT_1613,1.002168549,0.007985169,0.089359771,0.009120243,,96,0,96,0,,-0.016,191,1.293,0.19751,SPT_1613,"transcriptional regulator, RpiR family",FALSE
SPT_2016,0.959932139,0.00568486,0.075398014,0.007156463,,111,0,111,0,,SPT_2016,0.945391757,0.008226117,0.090697942,0.008687287,,109,0,109,0,,0.015,218,1.292,0.19777,SPT_2016,GntR family transcriptional regulator,FALSE
SPT_2025,0.746121861,0.016866605,0.129871495,0.010533969,tkt2,152,2,150,0,,SPT_2025,0.724343356,0.025931149,0.161031514,0.013192216,tkt2,149,5,144,0,,0.022,299,1.29,0.19803,SPT_2025,transketolase,FALSE
SPT_0349,0.982451506,0.007174188,0.084700581,0.009241591,,84,0,84,0,,SPT_0349,1.001020095,0.010605746,0.102984202,0.011105072,,86,0,86,0,,-0.019,168,1.285,0.20047,SPT_0349,hypothetical protein,FALSE
SPT_2200,1.001447489,0.007418178,0.086128843,0.005915353,,212,0,212,0,,SPT_2200,1.013779659,0.011917541,0.109167491,0.007587665,,207,0,207,0,,-0.012,417,1.282,0.20063,SPT_2200,alpha-glycerophosphate oxidase (Glycerol-3-phosphateoxidase) (Exported protein 6),FALSE
SPT_1936,1.010675972,0.004611532,0.06790826,0.011318043,ndk,36,0,36,0,,SPT_1936,0.988601316,0.006071261,0.077918299,0.012809689,ndk,37,0,37,0,,0.022,71,1.291,0.20075,SPT_1936,nucleoside diphosphate kinase (NDK) (NDP kinase)(Abnormal wing disks protein) (Killer of prune protein),FALSE
SPT_1278,1.016165085,0.008642349,0.092964238,0.007942471,aguA,137,0,137,0,,SPT_1278,1.030926488,0.009367062,0.096783585,0.008360828,aguA,134,0,134,0,,-0.015,269,1.28,0.20163,SPT_1278,agmatine deiminase,FALSE
SPT_1096,1.009111617,0.005919085,0.076935593,0.009399179,,67,0,67,0,,SPT_1096,1.027168103,0.007242636,0.085103678,0.010475539,,66,0,66,0,,-0.018,131,1.283,0.20177,SPT_1096,hypothetical protein,FALSE
SPT_2036,0.950921761,0.007290901,0.085386773,0.009000556,,90,0,90,0,,SPT_2036,0.93061932,0.014991902,0.122441423,0.0130523,,88,1,87,0,,0.02,176,1.281,0.20204,SPT_2036,SpoIIIJ family protein,FALSE
SPT_1307,1.030026183,0.004137805,0.064325769,0.0371385,,3,0,3,0,,SPT_1307,0.960619309,0,0,0,,1,0,1,0,,0.069,2,1.869,0.20258,SPT_1307,chlorohydrolase,FALSE
SPT_0245,1.01745811,0.005424543,0.073651494,0.00641054,,132,0,132,0,,SPT_0245,1.003811923,0.009604169,0.098000861,0.008595244,,130,0,130,0,,0.014,260,1.273,0.20428,SPT_0245,"dihydrofolate synthetase, putative",FALSE
SPT_0951,0.697861216,0.025585716,0.159955357,0.015463468,carA,107,3,104,0,,SPT_0951,0.725665383,0.024840963,0.15761016,0.015454948,carA,104,4,100,0,,-0.028,209,1.272,0.20487,SPT_0951,"carbamoyl-phosphate synthase, small subunit",FALSE
SPT_0014,0.987042674,0.005457686,0.073876155,0.013268549,,31,0,31,0,,SPT_0014,0.957809303,0.01083611,0.104096635,0.018696308,,31,0,31,0,,0.029,60,1.275,0.20718,SPT_0014,phage protein,FALSE
SPT_1614,1.014010834,0.00714954,0.084554955,0.007304436,,134,0,134,0,,SPT_1614,1.000669337,0.007829145,0.088482457,0.00764372,,134,0,134,0,,0.013,266,1.262,0.2081,SPT_1614,ROK family protein,FALSE
SPT_0901,1.013768228,0.007974592,0.089300572,0.019486983,,21,0,21,0,,SPT_0901,1.044705982,0.004329333,0.065797669,0.014358228,,21,0,21,0,,-0.031,40,1.278,0.20857,SPT_0901,hypothetical protein,FALSE
SPT_0759,0.987083206,0.00477788,0.06912221,0.008508356,,66,0,66,0,,SPT_0759,1.005045288,0.008336123,0.091302374,0.011412797,,64,0,64,0,,-0.018,128,1.262,0.20932,SPT_0759,ComE operon protein 2,FALSE
SPT_1622,1.007587728,0.006873236,0.08290498,0.0047163,,309,0,309,0,,SPT_1622,0.998734183,0.008462746,0.091993182,0.005241798,,308,0,308,0,,0.009,615,1.256,0.20974,SPT_1622,pts system maltose- and glucose-specific eiicb component,FALSE
SPT_1078,0.896471414,0.007412085,0.086093467,0.009025048,,91,0,91,0,,SPT_1078,0.913628314,0.009091044,0.095346968,0.010222268,,87,0,87,0,,-0.017,176,1.258,0.20999,SPT_1078,pneumococcal vaccine antigen A,FALSE
SPT_0379,1.022326924,0.004442516,0.066652204,0.007748161,,74,0,74,0,,SPT_0379,1.007114982,0.006400367,0.080002294,0.009300078,,74,0,74,0,,0.015,146,1.257,0.21087,SPT_0379,hypothetical protein,FALSE
SPT_0766,1.028813226,0.007494313,0.0865697,0.009802088,,78,0,78,0,,SPT_0766,1.009919058,0.010167625,0.100834643,0.011417275,,78,0,78,0,,0.019,154,1.256,0.21116,SPT_0766,high-affinity branched-chain amino acid transport ATP-binding proteinlivG (LIV-I protein G),FALSE
SPT_0505,0.937253811,0.007530629,0.086779197,0.008468782,,105,0,105,0,,SPT_0505,0.920652035,0.010676197,0.103325684,0.010180982,,103,0,103,0,,0.017,206,1.254,0.21139,SPT_0505,sortase family protein,FALSE
SPT_1698,1.012863598,0.009939606,0.099697571,0.033232524,,9,0,9,0,,SPT_1698,0.94641018,0.013610819,0.116665413,0.038888471,,9,0,9,0,,0.066,16,1.299,0.21232,SPT_1698,chlorohydrolase,FALSE
SPT_2007,0.996564685,0.009906532,0.099531562,0.010211723,,95,0,95,0,,SPT_2007,0.9771151,0.013045036,0.114214866,0.011718198,,95,0,95,0,,0.019,188,1.251,0.21238,SPT_2007,"ribosomal large subunit pseudouridine synthase, RluD subfamily",FALSE
SPT_1912,0.99777239,0.007060724,0.084028117,0.008621103,,95,0,95,0,M,SPT_1912,0.981876998,0.008304088,0.091126769,0.009349409,,95,0,95,0,M,0.016,188,1.25,0.2129,SPT_1912,conjugative transposon protein,FALSE
SPT_1270,0.972112227,0.011628436,0.107835225,0.011981692,,81,0,81,0,,SPT_1270,0.992545586,0.010274464,0.101363033,0.011193674,,82,0,82,0,,-0.02,161,1.246,0.21451,SPT_1270,ribosomal large subunit pseudouridine synthase D,FALSE
SPT_1363,1.018451576,0.003645963,0.060381814,0.008807593,,47,0,47,0,,SPT_1363,0.999839846,0.006660367,0.08161107,0.012032896,,46,0,46,0,,0.019,91,1.248,0.21519,SPT_1363,hypothetical protein,FALSE
SPT_2115,0.728107652,0.017070457,0.130653959,0.01150344,malQ,129,1,128,0,,SPT_2115,0.707420486,0.018732053,0.136865092,0.012050299,malQ,129,2,127,0,,0.021,256,1.242,0.21546,SPT_2115,4-alpha-glucanotransferase,FALSE
SPT_1628,1.003299026,0.006017709,0.077573897,0.005115071,,230,0,230,0,,SPT_1628,0.993596212,0.007962259,0.08923149,0.005922502,,227,0,227,0,,0.01,455,1.24,0.21566,SPT_1628,"ABC transporter, substrate-binding protein",FALSE
SPT_1277,1.030199008,0.009305937,0.096467284,0.009034989,aguB,114,0,114,0,,SPT_1277,1.012812661,0.012721048,0.112787623,0.010705327,aguB,111,0,111,0,,0.017,223,1.241,0.21586,SPT_1277,N-carbamoylputrescine amidase,FALSE
SPT_0671,0.993525666,0.002585614,0.050848932,0.009785882,,27,0,27,0,,SPT_0671,0.966098931,0.010561342,0.102768388,0.019777786,,27,0,27,0,,0.027,52,1.243,0.21947,SPT_0671,hypothetical protein,FALSE
SPT_1469,1.023963582,0.005060203,0.071135107,0.021448042,,11,0,11,0,,SPT_1469,1.059054091,0.003040607,0.055141697,0.017437336,,10,0,10,0,,-0.035,19,1.269,0.21961,SPT_1469,hypothetical protein,FALSE
SPT_0364,1.001183049,0.0079049,0.088909505,0.003992155,,496,1,495,0,,SPT_0364,1.008545432,0.009789702,0.098942925,0.004478936,,488,1,487,0,,-0.007,982,1.227,0.22008,SPT_0364,hyaluronidase,FALSE
SPT_1592,1.014161972,0.006280872,0.079251953,0.003813011,,432,0,432,0,,SPT_1592,1.021174376,0.007886403,0.08880542,0.004272653,,432,0,432,0,,-0.007,862,1.225,0.22109,SPT_1592,"efflux ABC transporter, permease protein",FALSE
SPT_0683,1.007699968,0.007608338,0.087225788,0.010989416,,63,0,63,0,,SPT_0683,1.028762615,0.01096445,0.104711271,0.01319238,,63,0,63,0,,-0.021,124,1.227,0.22225,SPT_0683,thioredoxin family protein,FALSE
SPT_1492,0.99446788,0.009405072,0.096979751,0.009163725,,112,0,112,0,,SPT_1492,1.00894394,0.006039551,0.07771455,0.007478086,,108,0,108,0,,-0.014,218,1.224,0.22231,SPT_1492,glutathione S-transferase family protein,FALSE
SPT_0848,1.008089741,0.021803566,0.147660306,0.032222121,,21,0,21,0,,SPT_0848,0.95691694,0.012628712,0.112377544,0.025781177,,19,0,19,0,,0.051,38,1.24,0.22256,SPT_0848,"peptidase, U32 family",FALSE
SPT_2092,0.99741076,0.005959611,0.07719852,0.008797588,,77,0,77,0,,SPT_2092,1.013957404,0.008003539,0.089462502,0.010262053,,76,0,76,0,,-0.017,151,1.224,0.2228,SPT_2092,alkaline phosphatase synthesis transcriptional regulatory proteinphoP,FALSE
SPT_0322,0.981627174,0.008082328,0.089901769,0.02062488,,19,0,19,0,,SPT_0322,1.01531065,0.005611873,0.074912436,0.017657031,,18,0,18,0,,-0.034,35,1.241,0.223,SPT_0322,hypothetical protein,FALSE
SPT_1915,1.001103097,0.005987271,0.077377456,0.004050121,,365,0,365,0,,SPT_1915,0.992483585,0.012234039,0.110607589,0.005813406,,362,3,359,0,,0.009,725,1.217,0.22417,SPT_1915,conjugative transposon membrane protein,FALSE
SPT_2146,0.878616372,0.00669898,0.081847296,0.021132881,rpmF,15,0,15,0,,SPT_2146,0.927536165,0.015406305,0.124122137,0.033173037,rpmF,14,0,14,0,,-0.049,27,1.244,0.22428,SPT_2146,ribosomal protein L32,FALSE
SPT_0129,1.002123583,0.004191523,0.064741972,0.016716305,,15,0,15,0,,SPT_0129,0.971030304,0.005200797,0.072116553,0.018620414,,15,0,15,0,,0.031,28,1.243,0.22433,SPT_0129,hypothetical protein,FALSE
SPT_0999,0.682417062,0.009361383,0.096754242,0.018284833,fhs,28,0,28,0,,SPT_0999,0.630590424,0.040547676,0.201364534,0.03805432,fhs,28,2,26,0,,0.052,54,1.228,0.22494,SPT_0999,formate--tetrahydrofolate ligase,FALSE
SPT_0875,1.016805831,0.009648293,0.098225725,0.012278216,pstC1,64,0,64,0,,SPT_0875,1.037402022,0.009020841,0.094978106,0.011690997,pstC1,66,0,66,0,,-0.021,128,1.215,0.22666,SPT_0875,"phosphate ABC transporter, permease protein, putative",FALSE
SPT_0139,1.002592471,0.004344269,0.065911069,0.007107373,sdaAA,86,0,86,0,,SPT_0139,0.986486518,0.010818506,0.10401205,0.011215908,sdaAA,86,1,85,0,,0.016,170,1.213,0.22683,SPT_0139,"L-serine dehydratase, iron-sulfur-dependent, alpha subunit",FALSE
SPT_2224,1.00546644,0.010929744,0.104545417,0.013496755,,60,0,60,0,,SPT_2224,0.974914447,0.0275191,0.165888817,0.021239887,,61,1,60,0,,0.031,119,1.214,0.22713,SPT_2224,ribosomal subunit interface protein,FALSE
SPT_0395,0.603738584,0.041860303,0.204597906,0.037992877,,29,2,27,0,,SPT_0395,0.675067443,0.055125595,0.234788405,0.044370838,,28,3,25,0,,-0.071,55,1.221,0.22726,SPT_0395,tyrosine-protein kinase CpsD,FALSE
SPT_1510,0.521531963,0.059356897,0.243632709,0.10895586,,5,1,4,0,,SPT_1510,0.668603527,0.00430067,0.065579491,0.02932804,,5,0,5,0,,-0.147,8,1.303,0.22869,SPT_1510,hypothetical protein,FALSE
SPT_0748,1.047471777,0.010310628,0.101541263,0.028162479,,13,0,13,0,M,SPT_0748,0.999024872,0.010553938,0.10273236,0.027456378,,14,0,14,0,M,0.048,25,1.232,0.2295,SPT_0748,transposase family protein,FALSE
SPT_1630,0.99604015,0.00833834,0.091314512,0.004271513,,457,1,456,0,,SPT_1630,0.98857736,0.009072138,0.095247772,0.004515177,,445,0,445,0,,0.007,900,1.201,0.23019,SPT_1630,neuraminidase,FALSE
SPT_0183,0.986969671,0.006898618,0.083057918,0.01081322,,59,0,59,0,,SPT_0183,0.967922607,0.007942084,0.089118369,0.011602223,,59,0,59,0,,0.019,116,1.201,0.23222,SPT_0183,hypothetical protein,FALSE
SPT_1229,0.983290449,0.002347118,0.048447068,0.03425725,secG,2,0,2,0,,SPT_1229,1.04290367,0.000136856,0.011698543,0.008272119,secG,2,0,2,0,,-0.06,2,1.692,0.2328,SPT_1229,"preprotein translocase, SecG subunit",FALSE
SPT_2094,0.994862346,0.003968664,0.062997336,0.005703511,,122,0,122,0,,SPT_2094,0.983168031,0.007662443,0.087535383,0.007957762,,121,0,121,0,,0.012,241,1.194,0.23348,SPT_2094,ABC transporter substrate-binding protein - phosphate transport,FALSE
SPT_1484,1.075191542,0.007124284,0.084405475,0.037747276,,5,0,5,0,,SPT_1484,1.017698642,0.002136874,0.046226339,0.023113169,,4,0,4,0,,0.057,7,1.299,0.23511,SPT_1484,hypothetical protein,FALSE
SPT_2033,0.997444972,0.008286615,0.091030848,0.005734404,,252,0,252,0,,SPT_2033,0.987312975,0.010133984,0.100667689,0.006328923,,253,0,253,0,,0.01,503,1.186,0.23604,SPT_2033,ascorbate-specific PTS system enzyme IIC,FALSE
SPT_0132,0.992706279,0.005657737,0.075217931,0.006809911,,122,0,122,0,,SPT_0132,0.979225363,0.010137777,0.100686529,0.009078599,,123,0,123,0,,0.013,243,1.188,0.23604,SPT_0132,hypothetical protein,FALSE
SPT_1429,1.013845666,0.006871675,0.082895564,0.010792083,,59,0,59,0,,SPT_1429,1.033306276,0.008734751,0.093459892,0.012271885,,58,0,58,0,,-0.019,115,1.191,0.23618,SPT_1429,MucBP domain family,FALSE
SPT_1809,0.702399726,0.020900573,0.144570305,0.018663946,,60,2,58,0,,SPT_1809,0.734169299,0.020356844,0.142677412,0.019066071,,56,1,55,0,,-0.032,114,1.191,0.23623,SPT_1809,oligopeptide transport ATP-binding protein AmiF,FALSE
SPT_1366,1.038193002,0.008795739,0.0937856,0.014138711,,44,0,44,0,,SPT_1366,1.011408887,0.012810487,0.113183422,0.017464581,,42,0,42,0,,0.027,84,1.192,0.23663,SPT_1366,topology modulation protein,FALSE
SPT_2185,0.89880184,0.009294206,0.096406461,0.013242446,,53,0,53,0,,SPT_2185,0.873284418,0.014787687,0.121604635,0.016863529,,52,0,52,0,,0.026,103,1.19,0.23675,SPT_2185,putative transcriptional repressor,FALSE
SPT_1161,1.027892481,0.012321231,0.111001038,0.011045016,,101,0,101,0,,SPT_1161,1.046275147,0.011679243,0.108070545,0.010861498,,99,0,99,0,,-0.018,198,1.187,0.23677,SPT_1161,"transcriptional regulator MutR, putative",FALSE
SPT_0733,0.999077412,0.006182021,0.078625829,0.006377397,thiM,152,0,152,0,,SPT_0733,1.010294249,0.007601252,0.087185157,0.00700288,thiM,155,0,155,0,,-0.011,305,1.184,0.23723,SPT_0733,hydroxyethylthiazole kinase,FALSE
SPT_0214,0.984252981,0.007487376,0.086529623,0.006905816,ribE,157,0,157,0,,SPT_0214,0.99568029,0.0072964,0.085418969,0.006752962,ribE,160,0,160,0,,-0.011,315,1.183,0.23766,SPT_0214,"riboflavin synthase, alpha subunit",FALSE
SPT_0123,0.998931071,0.005526799,0.074342446,0.006932469,,115,0,115,0,,SPT_0123,0.98605103,0.00791212,0.0889501,0.008404994,,112,0,112,0,,0.013,225,1.182,0.23838,SPT_0123,protein LplC,FALSE
SPT_0220,1.006508012,0.004517406,0.067211653,0.00598769,,126,0,126,0,,SPT_0220,1.017107815,0.005556383,0.074541148,0.006693993,,124,0,124,0,,-0.011,248,1.18,0.23904,SPT_0220,hypothetical protein,FALSE
SPT_0470,0.885586635,0.024213545,0.155607022,0.030517048,efp,26,0,26,0,,SPT_0470,0.928190826,0.008326839,0.091251515,0.018626637,efp,24,0,24,0,,-0.043,48,1.192,0.23926,SPT_0470,translation elongation factor P,FALSE
SPT_2220,1.032367249,0.000122541,0.011069846,0.007827563,,2,0,2,0,,SPT_2220,0.976367975,0.002165161,0.046531293,0.032902593,,2,0,2,0,,0.056,2,1.656,0.23961,SPT_2220,hypothetical protein,FALSE
SPT_1318,1.035214228,0.005201435,0.072120975,0.014144087,,26,0,26,0,,SPT_1318,1.063212254,0.008841187,0.094027587,0.018805517,,25,0,25,0,,-0.028,49,1.19,0.23984,SPT_1318,hypothetical protein,FALSE
SPT_0423,1.022406072,0.010141172,0.100703386,0.010070339,,100,0,100,0,,SPT_0423,1.004235941,0.013223171,0.114992046,0.011675673,,97,0,97,0,,0.018,195,1.178,0.24005,SPT_0423,hypothetical protein,FALSE
SPT_1704,0.997447435,0.007007031,0.083708008,0.009244003,,82,0,82,0,,SPT_1704,0.981145375,0.008607905,0.092778798,0.010308755,,81,0,81,0,,0.016,161,1.177,0.24079,SPT_1704,16S ribosomal RNA methyltransferase RsmE,FALSE
SPT_0249,0.416349281,0.059805867,0.244552381,0.031571577,nrdD,60,15,45,0,,SPT_0249,0.471346692,0.070240206,0.265028688,0.034503796,nrdD,59,15,44,0,,-0.055,117,1.176,0.242,SPT_0249,anaerobic ribonucleoside-triphosphate reductase,FALSE
SPT_1414,0.988087738,0.006235835,0.078967301,0.010950794,,52,0,52,0,,SPT_1414,1.00755312,0.008335581,0.091299404,0.012424275,,54,0,54,0,,-0.019,104,1.175,0.24254,SPT_1414,"ABC transporter, ATP-binding protein",FALSE
SPT_0932,1.010582686,0.006710402,0.081917043,0.010160559,,65,0,65,0,,SPT_0932,1.02875066,0.00845981,0.091977223,0.011681119,,62,0,62,0,,-0.018,125,1.174,0.24282,SPT_0932,chromosome condensation/camphor resistance protein CrcB,FALSE
SPT_1084,1.007064163,0.010984299,0.104806007,0.008764319,,143,0,143,0,,SPT_1084,1.021606305,0.011292838,0.106267766,0.008886557,,143,0,143,0,,-0.015,284,1.165,0.24495,SPT_1084,"iron-compound ABC transporter, permease protein",FALSE
SPT_1775,0.991763442,0.005461575,0.073902473,0.008211386,,81,0,81,0,,SPT_1775,1.005572911,0.005979734,0.077328742,0.008539531,,82,0,82,0,,-0.014,161,1.166,0.24548,SPT_1775,TetR family transcriptional regulator,FALSE
SPT_0581,0.97577416,0.005882,0.076694201,0.009901179,trmB,60,0,60,0,,SPT_0581,0.955719723,0.012067128,0.109850479,0.014064913,trmB,61,0,61,0,,0.02,119,1.166,0.24598,SPT_0581,tRNA (guanine-N(7)-)-methyltransferase,FALSE
SPT_1507,1.029946554,0.005110441,0.071487346,0.016400322,,19,0,19,0,,SPT_1507,1.004438941,0.003786122,0.061531473,0.014116288,,19,0,19,0,,0.026,36,1.179,0.24622,SPT_1507,"endoribonuclease L-PSP, putative",FALSE
SPT_1572,1.016805675,0.005144417,0.07172459,0.008697884,,68,0,68,0,,SPT_1572,1.032014881,0.00656273,0.08101068,0.00975254,,69,0,69,0,,-0.015,135,1.164,0.24653,SPT_1572,DNA-binding response regulator,FALSE
SPT_1374,0.840496429,0.005594496,0.074796366,0.018140783,rpiA,17,0,17,0,,SPT_1374,0.803983711,0.010062663,0.100312824,0.025078206,rpiA,16,0,16,0,,0.037,31,1.18,0.24711,SPT_1374,ribose 5-phosphate isomerase A,FALSE
SPT_1296,1.030871755,0.005338732,0.07306663,0.007380844,,98,0,98,0,,SPT_1296,1.044751682,0.008609566,0.092787745,0.009421168,,97,1,96,0,,-0.014,193,1.16,0.24759,SPT_1296,"ABC transporter, substrate-binding protein",FALSE
SPT_0433,0.988741745,0.008101692,0.090009398,0.021215419,,18,0,18,0,,SPT_0433,0.958520667,0.003585065,0.059875416,0.014521922,,17,0,17,0,,0.03,33,1.175,0.24821,SPT_0433,hypothetical protein,FALSE
SPT_1074,0.633802765,0.042043058,0.205044038,0.041854439,,24,2,22,0,,SPT_1074,0.693081249,0.0179733,0.134064537,0.028582655,,22,0,22,0,,-0.059,44,1.17,0.24846,SPT_1074,Sua5/YciO/YrdC/YwlC family protein,FALSE
