Length,Gene,mean-19F-Gluc,var-19F-Gluc,sd-19F-Gluc,se-19F-Gluc,gene,Total-19F-Gluc,Blank-19F-Gluc,Not Blank-19F-Gluc,Blank Removed-19F-Gluc,M,locus-19F,mean.19F.Kan,var-19F-Kan,sd-19F-Kan,se-19F-Kan,Total-19F-Kan,Blank-19F-Kan,Not Blank-19F-Kan,Blank Removed-19F-Kan,Value,Df,TDIST,p-value,Significance,Common Name ,Sig
300,SPT_0585,0.917,0,0,0,,1,0,1,0,,SPT_0585,0.966,0,0,0,1,0,1,0,,,,,,ribosomal protein HS6-type,FALSE
2793,SPT_0586,,,,,infB,,,,,,SPT_0586,,,,,,,,,,,,,,translation initiation factor IF-2,FALSE
351,SPT_0587,0.959,0.009,0.095,0.03,rbfA,10,0,10,0,,SPT_0587,0.564,0.041,0.203,0.077,7,1,6,0,0.395,15,4.783,0.00024,,ribosome-binding factor A,FALSE
780,SPT_0588,0.989,0.006,0.079,0.007,,143,0,143,0,,SPT_0588,0.988,0.008,0.089,0.008,139,0,139,0,0.001,280,0.112,0.91106,,hypothetical protein,FALSE
183,SPT_0589,0.975,0.008,0.091,0.022,,17,0,17,0,,SPT_0589,1.012,0.009,0.094,0.022,19,0,19,0,-0.037,34,1.192,0.2414,,hypothetical protein,FALSE
153,SPT_0590,0.971,0.007,0.086,0.029,,9,0,9,0,,SPT_0590,1.014,0.006,0.077,0.024,10,0,10,0,-0.043,17,1.142,0.2693,,hypothetical protein,FALSE
153,SPT_0591,1.009,0.008,0.089,0.032,,8,0,8,0,,SPT_0591,0.878,0.002,0.045,0.032,2,0,2,0,0.131,8,2.936,0.01881,,chlorohydrolase,FALSE
234,SPT_0592,0.995,0.005,0.072,0.014,,27,0,27,0,,SPT_0592,0.97,0.006,0.075,0.014,27,0,27,0,0.025,52,1.23,0.22431,,hypothetical protein,FALSE
1335,SPT_0593,0.983,0.005,0.072,0.007,,111,0,111,0,,SPT_0593,0.964,0.006,0.077,0.007,107,0,107,0,0.019,216,1.884,0.06089,,"hemerythrin HHE cation binding domain subfamily, putative",FALSE
255,SPT_0594,0.891,0.008,0.092,0.032,,8,0,8,0,,SPT_0594,0.89,0.006,0.077,0.029,7,0,7,0,0.001,13,0.012,0.99081,,hypothetical protein,FALSE
396,SPT_0595,0.989,0.004,0.063,0.011,,30,0,30,0,,SPT_0595,0.98,0.005,0.072,0.013,33,0,33,0,0.009,61,0.542,0.59013,,superfamily II helicase,FALSE
450,SPT_0596,1.008,0.005,0.073,0.01,,56,0,56,0,,SPT_0596,0.992,0.008,0.092,0.012,56,0,56,0,0.017,110,1.063,0.29013,,hypothetical protein,FALSE
561,SPT_0597,0.99,0.003,0.059,0.008,,56,0,56,0,,SPT_0597,0.976,0.004,0.066,0.009,56,0,56,0,0.014,110,1.18,0.24057,,"acetyltransferase, gnat family",FALSE
579,SPT_0598,0.991,0.005,0.069,0.008,,73,0,73,0,,SPT_0598,0.992,0.008,0.087,0.011,68,0,68,0,-0.001,139,0.066,0.94781,,shikimate kinase,FALSE
2652,SPT_0599,,,,,valS,,,,,,SPT_0599,,,,,,,,,,,,,,valyl-tRNA synthetase,FALSE
165,SPT_0600,0.948,0.011,0.105,0.017,,36,0,36,0,,SPT_0600,0.956,0.035,0.187,0.032,35,1,34,0,-0.007,69,0.202,0.84035,,hypothetical protein,FALSE
1790,SPT_0601,0.967,0.008,0.087,0.005,,321,1,320,0,,SPT_0601,0.976,0.007,0.085,0.005,309,0,309,0,-0.01,628,1.402,0.16134,,pseudo,FALSE
804,SPT_0602,1.003,0.007,0.084,0.008,,126,0,126,0,,SPT_0602,0.987,0.008,0.092,0.008,122,0,122,0,0.016,246,1.425,0.15554,,Fic protein family,FALSE
834,SPT_0603,,,,,,,,,,,SPT_0603,,,,,,,,,,,,,,integrase core domain protein,FALSE
,SPT_0604,,,,,,,,,,,SPT_0604,,,,,,,,,,,,,,,FALSE
183,SPT_0605,1.014,0.003,0.058,0.009,,46,0,46,0,,SPT_0605,0.992,0.004,0.067,0.01,45,0,45,0,0.022,89,1.683,0.09579,,"helicase, putative",FALSE
840,SPT_0606,0.993,0.009,0.095,0.008,,137,0,137,0,,SPT_0606,1.014,0.008,0.087,0.008,133,0,133,0,-0.021,268,1.844,0.06629,,transcription antiterminator LicT,FALSE
1839,SPT_0607,1.005,0.007,0.083,0.004,,444,0,444,0,,SPT_0607,1.009,0.008,0.091,0.004,426,1,425,0,-0.003,868,0.576,0.56473,,pts system beta-glucoside-specific eiibca component (eiibca-bgl) (eii-bgl),FALSE
1416,SPT_0608,0.993,0.006,0.076,0.004,,345,0,345,0,,SPT_0608,1.015,0.009,0.093,0.005,336,1,335,0,-0.022,679,3.442,0.00061,,beta-glucosidase (Gentiobiase) (Cellobiase) (Beta-D-glucoside glucohydrolase) (Amygdalase),FALSE
1089,SPT_0609,0.953,0.016,0.127,0.063,pheS,4,0,4,0,,SPT_0609,1.01,0,0.016,0.011,2,0,2,0,-0.057,4,0.882,0.42742,,"phenylalanyl-tRNA synthetase, alpha subunit",FALSE
510,SPT_0610,0.959,0.009,0.095,0.012,,62,0,62,0,,SPT_0610,0.96,0.018,0.133,0.017,60,1,59,0,-0.001,120,0.064,0.94905,,"acetyltransferase, gnat family",FALSE
2406,SPT_0611,,,,,pheT,,,,,,SPT_0611,,,,,,,,,,,,,,phenylalanyl-tRNA synthetase subunit beta,FALSE
1002,SPT_0612,1.01,0.005,0.073,0.005,,193,0,193,0,,SPT_0612,1.014,0.004,0.066,0.005,186,0,186,0,-0.004,377,0.566,0.57206,,endonuclease/exonuclease/phosphatase family,FALSE
,SPT_0613,,,,,,,,,,,SPT_0613,,,,,,,,,,,,,,,FALSE
267,SPT_0614,1.008,0.004,0.062,0.011,,33,0,33,0,,SPT_0614,0.985,0.004,0.065,0.012,31,0,31,0,0.022,62,1.399,0.16671,,helix-turn-helix domain protein,FALSE
2250,SPT_0615,1.015,0.007,0.081,0.006,metE,205,0,205,0,,SPT_0615,1.01,0.008,0.09,0.006,204,1,203,0,0.005,407,0.625,0.53228,,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,FALSE
867,SPT_0616,1.01,0.004,0.065,0.006,metF,106,0,106,0,,SPT_0616,1.008,0.007,0.081,0.008,103,0,103,0,0.002,207,0.18,0.85763,,"5,10-methylenetetrahydrofolate reductase",FALSE
2214,SPT_0617,1.025,0.007,0.084,0.008,,118,0,118,0,,SPT_0617,1.001,0.008,0.091,0.009,113,0,113,0,0.024,229,2.041,0.04239,,polyribonucleotide nucleotidyltransferase (Polynucleotidephosphorylase) (PNPase) (Vegetative protein 15) (VEG15),FALSE
618,SPT_0618,1.003,0.005,0.073,0.019,cysE,15,0,15,0,,SPT_0618,0.984,0.005,0.069,0.019,14,0,14,0,0.019,27,0.718,0.47894,,serine acetyltransferase,FALSE
885,SPT_0619,0.999,0.005,0.071,0.008,,80,0,80,0,,SPT_0619,1.009,0.008,0.092,0.01,82,0,82,0,-0.01,160,0.774,0.43986,,"acetyltransferase, gnat family",FALSE
1344,SPT_0620,,,,,cysS,,,,,,SPT_0620,,,,,,,,,,,,,,cysteinyl-tRNA synthetase,FALSE
387,SPT_0621,0.975,0.006,0.076,0.013,,33,0,33,0,,SPT_0621,0.969,0.003,0.056,0.01,32,0,32,0,0.006,63,0.354,0.72438,,ribonuclease III family protein,FALSE
885,SPT_0622,1.003,0.004,0.066,0.01,,40,0,40,0,,SPT_0622,1.009,0.007,0.083,0.013,40,0,40,0,-0.006,78,0.37,0.71222,,leucine-rich protein,FALSE
117,SPT_0623,0.995,0.008,0.089,0.024,,14,0,14,0,,SPT_0623,1.054,0.007,0.086,0.021,16,0,16,0,-0.06,28,1.858,0.07366,,hypothetical protein,FALSE
600,SPT_0624,0.988,0.006,0.077,0.009,,72,0,72,0,,SPT_0624,1.016,0.005,0.074,0.009,67,0,67,0,-0.028,137,2.213,0.02853,,hypothetical protein,FALSE
174,SPT_0625,0.997,0.005,0.067,0.016,,18,0,18,0,,SPT_0625,0.955,0.005,0.072,0.019,15,0,15,0,0.042,31,1.716,0.09621,,hypothetical protein,FALSE
1278,SPT_0626,0.993,0.004,0.066,0.006,,124,0,124,0,,SPT_0626,0.981,0.006,0.075,0.007,116,0,116,0,0.012,238,1.342,0.18082,,ABC transporter membrane-spanning permease - Pep export,FALSE
648,SPT_0627,1.009,0.005,0.074,0.007,,109,0,109,0,,SPT_0627,1,0.006,0.079,0.008,105,0,105,0,0.009,212,0.869,0.38591,,"ABC transporter, ATP-binding protein Vexp2",FALSE
1380,SPT_0628,1.006,0.006,0.076,0.006,,178,0,178,0,,SPT_0628,0.999,0.008,0.09,0.007,174,0,174,0,0.006,350,0.734,0.4637,,transmembrane protein Vexp3,FALSE
657,SPT_0629,1.007,0.007,0.083,0.01,,69,0,69,0,,SPT_0629,1.009,0.008,0.087,0.011,63,0,63,0,-0.002,130,0.122,0.90337,,DNA-binding response regulator VncR,FALSE
1329,SPT_0630,1.007,0.004,0.065,0.005,,167,0,167,0,,SPT_0630,1.007,0.009,0.093,0.007,161,1,160,0,0.001,326,0.101,0.91983,,sensor histidine kinase VncS,FALSE
882,SPT_0631,,,,,,,,,,,SPT_0631,,,,,,,,,,,,,,fructose-bisphosphate aldolase,FALSE
1191,SPT_0632,0.993,0.005,0.073,0.005,,250,0,250,0,,SPT_0632,0.998,0.007,0.081,0.005,237,0,237,0,-0.005,485,0.752,0.45237,,"oxidoreductase, NAD-binding",FALSE
660,SPT_0633,1.004,0.004,0.064,0.007,,90,0,90,0,,SPT_0633,0.982,0.004,0.061,0.006,88,0,88,0,0.022,176,2.388,0.01801,,ABC transporter membrane-spanning permease - glutamine transport,FALSE
678,SPT_0634,1.005,0.004,0.065,0.007,,98,0,98,0,,SPT_0634,0.996,0.005,0.069,0.007,95,0,95,0,0.009,191,0.885,0.37741,,ABC transporter membrane-spanning permease - glutamine transport,FALSE
795,SPT_0635,1.012,0.006,0.076,0.008,,101,0,101,0,,SPT_0635,0.99,0.009,0.097,0.01,96,0,96,0,0.022,195,1.775,0.07753,,"amino acid ABC transporter, amino acid-binding protein",FALSE
759,SPT_0636,1.006,0.006,0.077,0.009,,73,0,73,0,,SPT_0636,0.993,0.008,0.091,0.011,67,0,67,0,0.013,138,0.901,0.36909,,ATP-binding protein,FALSE
2223,SPT_0637,0.945,0.013,0.112,0.022,recJ,26,0,26,0,,SPT_0637,0.892,0.064,0.253,0.061,17,1,16,0,0.053,41,0.806,0.42472,,single-stranded-DNA-specific exonuclease RecJ,FALSE
1662,SPT_0638,,,,,,,,,,,SPT_0638,,,,,,,,,,,,,,metallo-beta-lactamase family protein,FALSE
780,SPT_0639,0.947,0.013,0.112,0.011,,99,0,99,0,,SPT_0639,0.942,0.016,0.127,0.013,96,1,95,0,0.005,193,0.265,0.7915,,tributyrin esterase,FALSE
1221,SPT_0640,0.699,0.081,0.284,0.127,,5,1,4,0,,SPT_0640,0.931,0.011,0.107,0.062,3,0,3,0,-0.232,6,1.641,0.15194,,serine/alanine-adding enzyme MurM,FALSE
1233,SPT_0641,0.818,0.031,0.175,0.023,,58,3,55,0,,SPT_0641,0.831,0.026,0.162,0.023,51,2,49,0,-0.013,107,0.394,0.69436,,beta-lactam resistance factor,FALSE
702,SPT_0642,0.99,0.008,0.087,0.01,,71,0,71,0,,SPT_0642,0.972,0.018,0.134,0.016,68,1,67,0,0.017,137,0.907,0.36609,,matrixin family,FALSE
1845,SPT_0643,0.967,0.007,0.081,0.007,uvrC,152,0,152,0,,SPT_0643,0.954,0.015,0.122,0.01,139,2,137,0,0.012,289,0.985,0.32528,,excinuclease ABC subunit C,FALSE
792,SPT_0644,0.988,0.007,0.081,0.009,,85,0,85,0,,SPT_0644,0.971,0.015,0.122,0.014,72,1,71,0,0.017,155,0.987,0.32529,,hypothetical protein,FALSE
801,SPT_0645,1.001,0.007,0.081,0.009,,84,0,84,0,,SPT_0645,0.998,0.01,0.1,0.011,81,1,80,0,0.003,163,0.239,0.81155,,"amino acid ABC transporter, amino acid-binding protein, putative",FALSE
606,SPT_0646,0.985,0.005,0.07,0.009,,58,0,58,0,,SPT_0646,0.988,0.006,0.077,0.01,57,0,57,0,-0.003,113,0.214,0.83103,,oxidoreductase,FALSE
1401,SPT_0647,0.983,0.004,0.066,0.006,pepV,115,0,115,0,,SPT_0647,0.962,0.007,0.081,0.008,113,0,113,0,0.021,226,2.108,0.03613,,dipeptidase PepV,FALSE
579,SPT_0648,0.988,0.005,0.068,0.008,,69,0,69,0,,SPT_0648,0.99,0.007,0.086,0.01,69,0,69,0,-0.001,136,0.114,0.90964,,uracil DNA glycosylase family protein,FALSE
153,SPT_0649,1.018,0.005,0.074,0.026,,8,0,8,0,,SPT_0649,1.032,0.004,0.064,0.023,8,0,8,0,-0.014,14,0.398,0.69668,,hypothetical protein,FALSE
120,SPT_0650,0.965,0.008,0.09,0.016,,31,0,31,0,,SPT_0650,1.034,0.009,0.095,0.017,30,0,30,0,-0.069,59,2.933,0.00477,,hypothetical protein,FALSE
1326,SPT_0651,0.996,0.005,0.071,0.006,,166,0,166,0,,SPT_0651,1.001,0.008,0.09,0.007,157,1,156,0,-0.004,321,0.491,0.62393,,branched-chain amino acid transport system II carrier protein,FALSE
1038,SPT_0652,0.99,0.004,0.061,0.006,,107,0,107,0,,SPT_0652,0.989,0.008,0.089,0.009,105,0,105,0,0.001,210,0.134,0.89331,,"peptidase, M42",FALSE
462,SPT_0653,0.999,0.004,0.061,0.009,,42,0,42,0,,SPT_0653,1.009,0.005,0.071,0.011,40,0,40,0,-0.01,80,0.682,0.49727,,HIT family protein,FALSE
717,SPT_0654,0.845,0.009,0.094,0.01,,86,1,85,0,,SPT_0654,0.845,0.02,0.14,0.015,85,2,83,0,-0.001,169,0.034,0.97279,,D-alanyl-D-alanine carboxypeptidase,FALSE
138,SPT_0655,0.991,0,0.019,0.008,,5,0,5,0,,SPT_0655,0.996,0.002,0.041,0.018,5,0,5,0,-0.005,8,0.257,0.80402,,chlorohydrolase,FALSE
426,SPT_0656,,,,,rplK,,,,,,SPT_0656,,,,,,,,,,,,,,ribosomal protein L11,FALSE
690,SPT_0657,,,,,rplA,,,,,,SPT_0657,,,,,,,,,,,,,,ribosomal protein L1,FALSE
147,SPT_0658,1.022,0.003,0.055,0.024,,5,0,5,0,,SPT_0658,0.938,0.001,0.028,0.013,5,0,5,0,0.084,8,3.053,0.01574,,chlorohydrolase,FALSE
219,SPT_0659,0.98,0.009,0.096,0.012,,65,0,65,0,,SPT_0659,1.016,0.008,0.089,0.011,65,0,65,0,-0.036,128,2.199,0.02967,,hypothetical protein,FALSE
237,SPT_0660,0.96,0.041,0.202,0.034,,36,1,35,0,,SPT_0660,0.953,0.038,0.196,0.034,33,1,32,0,0.007,67,0.145,0.88499,,hypothetical protein,FALSE
993,SPT_0661,1.001,0.004,0.065,0.008,,68,0,68,0,,SPT_0661,0.999,0.006,0.079,0.01,69,0,69,0,0.003,135,0.232,0.81715,,"ABC transporter, ATP-binding protein",FALSE
819,SPT_0662,0.994,0.006,0.078,0.009,,79,0,79,0,,SPT_0662,1,0.005,0.074,0.008,77,0,77,0,-0.006,154,0.486,0.62773,,membrane protein,FALSE
786,SPT_0663,0.994,0.007,0.081,0.008,,105,0,105,0,,SPT_0663,1.005,0.006,0.076,0.007,103,0,103,0,-0.011,206,0.974,0.3314,,ABC transporter permease protein,FALSE
151,SPT_0664,1.01,0.004,0.067,0.017,,16,0,16,0,,SPT_0664,0.974,0.002,0.045,0.012,14,0,14,0,0.036,28,1.765,0.08843,,pseudo,FALSE
258,SPT_0665,1.004,0.007,0.082,0.023,,13,0,13,0,,SPT_0665,0.959,0.005,0.072,0.022,11,0,11,0,0.045,22,1.425,0.16825,,pseudo,FALSE
6432,SPT_0666,1.001,0.007,0.082,0.002,,1178,0,1178,0,,SPT_0666,1.004,0.009,0.095,0.003,1118,4,1114,0,-0.003,2294,0.769,0.44203,,serine protease,FALSE
477,SPT_0667,0.993,0.011,0.104,0.02,,27,0,27,0,,SPT_0667,0.984,0.011,0.105,0.022,23,0,23,0,0.009,48,0.313,0.75533,,phosphotransferase system sugar-specific EII component,FALSE
306,SPT_0668,0.995,0.014,0.118,0.045,,7,0,7,0,,SPT_0668,1.092,0.023,0.151,0.057,7,0,7,0,-0.097,12,1.334,0.20694,,"PTS system, galactose-specific IIB component",FALSE
1476,SPT_0669,1.021,0.005,0.072,0.006,,148,0,148,0,,SPT_0669,1.005,0.007,0.082,0.007,142,0,142,0,0.016,288,1.743,0.08236,,phosphotransferase system sugar-specific EII component,FALSE
6702,SPT_0670,1.01,0.005,0.07,0.002,,811,0,811,0,,SPT_0670,1.005,0.006,0.075,0.003,787,0,787,0,0.006,1596,1.523,0.12795,,beta-galactosidase,FALSE
231,SPT_0671,0.993,0.005,0.071,0.014,,26,0,26,0,,SPT_0671,0.974,0.004,0.065,0.013,25,0,25,0,0.019,49,0.998,0.3231,,hypothetical protein,FALSE
414,SPT_0672,1.007,0.005,0.073,0.008,,82,0,82,0,,SPT_0672,1.006,0.006,0.076,0.008,81,0,81,0,0.001,161,0.068,0.94596,,hypothetical protein,FALSE
246,SPT_0673,1.025,0.007,0.084,0.014,,37,0,37,0,,SPT_0673,1.023,0.009,0.096,0.016,34,0,34,0,0.001,69,0.057,0.95487,,hypothetical protein,FALSE
360,SPT_0674,0.874,0.009,0.094,0.012,,61,0,61,0,,SPT_0674,0.914,0.012,0.111,0.014,62,0,62,0,-0.04,121,2.149,0.0336,,integral membrane protein,FALSE
1240,SPT_0676,1.004,0.006,0.075,0.007,,108,0,108,0,,SPT_0676,0.991,0.013,0.116,0.011,108,1,107,0,0.013,214,0.944,0.34599,,pseudo,FALSE
558,SPT_0677,0.986,0.007,0.083,0.013,,43,0,43,0,,SPT_0677,1.003,0.005,0.07,0.011,41,0,41,0,-0.017,82,1.027,0.30765,,SAM-dependent methyltransferase,FALSE
255,SPT_0678,0.965,0.008,0.091,0.02,,20,0,20,0,,SPT_0678,0.945,0.003,0.053,0.012,18,0,18,0,0.02,36,0.842,0.40531,,hypothetical protein,FALSE
2055,SPT_0679,0.974,0.004,0.066,0.004,,255,0,255,0,,SPT_0679,0.979,0.007,0.085,0.005,246,0,246,0,-0.005,499,0.677,0.49897,,sodium/hydrogen exchanger family protein,FALSE
861,SPT_0680,0.993,0.005,0.069,0.006,,119,0,119,0,,SPT_0680,1.003,0.006,0.077,0.007,113,0,113,0,-0.01,230,1.073,0.28436,,ribonuclease BN,FALSE
711,SPT_0682,1.007,0.007,0.082,0.008,,120,0,120,0,,SPT_0682,1.006,0.004,0.066,0.006,120,0,120,0,0.001,238,0.054,0.95694,,cytochrome c-type biogenesis protein CcdA,FALSE
567,SPT_0683,1.002,0.006,0.077,0.01,,64,0,64,0,,SPT_0683,1.013,0.009,0.096,0.012,62,0,62,0,-0.011,124,0.687,0.49361,,thioredoxin family protein,FALSE
1113,SPT_0684,1.001,0.005,0.074,0.007,,118,0,118,0,,SPT_0684,0.992,0.008,0.092,0.008,118,0,118,0,0.01,234,0.887,0.37618,,bifunctional methionine sulfoxide reductase A/B protein,FALSE
738,SPT_0685,1.005,0.006,0.075,0.008,,83,0,83,0,,SPT_0685,1.007,0.008,0.088,0.01,81,0,81,0,-0.003,162,0.198,0.84294,,DNA-binding response regulator,FALSE
1692,SPT_0686,1.005,0.006,0.08,0.007,,140,0,140,0,,SPT_0686,0.997,0.011,0.105,0.009,134,1,133,0,0.008,272,0.737,0.46188,,histidine kinase,FALSE
564,SPT_0687,1.019,0.004,0.065,0.009,,56,0,56,0,,SPT_0687,1.02,0.004,0.064,0.009,52,0,52,0,-0.001,106,0.073,0.94231,,hypothetical protein,FALSE
5709,SPT_0688,1.015,0.005,0.071,0.002,zmpB,954,1,953,0,,SPT_0688,1.014,0.006,0.08,0.003,929,0,929,0,0.001,1881,0.227,0.82011,,"zinc metalloprotease ZmpB, putative",FALSE
1722,SPT_0689,1.011,0.005,0.071,0.006,,135,0,135,0,,SPT_0689,1.002,0.009,0.095,0.008,128,1,127,0,0.009,261,0.853,0.39431,,chorismate binding enzyme,FALSE
618,SPT_0690,1.006,0.005,0.069,0.007,,93,0,93,0,,SPT_0690,1.015,0.01,0.101,0.01,95,1,94,0,-0.009,186,0.725,0.46949,,hypothetical protein,FALSE
999,SPT_0691,1.005,0.007,0.086,0.01,,74,0,74,0,,SPT_0691,1.013,0.008,0.088,0.01,71,0,71,0,-0.008,143,0.565,0.57326,,"pneumococcal surface protein, putative",FALSE
960,SPT_0692,0.99,0.007,0.081,0.011,,52,0,52,0,,SPT_0692,0.942,0.01,0.1,0.014,48,0,48,0,0.048,98,2.653,0.00931,,glucokinase (Glucose kinase),FALSE
840,SPT_0693,,,,,thyA,,,,,,SPT_0693,,,,,,,,,,,,,,thymidylate synthase,FALSE
171,SPT_0694,0.979,0.02,0.142,0.034,,17,0,17,0,,SPT_0694,0.886,0.014,0.118,0.033,13,0,13,0,0.093,28,1.964,0.05956,,hypothetical protein,FALSE
885,SPT_0695,0.954,0.006,0.08,0.008,miaA,100,0,100,0,,SPT_0695,0.937,0.015,0.121,0.013,93,1,92,0,0.018,191,1.184,0.23808,,tRNA delta(2)-isopentenylpyrophosphate transferase,FALSE
1239,SPT_0696,0.99,0.008,0.09,0.01,hflX,82,1,81,0,,SPT_0696,0.98,0.008,0.087,0.01,76,0,76,0,0.01,156,0.742,0.45938,,GTP-binding proten HflX,FALSE
624,SPT_0697,0.999,0.009,0.094,0.016,,36,0,36,0,,SPT_0697,1.018,0.008,0.088,0.015,34,0,34,0,-0.018,68,0.843,0.40208,,cystathionine beta-lyase,FALSE
930,SPT_0698,,,,,rnz,,,,,,SPT_0698,,,,,,,,,,,,,,ribonuclease Z,FALSE
756,SPT_0699,0.987,0.004,0.061,0.01,,41,0,41,0,,SPT_0699,0.998,0.005,0.071,0.011,40,0,40,0,-0.011,79,0.748,0.45659,,short chain dehydrogenase/reductase family oxidoreductase,FALSE
969,SPT_0700,1.009,0.005,0.071,0.007,,92,0,92,0,,SPT_0700,0.999,0.008,0.09,0.01,85,0,85,0,0.01,175,0.807,0.42075,,"transcriptional regulator, putative",FALSE
270,SPT_0701,0.99,0.007,0.086,0.011,,58,0,58,0,,SPT_0701,0.995,0.007,0.083,0.011,59,0,59,0,-0.005,115,0.313,0.7548,,hypothetical protein,FALSE
381,SPT_0702,0.998,0.006,0.078,0.011,,51,0,51,0,,SPT_0702,0.97,0.005,0.072,0.011,46,0,46,0,0.028,95,1.831,0.07025,,rhodanese family protein,FALSE
228,SPT_0703,0.988,0.004,0.063,0.009,,55,0,55,0,,SPT_0703,0.981,0.006,0.079,0.011,51,0,51,0,0.008,104,0.55,0.58381,,hypothetical protein,FALSE
726,SPT_0704,1.007,0.005,0.07,0.008,,75,0,75,0,,SPT_0704,0.994,0.008,0.087,0.01,74,0,74,0,0.013,147,1.013,0.31253,,ribosomal small subunit pseudouridine synthase A,FALSE
1842,SPT_0705,0.96,0.005,0.071,0.006,typA,139,0,139,0,,SPT_0705,0.88,0.013,0.114,0.01,127,2,125,0,0.081,264,6.855,0,,GTP-binding protein TypA/BipA,FALSE
255,SPT_0706,0.928,0.003,0.056,0.008,,47,0,47,0,,SPT_0706,0.88,0.008,0.087,0.014,41,0,41,0,0.048,86,3.025,0.00328,,hypothetical protein,FALSE
300,SPT_0707,1.001,0.004,0.066,0.01,,46,0,46,0,,SPT_0707,0.989,0.008,0.087,0.013,44,0,44,0,0.011,88,0.691,0.49123,,"bacteriocin, lactococcin 972 family",FALSE
2022,SPT_0708,0.999,0.006,0.079,0.004,,388,1,387,0,,SPT_0708,0.993,0.008,0.09,0.005,372,1,371,0,0.006,758,0.898,0.36972,,bacteriocin-associated integral membrane protein,FALSE
642,SPT_0709,0.995,0.005,0.071,0.008,,77,0,77,0,,SPT_0709,0.981,0.005,0.074,0.009,75,0,75,0,0.014,150,1.212,0.2273,,ABC transporter ATP-binding protein - sodium transport,FALSE
1353,SPT_0710,,,,,murD,,,,,,SPT_0710,,,,,,,,,,,,,,UDP-N-acetylmuramoylalanine--D-glutamate ligase,FALSE
1059,SPT_0711,,,,,murG,,,,,,SPT_0711,,,,,,,,,,,,,,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase,FALSE
1221,SPT_0712,0.974,0,0,0,,1,0,1,0,,SPT_0712,1.026,0,0,0,1,0,1,0,,,,,,cell division protein DivIB,FALSE
702,SPT_0713,0.872,0.01,0.098,0.02,pyrF,25,0,25,0,,SPT_0713,0.713,0.036,0.191,0.049,15,1,14,0,0.16,38,3.011,0.00462,,orotidine 5'-phosphate decarboxylase,FALSE
633,SPT_0714,0.878,0.007,0.082,0.018,pyrE,22,0,22,0,,SPT_0714,0.702,0.083,0.288,0.07,17,3,14,0,0.177,37,2.452,0.01903,,orotate phosphoribosyltransferase,FALSE
123,SPT_0715,0.995,0.003,0.057,0.008,,45,0,45,0,,SPT_0715,0.972,0.007,0.085,0.013,43,0,43,0,0.023,86,1.485,0.14108,,hypothetical protein,FALSE
765,SPT_0716,0.989,0.007,0.081,0.006,,167,0,167,0,,SPT_0716,0.996,0.009,0.095,0.007,163,1,162,0,-0.008,328,0.814,0.41635,,hypothetical protein,FALSE
534,SPT_0717,0.991,0.006,0.078,0.006,,143,0,143,0,,SPT_0717,1.012,0.007,0.084,0.007,142,0,142,0,-0.021,283,2.142,0.03306,,hypothetical protein,FALSE
705,SPT_0718,0.999,0.006,0.078,0.007,,142,0,142,0,,SPT_0718,1.007,0.011,0.104,0.009,138,1,137,0,-0.008,278,0.742,0.45869,,hypothetical protein,FALSE
648,SPT_0719,1.023,0.006,0.08,0.008,,97,0,97,0,,SPT_0719,1.041,0.007,0.083,0.009,94,0,94,0,-0.018,189,1.544,0.12434,,"ABC transporter, ATP-binding protein",FALSE
1130,SPT_0721,1.002,0.006,0.078,0.008,,87,0,87,0,,SPT_0721,0.995,0.009,0.094,0.01,85,1,84,0,0.006,170,0.492,0.62315,,pseudo,FALSE
986,SPT_0722,1.002,0.006,0.075,0.01,,59,0,59,0,,SPT_0722,0.992,0.003,0.054,0.008,51,0,51,0,0.01,108,0.817,0.41546,,pseudo,FALSE
192,SPT_0723,1.02,0.004,0.066,0.015,,19,0,19,0,,SPT_0723,1.025,0.009,0.093,0.021,19,0,19,0,-0.004,36,0.157,0.8764,,ABC transporter membrane-spanning permease - glutamine transport,FALSE
1750,SPT_0724,0.957,0.001,0.039,0.022,,3,0,3,0,,SPT_0724,0.973,0.004,0.063,0.036,3,0,3,0,-0.016,4,0.376,0.72576,,pseudo,FALSE
624,SPT_0726,1.027,0.009,0.093,0.018,,28,0,28,0,,SPT_0726,0.941,0.033,0.182,0.036,26,1,25,0,0.086,52,2.161,0.03536,,ABC transporter membrane-spanning permease - glutamine transport,FALSE
681,SPT_0727,1.015,0.009,0.094,0.013,,56,0,56,0,,SPT_0727,1.005,0.008,0.091,0.013,51,0,51,0,0.01,105,0.565,0.57343,,ABC transporter membrane-spanning permease - glutamine transport,FALSE
147,SPT_0728,1.045,0,0,0,,1,0,1,0,,SPT_0728,0.982,0,0,0,1,0,1,0,0.063,0,#DIV/0!,#DIV/0!,,hypothetical protein,FALSE
1491,SPT_0729,,,,,lysS,,,,,,SPT_0729,,,,,,,,,,,,,,lysyl-tRNA synthetase,FALSE
1347,SPT_0730,,,,,,,,,,,SPT_0730,,,,,,,,M,,,,,,Spn1 transposase,FALSE
1137,SPT_0731,1,0.003,0.056,0.007,lctO,69,0,69,0,,SPT_0731,0.973,0.01,0.102,0.012,70,1,69,0,0.027,137,1.925,0.0563,,lactate oxidase,FALSE
