Gene,start,end,strand,na_length,gene.name,product
Rv0644c,738297,739160,-,864,mmaA2,Methoxy mycolic acid synthase MmaA2 (EC 2.1.1.79)
Rv0645c,739327,740187,-,861,mmaA1,Methoxy mycolic acid synthase MmaA1 (EC 2.1.1.79)
Rv0646c,740234,741139,-,906,lipG,"FIG01381021: Hydrolase, alpha/beta fold family protein"
Rv0647c,741151,742497,-,1347,,Uncharacterized ABC1 family protein Rv0647c
Rv0648,742635,746366,+,3732,,alpha-mannosidase (EC 3.2.1.24)
Rv0649,746363,747037,+,675,fabD2,POSSIBLE MALONYL COA-ACYL CARRIER PROTEIN TRANSACYLASE FABD2 (MCT) (EC 2.3.1.39)
Rv0650,747037,747945,+,909,,ROK family sugar kinase or transcriptional regulator
Rv0651,748276,748812,+,537,rplJ,LSU ribosomal protein L10p (P0)
Rv0652,748849,749241,+,393,rplL,LSU ribosomal protein L7p/L12p (P1/P2)
Rv0653c,749234,749929,-,696,,"Transcriptional regulator, AcrR family"
Rv0654,750000,751505,+,1506,,"Lignostilbene-alpha,beta-dioxygenase and related enzymes"
Rv0655,751586,752596,+,1011,mkl,ABC transporter ATP-binding protein SCO2422
Rv0656c,752984,753226,-,243,,"VapC6 antibacterial toxin protein @ Toxin 1, PIN domain"
Rv0657c,753462,753617,-,156,,"VapB6 protein (antitoxin to VapC6) @ Antitoxin to Toxin 1, PIN domain"
Rv0658c,753693,754409,-,717,,putative membrane protein
Rv0659c,754685,754918,-,234,,"Death on curing protein, Doc toxin @ Doc toxin MazF2 in Mycobacteria"
Rv0660c,754980,755231,-,252,,"Prevent host death protein, Phd antitoxin @ Phd antitoxin MazE2 in Mycobacteria"
Rv0661c,755335,755766,-,432,,"toxin VapC7 @ Toxin 1, PIN domain"
Rv0662c,755769,756017,-,249,,"antitoxin VapB7 @ Antitoxin to Toxin 1, PIN domain"
Rv0663,756137,758500,+,2364,atsD,Arylsulfatase (EC 3.1.6.1)
Rv0665,758801,759139,+,339,,hypothetical protein
Rv0667,760035,763325,+,3291,rpoB,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
Rv0668,763370,767320,+,3951,rpoC,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)
Rv0669c,767684,769540,-,1857,,Alkaline ceramidase
Rv0670,769792,770550,+,759,end,Endonuclease IV (EC 3.1.21.2)
Rv0671,770681,771424,+,744,lpqP,hypothetical protein
Rv0672,771523,773112,+,1590,fadE8,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE8"
Rv0673,773123,774061,+,939,echA4,Enoyl-CoA hydratase EchA4 (EC 4.2.1.17)
Rv0674,774100,774786,+,687,,"Transcriptional regulator, PaaX family"
Rv0675,774783,775574,+,792,echA5,Enoyl-CoA hydratase (EC 4.2.1.17) @ Enoyl-CoA hydratase EchA5 (EC 4.2.1.17)
Rv0676c,775586,778402,-,2817,mmpL5,Transmembrane transport protein MmpL5
Rv0677c,778477,778905,-,429,mmpS5,Membrane protein MmpS5
Rv0678,778990,779487,+,498,,MarR family transcriptional regulator associated with MmpL5/MmpS5 efflux system
Rv0679c,779543,779806,-,264,,hypothetical protein
Rv0680c,780042,780416,-,375,,putative membrane protein
Rv0681,780721,781311,+,591,,"Transcriptional regulator, AcrR family"
Rv0682,781560,781934,+,375,rpsL,SSU ribosomal protein S12p (S23e)
Rv0683,781934,782404,+,471,rpsG,SSU ribosomal protein S7p (S5e)
Rv0684,782485,784590,+,2106,fusA1,Translation elongation factor G
Rv0685,784821,786011,+,1191,tuf,Translation elongation factor Tu
Rv0686,786149,786946,+,798,,FIG025093: Probable membrane protein
Rv0687,787132,787926,+,795,fabG,"Oxidoreductase, short-chain dehydrogenase/reductase family"
Rv0688,787952,789160,+,1209,,Ferredoxin reductase
Rv0689c,789157,789411,-,255,,hypothetical protein
Rv0690c,790024,791073,-,1050,,hypothetical protein
Rv0691c,791070,791666,-,597,,Mycofactocin system transcriptional regulator
Rv0692,791831,792160,+,330,,Mycofactocin binding protein MftB
Rv0693,792157,793332,+,1176,pqqE,Mycofactocin radical SAM maturase
Rv0694,793335,794525,+,1191,lldD1,Mycofactocin system heme/flavin dehydrogenase
Rv0695,794805,795470,+,666,,Cyclic amid hydrolase in mycofactocin cluster
Rv0696,795519,796931,+,1413,,Mycofactocin system glycosyltransferase
Rv0697,796933,798372,+,1440,,Dehydrogenase in mycofactocin cluster
Rv0700,800487,800792,+,306,rpsJ,SSU ribosomal protein S10p (S20e)
Rv0701,800809,801462,+,654,rplC,LSU ribosomal protein L3p (L3e)
Rv0702,801462,802133,+,672,rplD,LSU ribosomal protein L4p (L1e)
Rv0703,802133,802435,+,303,rplW,LSU ribosomal protein L23p (L23Ae)
Rv0704,802528,803370,+,843,rplB,LSU ribosomal protein L2p (L8e)
Rv0705,803411,803692,+,282,rpsS,SSU ribosomal protein S19p (S15e)
Rv0706,803689,804282,+,594,rplV,LSU ribosomal protein L22p (L17e)
Rv0707,804282,805106,+,825,rpsC,SSU ribosomal protein S3p (S3e)
Rv0708,805110,805526,+,417,rplP,LSU ribosomal protein L16p (L10e)
Rv0709,805526,805759,+,234,rpmC,LSU ribosomal protein L29p (L35e)
Rv0710,805798,806166,+,369,rpsQ,SSU ribosomal protein S17p (S11e)
Rv0711,806335,808698,+,2364,atsA,Arylsulfatase (EC 3.1.6.1)
Rv0712,808746,809645,+,900,,Sulfatase modifying factor 1 precursor (C-alpha-formyglycine- generating enzyme 1)
Rv0713,810048,810887,+,840,,Uncharacterized membrane protein Rv0713
Rv0714,811373,811741,+,369,rplN,LSU ribosomal protein L14p (L23e)
Rv0715,811742,812059,+,318,rplX,LSU ribosomal protein L24p (L26e)
Rv0716,812059,812622,+,564,rplE,LSU ribosomal protein L5p (L11e)
Rv0717,812627,812812,+,186,rpsN,"SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-dependent"
Rv0718,812976,813374,+,399,rpsH,SSU ribosomal protein S8p (S15Ae)
Rv0719,813398,813937,+,540,rplF,LSU ribosomal protein L6p (L9e)
Rv0720,813940,814308,+,369,rplR,LSU ribosomal protein L18p (L5e)
Rv0721,814328,814990,+,663,rpsE,SSU ribosomal protein S5p (S2e)
Rv0722,814993,815190,+,198,rpmD,LSU ribosomal protein L30p (L7e)
Rv0723,815190,815630,+,441,rplO,LSU ribosomal protein L15p (L27Ae)
Rv0724,815726,817534,+,1809,sppA,Possible protease IV SppA (endopeptidase IV) (signal peptide peptidase)
Rv0725c,817539,818444,-,906,,O-methyltransferase
Rv0726c,818537,819640,-,1104,,O-Methyltransferase involved in polyketide biosynthesis
Rv0727c,819843,820499,-,657,fucA,Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases
Rv0728c,820496,821398,-,903,serA2,D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
Rv0729,821507,822853,+,1347,xylB,Putative xylulose kinase (EC 2.7.1.17)
Rv0730,822866,823594,+,729,,hypothetical protein
Rv0731c,823683,824639,-,957,,O-methyltransferase
Rv0732,824800,826125,+,1326,secY,Protein translocase subunit SecY
Rv0733,826173,826667,+,495,adk,Adenylate kinase (EC 2.7.4.3)
Rv0734,826706,827470,+,765,mapA,Methionine aminopeptidase (EC 3.4.11.18)
Rv0735,827543,828076,+,534,sigL,RNA polymerase sigma factor SigL
Rv0736,828140,828892,+,753,,putative membrane protein
Rv0737,829207,829704,+,498,,"Transcriptional regulator, MarR family"
Rv0738,830062,830610,+,549,,FIG00822571: hypothetical protein
Rv0739,830858,831661,+,804,,hypothetical protein
Rv0740,831902,832303,+,402,,hypothetical protein
Rv0741,832534,832848,+,315,,Mobile element protein
Rv0742,832990,833508,+,519,PE_PGRS8,PE_PGRS family protein => PE_PGRS8
Rv0743c,833886,834380,-,495,,hypothetical protein
Rv0744c,834440,834979,-,540,,Putative transcriptional regulatory protein
Rv0746,835701,838052,+,2352,PE_PGRS9,PE_PGRS family protein => PE_PGRS9
Rv0747,838451,840856,+,2406,PE_PGRS10,PE_PGRS family protein => PE_PGRS10
Rv0748,840938,841204,+,267,,"antitoxin VapB31 @ Antitoxin to Toxin 1, PIN domain"
Rv0749,841228,841656,+,429,,"toxin VapC31 @ Toxin 1, PIN domain"
Rv0749A,841737,841871,-,135,,hypothetical protein
Rv0750,842045,842278,+,234,,hypothetical protein
Rv0751c,842347,843231,-,885,mmsB,3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)
Rv0752c,843242,844414,-,1173,fadE9,"Branched-chain acyl-CoA dehydrogenase (EC 1.3.99.12) @ Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE9"
Rv0753c,844421,845953,-,1533,mmsA,Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)
Rv0754,846168,847913,+,1746,PE_PGRS11,PE_PGRS family protein => PE_PGRS11
Rv0755c,848103,850043,-,1941,PPE12,"PPE family protein, MPTR subgroup => PPE12"
Rv0755A,850342,850512,-,171,,Mobile element protein
Rv0756c,850741,851466,-,726,,hypothetical protein
Rv0757,851680,852351,+,672,phoP,DNA-binding response regulator PhoP
Rv0758,852477,853853,+,1377,phoR,"Two-component system phosphate sensor kinase, PhoR"
Rv0759c,853825,854226,-,402,,HIT family protein
Rv0760c,854267,854686,-,420,,hypothetical protein
Rv0761c,854699,855826,-,1128,adhB,Alcohol dehydrogenase B (EC 1.1.1.1)
Rv0762c,855925,856470,-,546,,FIG00820532: hypothetical protein
Rv0763c,856473,856631,-,159,,Ferredoxin
Rv0764c,856682,858037,-,1356,cyp51,Lanosterol 14-alpha demethylase @ Cytochrome P450 51 (EC 1.14.13.70)
Rv0765c,858037,858864,-,828,,"Oxidoreductase, short-chain dehydrogenase/reductase family"
Rv0766c,858864,860072,-,1209,cyp123,Steroid-monooxygenase
Rv0767c,860069,860710,-,642,,"Transcriptional regulator, AcrR family"
Rv0768,860912,862381,+,1470,aldA,Aldehyde dehydrogenase (EC 1.2.1.3)
Rv0769,862412,863158,+,747,,"Oxidoreductase Rv0769, short-chain dehydrogenase/reductase family"
Rv0770,863256,864143,+,888,,3-hydroxyisobutyrate dehydrogenase family protein
Rv0771,864143,864574,+,432,,Uncharacterized homolog of gamma-carboxymuconolactone decarboxylase subunit
Rv0772,864586,865854,+,1269,purD,Phosphoribosylamine--glycine ligase (EC 6.3.4.13)
Rv0773c,865851,867365,-,1515,ggtA,Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13)
Rv0774c,867440,868339,-,900,,Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13)
Rv0775,868458,869030,+,573,,"Transcriptional regulator, AcrR family"
Rv0776c,868984,869763,-,780,,FIG00823336: hypothetical protein
Rv0777,870008,871426,+,1419,purB,Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)
Rv0778,871413,872675,+,1263,cyp126,Cytochrome P450 126
Rv0779c,872672,873292,-,621,,hypothetical protein Rv0779c
Rv0780,873343,874236,+,894,hemH,Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)
Rv0781,874266,874943,+,678,ptrBa,Protease II (EC 3.4.21.83)
Rv0782,874960,876390,+,1431,ptrBb,Protease II (EC 3.4.21.83)
Rv0783c,876818,878455,-,1638,emrB,Uncharacterized MFS-type transporter
Rv0784,878620,879324,+,705,,hypothetical protein Rv0784
Rv0785,879361,881040,+,1680,,Fumarate/succinate/L-aspartate dehydrogenases
Rv0786c,881075,881593,-,519,,hypothetical protein
Rv0787,881690,882418,+,729,,hypothetical protein
Rv0787A,882524,882763,+,240,,"Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)"
Rv0788,882760,883434,+,675,purQ,"Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)"
Rv0789c,883451,883924,-,474,,hypothetical protein
Rv0790c,884072,884800,-,729,,"Transglutaminase-like enzymes, putative cysteine proteases"
Rv0791c,884797,885840,-,1044,,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases"
Rv0792c,885837,886646,-,810,,"Transcriptional regulator, GntR family"
Rv0793,886800,887024,+,225,,hypothetical protein
Rv0794c,887137,888192,-,1056,,"PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase"
Rv0795,889072,889398,+,327,,Insertion element IS6110 (Mycobacterium tuberculosis) transposase
Rv0796,889449,890333,+,885,,Mobile element protein
Rv0797,890388,891482,+,1095,,transposase IS116/IS110/IS902 family protein
Rv0798c,891472,892269,-,798,cfp29,Encapsulating protein for a DyP-type peroxidase or ferritin-like protein oligomers @ 29 KDa antigen CFP29
Rv0799c,892266,893273,-,1008,,"Predicted dye-decolorizing peroxidase (DyP), encapsulated subgroup"
Rv0800,893318,894619,+,1302,pepC,Aspartyl aminopeptidase (EC 3.4.11.21)
Rv0801,894649,894978,+,330,,Glyoxalase family protein
Rv0802c,894972,895628,-,657,,hypothetical protein
Rv0803,895781,898084,+,2304,purL,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)"
Rv0804,898081,898710,+,630,,Integral membrane protein
Rv0805,898819,899787,+,969,,"3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)"
Rv0806c,899732,901330,-,1599,cpsY,probable UDP-glucose-4-epimerase
Rv0807,901680,902024,+,345,,Uncharacterized protein MSMEG_5817
Rv0808,902111,903694,+,1584,purF,Amidophosphoribosyltransferase (EC 2.4.2.14)
Rv0809,903725,904819,+,1095,purM,Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)
Rv0810c,904905,905087,-,183,,Uncharacterized protein SCO4088
Rv0811c,905234,906340,-,1107,,tRNA-modifying protein YgfZ
Rv0812,906423,907292,+,870,,Aminodeoxychorismate lyase (EC 4.1.3.38)
Rv0813c,907338,908018,-,681,,DUF1794
Rv0814c,908181,908453,-,273,sseC2,Sulfur metabolism protein SseC
Rv0815c,908485,909318,-,834,cysA2,"Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)"
Rv0816c,909611,910033,-,423,thiX,Thioredoxin
Rv0817c,910030,910836,-,807,,hypothetical protein
Rv0818,910972,911739,+,768,,"Nitrogen metabolism regulator GlnR, OmpR family"
Rv0819,911736,912683,+,948,,"Acetyl-CoA:Cys-GlcN-Ins acetyltransferase, mycothiol synthase MshD (EC 2.3.1.189)"
Rv0820,912726,913502,+,777,phoT,"Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)"
Rv0821c,913558,914199,-,642,phoY2,Phosphate transport system regulatory protein PhoU
Rv0822c,914257,915807,-,1551,,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1"
Rv0823c,916477,917646,-,1170,,tRNA-dihydrouridine synthase DusB
Rv0824c,917734,918750,-,1017,desA1,Fatty acid desaturase occurring in virulence cluster
Rv0825c,918912,919553,-,642,,"Transcriptional regulator, AcrR family"
Rv0826,919751,920689,+,939,,hypothetical protein
Rv0827c,920741,921085,-,345,,"Transcriptional regulator, ArsR family"
Rv0828c,921191,921613,-,423,,Guanine deaminase (EC 3.5.4.3)
Rv0829,921575,921865,+,291,,Mobile element protein
Rv0830,921970,922875,+,906,,O-methyltransferase
Rv0831c,922894,923709,-,816,,hypothetical protein
Rv0832,924951,925364,+,414,PE_PGRS12,PE_PGRS family protein => PE_PGRS12
Rv0833,925361,927610,+,2250,PE_PGRS13,PE_PGRS family protein => PE_PGRS13
Rv0834c,927837,930485,-,2649,PE_PGRS14,PE_PGRS family protein => PE_PGRS14
Rv0835,930953,931597,+,645,lpqQ,Lipoprotein LpqQ
Rv0836c,932279,933025,-,747,,hypothetical protein
Rv0837c,933003,934031,-,1029,,hypothetical protein
Rv0838,934879,935490,+,612,lpqR,D-alanyl-D-alanine dipeptidase (EC 3.4.13.22)
Rv0839,935544,936389,+,846,,SAM-dependent methyltransferase
Rv0840c,936457,937089,-,633,pip,Proline iminopeptidase (EC 3.4.11.5)
Rv0841,937593,937835,+,243,,Uncharacterized MFS-type transporter
Rv0842,938076,939404,+,1329,,Uncharacterized MFS-type transporter
Rv0843,939388,940392,+,1005,,Acetoin dehydrogenase E1 component alpha-subunit (EC 2.3.1.190)
Rv0844c,940456,941076,-,621,narL,"Two-component transcriptional response regulator, LuxR family"
Rv0845,941190,942467,+,1278,,Two-component system sensor histidine kinase
Rv0846c,942680,944194,-,1515,,Multicopper oxidase
Rv0847,944319,944735,+,417,lpqS,Lipoprotein LpqS
Rv0848,945253,946056,+,804,cysK2,Pyridoxal-5'-phosphate-dependent enzyme beta superfamily (fold type II)
Rv0849,946056,947315,+,1260,,Uncharacterized MFS-type transporter
Rv0850,947297,947644,+,348,,Transposase
Rv0851c,947641,948468,-,828,,Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
Rv0852,948628,949395,+,768,fadD16,"Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD16"
Rv0853c,949436,951118,-,1683,pdc,Pyruvate decarboxylase (EC 4.1.1.1); Alpha-keto-acid decarboxylase (EC 4.1.1.-)
Rv0854,951183,951626,+,444,,hypothetical protein
Rv0855,951632,952711,+,1080,far,Alpha-methylacyl-CoA racemase (EC 5.1.99.4)
Rv0856,952819,953229,+,411,,hypothetical protein
Rv0857,953278,953730,+,453,,hypothetical protein
Rv0858c,953727,954920,-,1194,,Glutamine-dependent 2-keto-4-methylthiobutyrate transaminase
Rv0859,955059,956288,+,1230,fadA,3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16)
Rv0860,956293,958455,+,2163,fadB,Enoyl-CoA hydratase [isoleucine degradation] (EC 4.2.1.17) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)
Rv0861c,958523,960151,-,1629,ercc3,DNA repair helicase
Rv0862c,960342,962612,-,2271,,Putative DNA-binding protein
Rv0863,962680,962880,+,201,,Uncharacterized protein MSMEG_5704
Rv0864,962890,963393,+,504,moaC,Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17)
Rv0865,963420,963872,+,453,mog,Molybdopterin adenylyltransferase (EC 2.7.7.75)
Rv0866,963869,964294,+,426,moaE2,Molybdopterin synthase catalytic subunit MoaE (EC 2.8.1.12)
Rv0867c,964312,965535,-,1224,rpfA,Resuscitation-promoting factor RpfA
Rv0868c,965983,966261,-,279,moaD2,Molybdopterin synthase sulfur carrier subunit
Rv0869c,966265,967347,-,1083,moaA,"GTP 3',8-cyclase (EC 4.1.99.22)"
Rv0870c,967344,967733,-,390,,FIG020413: transmembrane protein
Rv0871,967898,968305,+,408,cspB,Cold shock protein of CSP family => SCO4325
Rv0872c,968424,970244,-,1821,PE_PGRS15,PE_PGRS family protein => PE_PGRS15
Rv0873,970505,972457,+,1953,fadE10,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE10"
Rv0874c,972546,973706,-,1161,,hypothetical protein
Rv0875c,973806,974294,-,489,,hypothetical protein
Rv0876c,974291,975937,-,1647,,Uncharacterized MFS-type transporter
Rv0877,976102,976863,+,762,,hypothetical protein
Rv0878c,976872,978206,-,1335,PPE13,"PPE family protein, MPTR subgroup => PPE13"
Rv0879c,978481,978756,-,276,,Putative transmembrane protein
Rv0880,978934,979365,+,432,,"Transcriptional regulator, MarR family => implicated in bedaquiline tolerance"
Rv0881,979362,980228,+,867,,tRNA/rRNA methyltransferase
Rv0882,980225,980509,+,285,,Putative transmembrane protein
Rv0883c,980506,981267,-,762,,hypothetical protein
Rv0884c,981424,982554,-,1131,serC,Phosphoserine aminotransferase (EC 2.6.1.52)
Rv0885,982801,983784,+,984,,Putative transmembrane protein
Rv0886,983863,985530,+,1668,fprB,"Ferredoxin / Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)"
Rv0887c,985513,985971,-,459,,Glyoxalase/bleomycin resistance protein/dioxygenase
Rv0888,987203,988705,+,1503,,Sphingomyelinase (EC 3.1.4.12) => SpmT
Rv0889c,988740,989861,-,1122,citA,Citrate synthase (si) (EC 2.3.3.1)
Rv0890c,989948,992566,-,2619,,"Cyclase homology domain / Predicted ATPase / Transcriptional regulator, LuxR family"
Rv0891c,992598,993203,-,606,,Adenylyl cyclase class-3/4/guanylyl cyclase
Rv0892,993853,995340,+,1488,,Cyclohexanone monooxygenase (EC 1.14.13.22)
Rv0893c,995318,996295,-,978,,O-methyltransferase
Rv0894,996524,997705,+,1182,,Disease resistance domain-containing protein
Rv0895,997863,999299,+,1437,,Diacyglycerol O-acyltransferase (EC 2.3.1.20)
Rv0896,999472,1000767,+,1296,gltA,Citrate synthase (si) (EC 2.3.3.1)
Rv0897c,1000808,1002415,-,1608,,Beta-carotene ketolase
Rv0898c,1002441,1002704,-,264,,hypothetical protein
Rv0899,1002917,1003792,+,876,ompA,"Outer membrane low permeability porin, OmpATb family"
Rv0900,1003805,1003957,+,153,,hypothetical protein
Rv0901,1003957,1004484,+,528,,hypothetical protein
Rv0902c,1004501,1005841,-,1341,prrB,Sensor-type histidine kinase prrB (EC 2.7.13.3)
Rv0903c,1005852,1006562,-,711,prrA,"Two-component transcriptional response regulator, OmpR family"
Rv0904c,1006693,1008180,-,1488,accD3,Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)
Rv0905,1008207,1008938,+,732,echA6,Enoyl-CoA hydratase (EC 4.2.1.17)
Rv0906,1008944,1010062,+,1119,,Outer membrane protein romA
Rv0907,1010313,1011734,+,1422,,Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily / DUF3471 domain
Rv0908,1011731,1014124,+,2394,ctpE,"Cation-transporting ATPase, E1-E2 family"
Rv0909,1014681,1014860,+,180,,Uncharacterized protein MSMEG_5635
Rv0910,1014866,1015300,+,435,,hypothetical protein
Rv0911,1015398,1016171,+,774,,Putative hydroxylase
Rv0912,1016266,1016685,+,420,,putative membrane protein
Rv0913c,1017217,1018725,-,1509,,"Lignostilbene-alpha,beta-dioxygenase and related enzymes"
Rv0914c,1018727,1019965,-,1239,,3-ketoacyl-CoA thiolase (EC 2.3.1.16)
Rv0915c,1020058,1021329,-,1272,PPE14,"PPE family protein, SVP subgroup => PPE14"
Rv0916c,1021344,1021505,-,162,PE7,PE family protein => PE7
Rv0917,1022087,1023868,+,1782,betP,High-affinity choline uptake protein BetT
Rv0918,1024400,1024687,+,288,,FIG032766: hypothetical protein
Rv0919,1024684,1025184,+,501,,FIG001353: Acetyltransferase
Rvnt14,1025321,1025393,-,73,,tRNA-Arg-CCT
Rv0920c,1025497,1026816,-,1320,,Transposase
Rv0921,1027137,1027685,+,549,,Resolvase
Rv0922,1027697,1029337,+,1641,,hypothetical protein
Rv0923c,1029513,1030577,-,1065,,hypothetical protein
Rv0924c,1030578,1031864,-,1287,mntH,Manganese transport protein MntH
Rv0925c,1031896,1032633,-,738,,BRAMP
Rv0926c,1032710,1033786,-,1077,,Oxidoreductase
Rv0927c,1033840,1034631,-,792,,"Oxidoreductase, short-chain dehydrogenase/reductase family"
Rv0928,1035089,1036015,+,927,pstS3,"Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)"
Rv0929,1036028,1037002,+,975,pstC2,"Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)"
Rv0930,1036999,1037925,+,927,pstA1,"Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)"
Rv0931c,1037920,1039914,-,1995,pknD,Serine/threonine-protein kinase PknD (EC 2.7.11.1)
Rv0932c,1039936,1041048,-,1113,pstS2,"Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)"
Rv0933,1041264,1042094,+,831,pstB,"Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)"
Rv0934,1042115,1043239,+,1125,pstS1,"Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)"
Rv0935,1043299,1044315,+,1017,pstC1,"Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)"
Rv0936,1044443,1045222,+,780,pstA2,"Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)"
Rv0937c,1045199,1046074,-,876,,Ku domain protein
Rv0938,1046136,1048415,+,2280,,"ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD"
Rv0939,1048412,1050346,+,1935,,Fumarylacetoacetate hydrolase family protein / MBL-fold metallo-hydrolase superfamily
Rv0940c,1050593,1051459,-,867,,Hydride transferase 1 (Fragment)
Rv0941c,1051544,1052308,-,765,,hypothetical protein
Rv0943c,1052696,1053736,-,1041,,Cyclohexanone monooxygenase (EC 1.14.13.22)
Rv0944,1053759,1054241,+,483,,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)
Rv0945,1054259,1055008,+,750,,Short chain dehydrogenase family protein Rv0945
Rv0946c,1055024,1056685,-,1662,pgi,Glucose-6-phosphate isomerase (EC 5.3.1.9)
Rv0948c,1057646,1057918,-,273,,Chorismate mutase I (EC 5.4.99.5)
Rv0949,1058260,1060575,+,2316,uvrD1,ATP-dependent DNA helicase UvrD/PcrA (EC 3.6.4.12)
Rv0950c,1060656,1061654,-,999,,Phage peptidoglycan binding endopeptidase
Rv0951,1061964,1063127,+,1164,sucC,Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)
Rv0952,1063140,1064051,+,912,sucD,Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)
Rv0953c,1064114,1064962,-,849,,"N5,N10-methylenetetrahydromethanopterin reductase-related protein, MSMEG5498 family"
Rv0954,1065127,1066038,+,912,,antigen 34 kDa
Rv0955,1066087,1067445,+,1359,,FIG021574: Possible membrane protein related to de Novo purine biosynthesis
Rv0956,1067633,1068208,+,576,purN,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)
Rv0957,1068205,1069776,+,1572,purH,IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)
Rv0958,1069880,1071262,+,1383,,"Magnesium chelatase, subunit ChlI (EC 6.6.1.1)"
Rv0959,1071255,1073273,+,2019,,FIG019045: long form Mg-chelase associated protein with vWA domain
Rv0960,1073545,1073928,+,384,,"toxin VapC9 @ Toxin 1, PIN domain"
Rv0961,1074080,1074421,+,342,,Integral membrane protein
Rv0962c,1074440,1075114,-,675,lprP,Lipoprotein LprP
Rv0963c,1075297,1076097,-,801,,hypothetical protein
Rv0964c,1076196,1076678,-,483,,hypothetical protein
Rv0965c,1076778,1077137,-,360,,hypothetical protein
Rv0966c,1077233,1077835,-,603,,hypothetical protein
Rv0967,1077975,1078334,+,360,,Repressor CsoR of the copZA operon
Rv0968,1078391,1078687,+,297,,hypothetical protein
Rv0969,1078677,1081055,+,2379,ctpV,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
Rv0970,1081052,1081684,+,633,,Integral membrane protein
Rv0971c,1081775,1082584,-,810,echA7,Isohexenylglutaconyl-CoA hydratase (EC 4.2.1.57)
Rv0972c,1082584,1083750,-,1167,fadE12,"Acyl-CoA dehydrogenase (EC 1.3.8.-), Mycobacterial subgroup FadE12 in terpen utilization operon"
Rv0973c,1083747,1085750,-,2004,accA2,Geranyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.5)
Rv0974c,1085756,1087351,-,1596,accD2,Geranyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.5)
